method,auc,n_tasks,auc_n_pairs,auc_n_positive,auc_n_negative
Oracle (upper bound),0.8438527699530517,47,2585,710,1875
SAD-IRT (full_20260117_144025),0.8036476995305165,47,2585,710,1875
SAD-IRT (full_20260117_181914_lora_r64),0.803462159624413,47,2585,710,1875
SAD-IRT (full_20260117_150625),0.8033998122065727,47,2585,710,1875
SAD-IRT (full_20260118_024625_psi_batchnorm_lora_r32),0.803311924882629,47,2585,710,1875
SAD-IRT (freeze_encoder_20260117_173918),0.8031887323943662,47,2585,710,1875
SAD-IRT (full_20260118_024625_psi_batchnorm_lora_r64),0.803115117370892,47,2585,710,1875
SAD-IRT (full),0.8016413145539907,47,2585,710,1875
SAD-IRT (full_20260117_124926),0.8016270422535211,47,2585,710,1875
SAD-IRT (freeze_irt),0.8015906103286385,47,2585,710,1875
Grouped Ridge (Embedding + Trajectory),0.7864893896713615,47,2585,710,1875
Grouped Ridge (Embedding + LLM Judge + Trajectory),0.7841562441314555,47,2585,710,1875
Trajectory + Ridge,0.7826801877934272,47,2585,710,1875
Grouped Ridge (LLM Judge + Trajectory),0.7813844131455399,47,2585,710,1875
Feature-IRT (Embedding),0.7747147417840374,47,2585,710,1875
Feature-IRT (Trajectory),0.7732063849765258,47,2585,710,1875
Baseline IRT (pre-frontier only),0.7600097652582161,47,2585,710,1875
LLM Judge + Ridge,0.7480769953051644,47,2585,710,1875
Feature-IRT (LLM Judge),0.747891455399061,47,2585,710,1875
Embedding + Ridge,0.7474899530516432,47,2585,710,1875
Grouped Ridge (Embedding + LLM Judge),0.7455166197183098,47,2585,710,1875
