method,mean_per_agent_auc,mean_per_agent_auc_sem,mean_per_agent_auc_std,mean_per_agent_auc_n_agents,auc,n_tasks,auc_n_pairs,auc_n_positive,auc_n_negative
Oracle (upper bound),0.7321566471690255,0.039201730643552576,0.2510135516330455,41,0.8399100899100898,34,1870,154,1716
Trajectory + Ridge,0.5442346565051841,0.03286519385521532,0.21043991934225834,41,0.7157463748372839,34,1870,154,1716
Grouped Ridge (Embedding + LLM Judge + Trajectory),0.53508677718601,0.03227238705201449,0.206644103732568,41,0.7056050010595465,34,1870,154,1716
Grouped Ridge (Embedding + Trajectory),0.5247465260173486,0.03448510071707462,0.2208123842318134,41,0.7037545787545788,34,1870,154,1716
Grouped Ridge (LLM Judge + Trajectory),0.5071103645881345,0.03214840457904965,0.20585022855490995,41,0.702517179789907,34,1870,154,1716
Baseline-Init Feature-IRT (Embedding),0.5044677920629351,0.034113347068632345,0.21843199943511857,41,0.7534851512124239,34,1870,154,1716
Grouped Ridge (Embedding + LLM Judge),0.4962838671832914,0.037392651736620965,0.23942979463664318,41,0.6872672781763691,34,1870,154,1716
Baseline-Init Feature-IRT (LLM Judge),0.49481945570311026,0.03209455576969445,0.20550542793857082,41,0.7517860926951835,34,1870,154,1716
Ordered Logit IRT,0.4935771380260175,0.03500387697712604,0.22413417307635344,41,0.692424999243181,34,1870,154,1716
Baseline-Init Feature-IRT (Trajectory),0.4882796620098568,0.03201183087816002,0.20497573018054768,41,0.7508211485484213,34,1870,154,1716
Baseline IRT (pre-frontier only),0.4854237830466839,0.030573270611974478,0.1957644500731272,41,0.7502875911966822,34,1870,154,1716
Embedding + Ridge,0.47164106463102295,0.03857259545984884,0.24698512088965036,41,0.6867904822450277,34,1870,154,1716
LLM Judge + Ridge,0.4665298255051945,0.034219162720773195,0.21910955020204143,41,0.6897515363424455,34,1870,154,1716
