,b
astropy__astropy-12907,-0.6580368876457214
astropy__astropy-13033,6.31123685836792
astropy__astropy-13236,3.3701651096343994
astropy__astropy-13398,9.792309761047363
astropy__astropy-13453,0.43730616569519043
astropy__astropy-13579,-1.0568530559539795
astropy__astropy-13977,10.174205780029297
astropy__astropy-14096,-1.275246262550354
astropy__astropy-14182,4.813085556030273
astropy__astropy-14309,-4.750059127807617
astropy__astropy-14365,3.9513962268829346
astropy__astropy-14369,2.854410409927368
astropy__astropy-14508,0.01336284913122654
astropy__astropy-14539,-1.2441455125808716
astropy__astropy-14598,5.228724479675293
astropy__astropy-14995,-2.850590944290161
astropy__astropy-7166,-1.7954996824264526
astropy__astropy-7336,-3.169764280319214
astropy__astropy-7606,3.8503565788269043
astropy__astropy-7671,-2.4489572048187256
astropy__astropy-8707,3.874545097351074
astropy__astropy-8872,4.22845458984375
django__django-10097,1.3193588256835938
django__django-10554,9.959571838378906
django__django-10880,-1.3803391456604004
django__django-10914,-2.9351701736450195
django__django-10973,-1.6939040422439575
django__django-10999,10.218622207641602
django__django-11066,-4.723286151885986
django__django-11087,10.267778396606445
django__django-11095,-3.313649892807007
django__django-11099,-4.511704921722412
django__django-11119,-4.89251708984375
django__django-11133,-4.070550441741943
django__django-11138,4.807284355163574
django__django-11141,2.778550148010254
django__django-11149,1.7198967933654785
django__django-11163,-4.077816486358643
django__django-11179,-2.908036231994629
django__django-11206,1.7548869848251343
django__django-11211,-0.8185173869132996
django__django-11239,1.57716703414917
django__django-11265,1.3612436056137085
django__django-11276,-1.7703548669815063
django__django-11292,-1.9105908870697021
django__django-11299,0.8515421748161316
django__django-11333,0.642602264881134
django__django-11400,9.360041618347168
django__django-11433,3.894909620285034
django__django-11451,-1.8283109664916992
django__django-11477,5.428338050842285
django__django-11490,1.1325163841247559
django__django-11532,0.5815719962120056
django__django-11551,-3.2021172046661377
django__django-11555,1.0529049634933472
django__django-11603,-4.0612568855285645
django__django-11728,4.677392482757568
django__django-11734,5.353667736053467
django__django-11740,0.11158466339111328
django__django-11749,-1.0471601486206055
django__django-11790,1.71567964553833
django__django-11815,-0.7600548267364502
django__django-11820,5.842787742614746
django__django-11848,1.842276692390442
django__django-11880,-4.24284029006958
django__django-11885,4.393404006958008
django__django-11951,-1.930253028869629
django__django-11964,1.518207311630249
django__django-11999,-2.255784749984741
django__django-12039,0.10736168920993805
django__django-12050,-2.6165435314178467
django__django-12125,0.7921706438064575
django__django-12143,-4.562630653381348
django__django-12155,-5.2911200523376465
django__django-12193,-0.5414750576019287
django__django-12209,-2.105825901031494
django__django-12262,-0.17811742424964905
django__django-12273,3.0274035930633545
django__django-12276,-2.5314135551452637
django__django-12304,-0.23582907021045685
django__django-12308,2.5874509811401367
django__django-12325,2.9686741828918457
django__django-12406,9.474066734313965
django__django-12419,-3.639267683029175
django__django-12663,0.7791069149971008
django__django-12708,-0.49846360087394714
django__django-12713,-2.2408995628356934
django__django-12741,-0.8713446259498596
django__django-12754,1.064164161682129
django__django-12774,0.7559638023376465
django__django-12858,-0.6879727840423584
django__django-12965,1.3807027339935303
django__django-13012,-0.584721565246582
django__django-13023,0.5461172461509705
django__django-13028,-1.5235532522201538
django__django-13033,-0.033860478550195694
django__django-13089,-4.103420257568359
django__django-13109,-4.25527286529541
django__django-13112,1.3436464071273804
django__django-13121,0.7216222286224365
django__django-13128,1.0364731550216675
django__django-13158,0.25305768847465515
django__django-13195,10.088784217834473
django__django-13212,10.109813690185547
django__django-13279,-0.6015161275863647
django__django-13297,0.9278577566146851
django__django-13315,-0.36774230003356934
django__django-13343,-0.954831063747406
django__django-13344,10.093754768371582
django__django-13346,0.9296458959579468
django__django-13363,-3.423351526260376
django__django-13401,-0.7157172560691833
django__django-13406,0.45196372270584106
django__django-13410,-3.568195104598999
django__django-13417,-1.8738572597503662
django__django-13449,0.21633557975292206
django__django-13512,1.4803012609481812
django__django-13513,10.0987548828125
django__django-13516,-2.377963066101074
django__django-13551,1.3455047607421875
django__django-13568,1.3672038316726685
django__django-13569,-1.2098811864852905
django__django-13590,-1.059220314025879
django__django-13658,-5.5864386558532715
django__django-13670,-3.3819773197174072
django__django-13741,-4.070517063140869
django__django-13786,-3.0257654190063477
django__django-13794,4.353000640869141
django__django-13807,1.9111855030059814
django__django-13809,-1.6481456756591797
django__django-13810,-1.318865418434143
django__django-13820,-3.3240575790405273
django__django-13821,-2.93978214263916
django__django-13837,-1.4651193618774414
django__django-13925,0.8745787739753723
django__django-13933,-2.1821541786193848
django__django-13964,0.11921376734972
django__django-14007,-0.35185688734054565
django__django-14011,10.247676849365234
django__django-14017,-0.3025357127189636
django__django-14034,10.017682075500488
django__django-14053,-1.5560640096664429
django__django-14089,-4.237576961517334
django__django-14122,-0.2684272229671478
django__django-14140,1.698861837387085
django__django-14155,9.830775260925293
django__django-14170,6.046054363250732
django__django-14238,-1.961674690246582
django__django-14311,0.8262315988540649
django__django-14315,4.799825668334961
django__django-14349,-2.43179988861084
django__django-14351,1.2596595287322998
django__django-14373,-5.714023590087891
django__django-14376,2.647688150405884
django__django-14404,2.0838911533355713
django__django-14434,-0.9075761437416077
django__django-14493,-1.9536370038986206
django__django-14500,-0.7923840880393982
django__django-14534,4.012510299682617
django__django-14539,-1.5939085483551025
django__django-14559,-1.0812432765960693
django__django-14580,0.30243051052093506
django__django-14608,-1.229144811630249
django__django-14631,1.360713243484497
django__django-14672,-2.989854574203491
django__django-14725,4.281761169433594
django__django-14752,-3.8843791484832764
django__django-14765,-3.9219541549682617
django__django-14771,0.49864286184310913
django__django-14787,-1.6691900491714478
django__django-14792,5.9931840896606445
django__django-14855,-4.571261882781982
django__django-14915,-3.5852723121643066
django__django-14999,-0.5303660035133362
django__django-15022,-0.29808861017227173
django__django-15037,0.6385923624038696
django__django-15098,6.112588882446289
django__django-15103,-1.0287368297576904
django__django-15104,-4.731068134307861
django__django-15127,2.1078994274139404
django__django-15128,0.310163289308548
django__django-15161,0.7762370705604553
django__django-15252,9.823567390441895
django__django-15268,0.9991132020950317
django__django-15277,-4.1395063400268555
django__django-15278,-1.636177659034729
django__django-15280,4.348020553588867
django__django-15315,-2.6780924797058105
django__django-15368,-3.757612705230713
django__django-15375,1.1026194095611572
django__django-15380,-1.2406924962997437
django__django-15382,-0.4874265789985657
django__django-15467,-4.819202423095703
django__django-15499,-2.3693020343780518
django__django-15503,2.9179983139038086
django__django-15525,-0.027068747207522392
django__django-15554,2.4421675205230713
django__django-15561,-1.646345853805542
django__django-15563,3.04646635055542
django__django-15569,-3.4279487133026123
django__django-15572,-1.7848784923553467
django__django-15629,10.07604694366455
django__django-15695,3.963499069213867
django__django-15731,-2.7955257892608643
django__django-15732,3.0425500869750977
django__django-15741,-2.708036422729492
django__django-15814,-1.1315515041351318
django__django-15851,-3.019656181335449
django__django-15863,-1.6424390077590942
django__django-15916,1.5108304023742676
django__django-15930,-0.09499797224998474
django__django-15957,6.126664638519287
django__django-15973,6.100644111633301
django__django-15987,-0.8700171709060669
django__django-16032,0.15312102437019348
django__django-16082,-0.6226619482040405
django__django-16100,-1.0845545530319214
django__django-16116,-1.669663667678833
django__django-16136,-1.0927749872207642
django__django-16139,-4.3605828285217285
django__django-16145,-2.6987948417663574
django__django-16255,-4.787773132324219
django__django-16256,10.215197563171387
django__django-16263,10.224260330200195
django__django-16315,1.4383985996246338
django__django-16333,-3.6645455360412598
django__django-16429,-4.193569183349609
django__django-16454,2.040128469467163
django__django-16485,-3.0778186321258545
django__django-16493,-2.7399961948394775
django__django-16502,9.969701766967773
django__django-16527,-4.765706539154053
django__django-16560,2.208651542663574
django__django-16569,-5.124823570251465
django__django-16595,-3.492619514465332
django__django-16612,-2.3652713298797607
django__django-16631,10.156946182250977
django__django-16642,-0.39676231145858765
django__django-16661,0.2766360938549042
django__django-16662,-1.9861985445022583
django__django-16667,9.942543983459473
