,theta,theta_std
ante_gemini-3-pro-preview_at_google,2.6852378845214844,0.40190083
factory_droid_gpt-5_2_at_openai,2.595147132873535,0.40443236
factory_droid_claude-opus-4-5-20251101_at_anthropic,2.4916796684265137,0.3051557
codex_gpt-5_2_at_openai,2.4177849292755127,0.3350526
junie_gemini-3-flash-preview_at_gemini,2.3903119564056396,0.31468457
"warp_claude-haiku-4-5_at_anthropic,gpt-5_2_at_openai",2.3647782802581787,0.34608614
ii-agent-simple_gemini-3-pro-preview_at_gemini,2.1744775772094727,0.27006555
factory_droid_gemini-3-pro-preview_at_google,1.9923043251037598,0.27866578
codex_gpt-5_1-codex_at_openai,1.9665884971618652,0.2991066
terminus-2_gpt-5_2_at_openai,1.8548457622528076,0.27485868
letta-code_gemini-3-pro-preview_at_google,1.8051868677139282,0.32140514
"abacusai_claude-haiku-4-5_at_anthropic,gemini-3-pro-preview_at_google",1.8039898872375488,0.2430994
letta-code_claude-opus-4-5_at_anthropic,1.7924896478652954,0.3343848
codex_gpt-5_1-codex-max_at_openai,1.7315623760223389,0.26557073
gemini-cli_gemini-3-flash-preview_at_google,1.7194945812225342,0.3140741
terminus-2_claude-opus-4-5-20251101_at_anthropic,1.6374496221542358,0.3149165
"warp_claude-haiku-4-5-20251001_at_anthropic,gemini-3-pro-preview_at_google,gpt-5-nano_at_openai",1.5794929265975952,0.2942516
openhands_claude-opus-4-5-20251101_at_anthropic,1.542665719985962,0.23685743
letta-code_gpt-5_1-codex_at_openai,1.482112169265747,0.23537977
goose_claude-opus-4-5_at_anthropic,1.4700357913970947,0.35563165
claude-code_claude-opus-4-5-20251101_at_anthropic,1.4647973775863647,0.2739809
terminus-2_gemini-3-pro-preview_at_gemini,1.350828766822815,0.27508014
codex_gpt-5_1-codex-mini_at_openai,0.9740025997161865,0.24707133
terminus-2_gpt-5_1-codex_at_openai,0.8312690854072571,0.28269586
"warp_claude-haiku-4-5-20251001_at_anthropic,claude-sonnet-4-5-20250929_at_anthropic,gpt-5-nano_at_openai",0.820085883140564,0.26951113
terminus-2_gpt-5_1_at_openai,0.8076169490814209,0.28750935
terminus-2_gpt-5-codex_at_openai,0.639106273651123,0.25220945
terminalbenchagent_claude-sonnet-4-5_at_anthropic,0.5909745097160339,0.23859589
openhands_gpt-5_at_openai,0.5700773000717163,0.21768962
codex_gpt-5-codex_at_openai,0.536317765712738,0.2852099
openhands_claude-sonnet-4-5-20250929_at_anthropic,0.508413553237915,0.26364028
mini-swe-agent_claude-sonnet-4-5-20250929_at_anthropic,0.4843052625656128,0.26584044
mini-swe-agent_gpt-5-codex_at_openai,0.3455074727535248,0.32500288
terminus-2_claude-sonnet-4-5-20250929_at_anthropic,0.33902427554130554,0.32237563
claude-code_claude-sonnet-4-5-20250929_at_anthropic,0.33138173818588257,0.20184378
terminus-2_gpt-5_at_openai,0.29306402802467346,0.22791332
terminus-2_gemini-2_5-pro_at_gemini,0.2733760178089142,0.29129943
goose_claude-sonnet-4-5_at_anthropic,0.21344336867332458,0.25000635
mini-swe-agent_gpt-5_at_openai,0.1487003117799759,0.26101094
claude-code_minimax-m2_1_at_minimax,-0.0640922337770462,0.2559447
openhands_claude-opus-4-1-20250805_at_anthropic,-0.0879121795296669,0.31991702
spoox-m_gpt-5-mini_at_openai,-0.09656863659620285,0.24189295
terminus-2_moonshotai/kimi-k2-thinking_at_together_ai,-0.14614808559417725,0.2301631
goose_claude-haiku-4-5_at_anthropic,-0.1554129719734192,0.24566337
codex_gpt-5-mini_at_openai,-0.20457309484481812,0.25319538
claude-code_claude-opus-4-1-20250805_at_anthropic,-0.20759595930576324,0.27095884
terminus-2_minimax-m2_1_at_openai,-0.22487753629684448,0.318152
openhands_grok-4-0709_at_xai,-0.26245710253715515,0.2338301
mini-swe-agent_claude-opus-4-1-20250805_at_anthropic,-0.31684476137161255,0.20599684
mini-swe-agent_grok-4-0709_at_xai,-0.40310853719711304,0.3038121
mini-swe-agent_grok-code-fast-1_at_xai,-0.5634539723396301,0.26904377
terminus-2_claude-haiku-4-5-20251001_at_anthropic,-0.5703664422035217,0.2266102
terminus-2_accounts/fireworks/models/minimax-m2_at_fireworks_ai,-0.5964754223823547,0.2998603
claude-code_claude-haiku-4-5-20251001_at_anthropic,-0.6039482355117798,0.30511776
mini-swe-agent_gemini-2_5-pro_at_gemini,-0.6159716844558716,0.19073848
terminus-2_grok-4-0709_at_xai,-0.6313408017158508,0.24975872
gemini-cli_gemini-2_5-pro_at_gemini,-0.6915015578269958,0.27503648
openhands_gpt-5-mini_at_openai,-0.7019132375717163,0.23650455
terminus-2_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,-0.7503479719161987,0.18710765
final_claude-4_5-sonnet_at_anthropic,-0.8261977434158325,0.19270611
terminus-2_accounts/fireworks/models/glm-4p6_at_fireworks_ai,-0.8333590626716614,0.28130862
mini-swe-agent_claude-haiku-4-5-20251001_at_anthropic,-0.8479806780815125,0.23972866
terminus-2_moonshotai/kimi-k2-instruct-0905_at_together_ai,-0.8620356321334839,0.22122954
openhands_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,-0.9235391616821289,0.25969872
aone-agent_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_modelscope,-1.028416395187378,0.23815344
openhands_moonshotai/kimi-k2-instruct-0905_at_together_ai,-1.1021943092346191,0.23414786
terminus-2_openai/gpt-oss-120b_at_together_ai,-1.126174807548523,0.32258987
terminus-2_gpt-5-mini_at_openai,-1.144057273864746,0.20063323
openhands_claude-haiku-4-5-20251001_at_anthropic,-1.299272894859314,0.22990587
mini-swe-agent_gemini-2_5-flash_at_gemini,-1.3307311534881592,0.28973588
mini-swe-agent_gpt-5-mini_at_openai,-1.359947919845581,0.24290136
openhands_gemini-2_5-pro_at_gemini,-1.3887602090835571,0.285746
openhands_gemini-2_5-flash_at_gemini,-1.4373910427093506,0.28576773
terminus-2_grok-code-fast-1_at_xai,-1.6849164962768555,0.30513403
terminus-2_gemini-2_5-flash_at_gemini,-1.7859423160552979,0.2296114
gemini-cli_gemini-2_5-flash_at_gemini,-1.8486967086791992,0.23782565
codex_gpt-5-nano_at_openai,-2.059624433517456,0.30944723
mini-swe-agent_openai/gpt-oss-120b_at_together_ai,-2.360846757888794,0.31128547
openhands_gpt-5-nano_at_openai,-2.483370304107666,0.32354918
mini-swe-agent_gpt-5-nano_at_openai,-2.938310146331787,0.3076352
terminus-2_gpt-5-nano_at_openai,-3.1180033683776855,0.2475682
terminus-2_openai/gpt-oss-20b_at_together_ai,-3.56481671333313,0.3109963
mini-swe-agent_openai/gpt-oss-20b_at_together_ai,-3.852327823638916,0.37755135
