,a,b,a_std,b_std
adaptive-rejection-sampler,0.7616888880729675,-1.1787551641464233,0.12624875,0.39662188
bn-fit-modify,1.5063581466674805,-1.0783610343933105,0.22143088,0.2053765
break-filter-js-from-html,1.2136467695236206,0.5903068780899048,0.23897405,0.21114966
build-cython-ext,1.3527460098266602,0.0013426393270492554,0.23050828,0.223492
build-pmars,1.1582285165786743,-2.843019962310791,0.16785264,0.42775676
build-pov-ray,1.347618818283081,-1.1718047857284546,0.24769829,0.23621608
caffe-cifar-10,0.7134619355201721,3.809950590133667,0.089069776,0.6913304
cancel-async-tasks,0.2870425283908844,-2.7129366397857666,0.07856268,0.7514948
chess-best-move,1.3372217416763306,2.315645694732666,0.24091908,0.24256033
circuit-fibsqrt,1.9073185920715332,0.6218807697296143,0.29556566,0.22966877
cobol-modernization,1.3762418031692505,-3.3405721187591553,0.21028133,0.4081271
code-from-image,1.4869062900543213,-2.1559102535247803,0.2676977,0.23792939
compile-compcert,1.1101542711257935,-0.5127491354942322,0.21900496,0.18431845
configure-git-webserver,0.5481454730033875,-2.149956464767456,0.109343275,0.35923412
constraints-scheduling,1.6753287315368652,-4.555893898010254,0.25798833,0.924437
count-dataset-tokens,1.5239628553390503,-0.5647532939910889,0.17929843,0.18961698
crack-7z-hash,1.4707834720611572,-1.5574977397918701,0.18567748,0.22893856
custom-memory-heap-crash,1.8608040809631348,-2.0450823307037354,0.27419958,0.3414968
db-wal-recovery,0.7438000440597534,2.3984668254852295,0.09478748,0.44856158
distribution-search,1.3533930778503418,-1.98841392993927,0.26842925,0.2496628
dna-assembly,1.4709690809249878,2.34053635597229,0.29877728,0.24574998
dna-insert,1.0553333759307861,2.597212076187134,0.16761048,0.32340035
extract-elf,0.725213885307312,-2.2154598236083984,0.11754683,0.61192495
extract-moves-from-video,1.4652425050735474,3.5235066413879395,0.20768072,0.35411975
feal-differential-cryptanalysis,1.5488941669464111,0.07614640891551971,0.28329727,0.1863223
feal-linear-cryptanalysis,0.9168067574501038,0.48196035623550415,0.24916615,0.23956436
filter-js-from-html,1.063769817352295,4.6632161140441895,0.17340961,0.5871763
financial-document-processor,1.1998167037963867,0.6232514977455139,0.23762377,0.2210384
fix-code-vulnerability,1.3311126232147217,-1.6960443258285522,0.18975855,0.24168496
fix-git,1.6062581539154053,-3.923426866531372,0.31215528,0.4978962
fix-ocaml-gc,1.6528217792510986,-1.2601674795150757,0.23267186,0.20566402
gcode-to-text,1.340660572052002,2.7178444862365723,0.25945526,0.31451684
git-leak-recovery,1.586929440498352,-3.0621895790100098,0.23614167,0.39900568
git-multibranch,1.3451018333435059,-2.538958787918091,0.2364013,0.26348737
gpt2-codegolf,1.0948305130004883,4.7099385261535645,0.18510471,0.5831887
headless-terminal,1.2498102188110352,-2.367553949356079,0.1954479,0.25099084
hf-model-inference,0.8618682026863098,-2.748300075531006,0.16710573,0.39607123
install-windows-3.11,1.44769287109375,3.1387245655059814,0.33398378,0.30782023
kv-store-grpc,0.6167078614234924,-0.8480753302574158,0.12530579,0.46449184
large-scale-text-editing,1.6609371900558472,-1.046468734741211,0.28365877,0.1538767
largest-eigenval,1.0046360492706299,-0.3027089238166809,0.12415372,0.29960757
llm-inference-batching-scheduler,1.7785494327545166,0.3591075837612152,0.23659411,0.17560098
log-summary-date-ranges,1.5472129583358765,-1.422719120979309,0.24061653,0.21652022
mailman,1.8848320245742798,-0.8658757209777832,0.24625342,0.13094757
make-doom-for-mips,1.4474008083343506,5.025278568267822,0.26579455,0.90483224
make-mips-interpreter,1.4434514045715332,2.5394818782806396,0.23630373,0.3098548
mcmc-sampling-stan,0.9759236574172974,-1.5628712177276611,0.14796159,0.23765254
merge-diff-arc-agi-task,1.4760656356811523,-2.141004800796509,0.21563827,0.40042335
model-extraction-relu-logits,0.2722417116165161,1.578739047050476,0.14605482,0.6516318
modernize-scientific-stack,1.307898759841919,-3.951387405395508,0.27227306,0.5844031
mteb-leaderboard,1.060699224472046,2.3232977390289307,0.15476549,0.32842028
mteb-retrieve,1.0421931743621826,2.035940408706665,0.23900875,0.3779897
multi-source-data-merger,0.969551146030426,-4.395299434661865,0.18964377,0.7462189
nginx-request-logging,1.441098690032959,-3.83012056350708,0.23129153,0.33344612
openssl-selfsigned-cert,0.6826356053352356,-2.855196952819824,0.12392488,0.373407
overfull-hbox,1.6985145807266235,-0.18072520196437836,0.25184333,0.20710324
password-recovery,1.5249645709991455,-0.14594458043575287,0.22450808,0.16540013
path-tracing,1.2077113389968872,1.4042975902557373,0.25868377,0.21401182
