,theta1,theta1_std,theta2,theta2_std,theta_avg
ante_gemini-3-pro-preview_at_google,0.1935435,0.36335352,1.6344308,0.24317917,0.91398716
factory_droid_claude-opus-4-5-20251101_at_anthropic,0.18253627,0.37145364,1.4757802,0.22882628,0.82915825
factory_droid_gpt-5_2_at_openai,-0.09181696,0.35770527,1.7209231,0.24511366,0.814553
"abacusai_claude-haiku-4-5_at_anthropic,gemini-3-pro-preview_at_google",0.22355133,0.37116408,1.3050219,0.21564294,0.76428664
junie_gemini-3-flash-preview_at_gemini,0.021344261,0.3622577,1.506271,0.23904918,0.76380765
codex_gpt-5_2_at_openai,-0.16198674,0.3749376,1.6392475,0.24252698,0.7386304
"warp_claude-haiku-4-5_at_anthropic,gpt-5_2_at_openai",-0.23394549,0.32238647,1.6430804,0.2508557,0.70456743
terminus-2_claude-opus-4-5-20251101_at_anthropic,0.35856757,0.37172902,1.0177785,0.2123773,0.68817306
factory_droid_gemini-3-pro-preview_at_google,0.12058193,0.36604422,1.1896929,0.21346362,0.6551374
letta-code_claude-opus-4-5_at_anthropic,0.3269303,0.3604462,0.981635,0.20660205,0.6542826
ii-agent-simple_gemini-3-pro-preview_at_gemini,-0.031986877,0.33584237,1.3369963,0.22158523,0.65250474
letta-code_gemini-3-pro-preview_at_google,0.20651512,0.34935632,1.0059563,0.22467111,0.6062357
goose_claude-opus-4-5_at_anthropic,0.25162846,0.38081977,0.9125,0.20813294,0.5820643
"warp_claude-haiku-4-5-20251001_at_anthropic,gemini-3-pro-preview_at_google,gpt-5-nano_at_openai",0.082158655,0.32610756,1.0615875,0.21250552,0.57187307
codex_gpt-5_1-codex_at_openai,-0.33704287,0.3594784,1.4488008,0.22344366,0.555879
terminus-2_gpt-5_2_at_openai,-0.14746301,0.34860525,1.2422454,0.21032193,0.54739124
codex_gpt-5_1-codex-max_at_openai,-0.2338371,0.35033244,1.2978151,0.22413574,0.531989
openhands_claude-opus-4-5-20251101_at_anthropic,-0.029719397,0.3398282,1.0451932,0.21885894,0.5077369
claude-code_claude-opus-4-5-20251101_at_anthropic,0.13372824,0.35492268,0.8719022,0.21043903,0.50281525
letta-code_gpt-5_1-codex_at_openai,-0.0905898,0.3458812,0.9515913,0.2055582,0.43050075
terminus-2_gemini-3-pro-preview_at_gemini,-0.018441796,0.3265137,0.8748744,0.20483994,0.4282163
"warp_claude-haiku-4-5-20251001_at_anthropic,claude-sonnet-4-5-20250929_at_anthropic,gpt-5-nano_at_openai",0.31789201,0.35289747,0.48696858,0.19629358,0.4024303
gemini-cli_gemini-3-flash-preview_at_google,-0.5865229,0.36754173,1.1872845,0.19486292,0.3003808
mini-swe-agent_claude-sonnet-4-5-20250929_at_anthropic,0.29285705,0.34256738,0.27223247,0.18716995,0.28254476
terminus-2_claude-sonnet-4-5-20250929_at_anthropic,0.3180937,0.32997337,0.23214677,0.18636943,0.27512023
goose_claude-sonnet-4-5_at_anthropic,0.4552798,0.3757194,0.080524996,0.1905729,0.2679024
terminalbenchagent_claude-sonnet-4-5_at_anthropic,0.2413496,0.3297058,0.28889424,0.19226567,0.2651219
goose_claude-haiku-4-5_at_anthropic,0.6948936,0.36942,-0.21409327,0.19117701,0.24040017
openhands_claude-sonnet-4-5-20250929_at_anthropic,0.20428802,0.33053237,0.25183582,0.18391523,0.22806191
terminus-2_gemini-2_5-pro_at_gemini,0.24625528,0.34351456,0.12102713,0.19320747,0.1836412
terminus-2_gpt-5_1_at_openai,-0.21275936,0.29505557,0.5714373,0.1988576,0.17933896
claude-code_claude-sonnet-4-5-20250929_at_anthropic,0.13206036,0.32234955,0.21342137,0.19172329,0.17274088
openhands_gpt-5_at_openai,-0.13834198,0.31766304,0.48080713,0.20811462,0.17123258
terminus-2_gpt-5_1-codex_at_openai,-0.23124753,0.3139608,0.4918226,0.19794647,0.13028753
terminus-2_gpt-5-codex_at_openai,-0.2779119,0.31966016,0.5079415,0.19089049,0.11501479
openhands_claude-opus-4-1-20250805_at_anthropic,0.25663438,0.30511075,-0.03330879,0.1869592,0.1116628
