,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std
adaptive-rejection-sampler,0.11306034,-0.11194891,0.23289892,0.61019695,1.3065639,-0.614705,0.22783293,0.2197471
bn-fit-modify,0.10041682,-0.15455942,0.23955584,0.6047634,1.9494951,-0.65537494,0.29243037,0.16161712
break-filter-js-from-html,0.3405476,-0.036270157,0.22898339,0.50161046,1.7856278,0.42877117,0.2602033,0.16379346
build-cython-ext,0.36147305,-0.15719181,0.23872554,0.45105168,1.8808302,0.07258845,0.25943798,0.1491104
build-pmars,0.74520594,-1.0669396,0.23415008,0.42247042,1.4978367,-1.3951122,0.25542673,0.3097579
build-pov-ray,0.71284455,-0.40168574,0.26559877,0.3395044,1.7876923,-0.71128917,0.26697746,0.18079224
caffe-cifar-10,0.83562654,1.4597483,0.16187118,0.37538043,0.7935201,1.0330118,0.27738735,0.48156562
cancel-async-tasks,0.547417,-1.1507378,0.1670137,0.41631675,0.5054139,-0.71921724,0.20379245,0.5034602
chess-best-move,0.35700253,0.02236115,0.24964967,0.52955186,1.8889632,1.4850194,0.25845417,0.21409032
circuit-fibsqrt,0.3054748,-0.029535973,0.2266076,0.5163495,2.382297,0.5185449,0.3172888,0.13594717
cobol-modernization,0.6110309,-0.8894285,0.24677268,0.58817947,1.8186361,-1.9962015,0.2842367,0.36184815
code-from-image,0.6020374,-0.5050736,0.2721672,0.43897724,1.9213771,-1.2870165,0.28188476,0.23214816
compile-compcert,0.77087843,-0.2446563,0.25301343,0.2651546,1.4560719,-0.21602617,0.23976754,0.20665328
configure-git-webserver,0.6194704,-0.808557,0.19729008,0.41449222,0.9592875,-0.8846926,0.23838139,0.31046033
constraints-scheduling,0.6078778,-1.1593665,0.27402395,0.67302144,1.8510056,-2.3928897,0.3220142,0.4648265
count-dataset-tokens,0.31580505,-0.19592696,0.2265498,0.51131403,1.8388448,-0.3598558,0.2901152,0.17231017
crack-7z-hash,0.66790926,-0.5181425,0.24588707,0.33374998,1.8333149,-0.83582073,0.26886007,0.18622997
custom-memory-heap-crash,0.5554796,-0.5255127,0.25393665,0.47605395,2.1380181,-1.2883993,0.3454853,0.2005806
db-wal-recovery,-0.13808161,-0.31684843,0.27716893,0.5325758,1.2404286,1.243415,0.21471404,0.24619488
distribution-search,0.27353647,-0.28677425,0.26555017,0.56600577,1.8952535,-1.265268,0.26062894,0.18737957
dna-assembly,0.68867284,0.4333044,0.26568234,0.38097495,1.8538864,1.5074047,0.27449608,0.23230626
dna-insert,0.54395324,0.24083634,0.2620449,0.47899657,1.5766674,1.654472,0.23990422,0.29039508
extract-elf,0.55452025,-0.7913485,0.210222,0.39547706,1.1008852,-1.0170329,0.2450287,0.28213298
extract-moves-from-video,0.6135436,0.6278343,0.23840736,0.55486274,1.7523245,2.0701022,0.29517442,0.3127609
feal-differential-cryptanalysis,0.5474313,-0.12842606,0.24498725,0.41157374,1.9659733,0.074851334,0.28031683,0.14941394
feal-linear-cryptanalysis,-0.23656215,-0.15023026,0.31906763,0.5114035,1.830023,0.38238814,0.25803232,0.15246448
filter-js-from-html,0.570132,1.022574,0.25673366,0.7836665,1.6347306,2.462827,0.28458828,0.46098515
financial-document-processor,0.41850546,-0.036900226,0.24401,0.44370264,1.7318271,0.50849766,0.25803763,0.17421013
fix-code-vulnerability,0.49740696,-0.2957265,0.2407654,0.41109157,1.7254547,-0.9413478,0.26647174,0.18796657
fix-git,0.7022386,-0.97549766,0.2825992,0.6036206,1.8846644,-2.1464589,0.3120785,0.3711086
fix-ocaml-gc,0.4018115,-0.23150831,0.25264123,0.49491858,1.9582955,-0.78134125,0.29656747,0.17328215
gcode-to-text,0.3080518,-0.017326085,0.2688153,0.5851614,1.8046297,1.8629651,0.25606996,0.23866883
git-leak-recovery,0.6615796,-0.93631166,0.26914015,0.5355282,1.919258,-1.7515292,0.30614987,0.3214751
git-multibranch,0.7776125,-1.0109495,0.23442796,0.4128282,1.5897429,-1.3070474,0.27118987,0.30071768
gpt2-codegolf,0.5908329,0.8805694,0.25982177,0.7234873,1.6609538,2.582259,0.27321893,0.46872148
headless-terminal,0.59227735,-0.53609544,0.22817217,0.45579553,1.6345867,-1.3755702,0.23975438,0.23052505
hf-model-inference,0.28367427,-0.3665813,0.2505951,0.6460834,1.5029753,-1.5605046,0.22092766,0.26545718
install-windows-3.11,0.6207382,0.51564604,0.24987876,0.48910943,1.7470285,2.030802,0.27556118,0.30997214
kv-store-grpc,0.7658854,-0.41598108,0.23825221,0.2722121,0.77496505,-0.25270385,0.23416,0.33398134
large-scale-text-editing,0.22134405,-0.2210103,0.25552273,0.54520035,2.211137,-0.7442792,0.31144425,0.15340644
largest-eigenval,1.0655295,-0.18131405,0.30728853,0.21737091,1.3638366,-0.094961375,0.24174795,0.21452612
llm-inference-batching-scheduler,0.148489,-0.18598358,0.24575092,0.5907565,2.3418891,0.24099518,0.3347102,0.14146416
log-summary-date-ranges,0.7331521,-0.45855567,0.2550591,0.33770338,1.8279761,-0.831948,0.28054404,0.2015895
mailman,0.5618763,-0.26087102,0.2499575,0.3817163,2.1737974,-0.49685606,0.3290956,0.15840471
make-doom-for-mips,0.6793318,1.1943061,0.27698272,0.9195033,1.8662966,2.7957685,0.34915245,0.74281085
make-mips-interpreter,0.26974177,-0.04166361,0.26616848,0.58380055,1.8958626,1.6202744,0.2764526,0.22213744
mcmc-sampling-stan,0.8840179,-0.6309849,0.2525323,0.2952177,1.3611308,-0.70400643,0.26269925,0.24381123
merge-diff-arc-agi-task,0.60146827,-0.5304308,0.23444226,0.4544588,1.7784969,-1.2716088,0.2760598,0.22720733
