,theta1,theta1_std,theta2,theta2_std,theta3,theta3_std,theta_avg
"warp_claude-haiku-4-5_at_anthropic,gpt-5_2_at_openai",0.05893758,0.27968302,1.5240756,0.35306412,0.89393693,0.2500236,0.82565004
codex_gpt-5_2_at_openai,0.06330434,0.27469346,1.3415489,0.35943484,0.97772115,0.24706037,0.7941914
factory_droid_gpt-5_2_at_openai,-0.025829319,0.28681648,0.82415503,0.35921562,1.5448027,0.3074752,0.7810428
ante_gemini-3-pro-preview_at_google,0.045799803,0.28848678,0.5528518,0.34460074,1.6960691,0.28791535,0.7649069
junie_gemini-3-flash-preview_at_gemini,0.039485417,0.2844644,0.4516573,0.3305776,1.5274088,0.27975917,0.67285055
codex_gpt-5_1-codex_at_openai,0.017062733,0.2741978,1.1279236,0.36697835,0.8708898,0.2516567,0.67195874
codex_gpt-5_1-codex-max_at_openai,0.08954936,0.2628741,1.1955237,0.34832597,0.63932556,0.24625483,0.6414662
terminus-2_gpt-5_2_at_openai,0.094956204,0.30421826,1.0223752,0.3489663,0.798951,0.24982536,0.6387608
factory_droid_claude-opus-4-5-20251101_at_anthropic,-0.054265607,0.28143674,-0.36205098,0.3219338,2.2658842,0.34094942,0.6165225
ii-agent-simple_gemini-3-pro-preview_at_gemini,0.052847493,0.26547578,0.6618886,0.32167488,1.1139714,0.2700411,0.60956913
"abacusai_claude-haiku-4-5_at_anthropic,gemini-3-pro-preview_at_google",0.020060563,0.2778414,0.030440435,0.29710662,1.6538358,0.28917906,0.56811225
gemini-cli_gemini-3-flash-preview_at_google,-0.05026219,0.29495868,1.0046889,0.3646362,0.6248406,0.23704578,0.52642244
"warp_claude-haiku-4-5-20251001_at_anthropic,gemini-3-pro-preview_at_google,gpt-5-nano_at_openai",0.04955934,0.2845125,0.27455208,0.31069732,1.1856428,0.253005,0.5032514
letta-code_gemini-3-pro-preview_at_google,0.083562195,0.27505872,0.30304697,0.3008524,1.1223637,0.23725063,0.50299096
openhands_claude-opus-4-5-20251101_at_anthropic,-0.012951297,0.28592384,0.4649943,0.30298838,0.9823596,0.25220296,0.47813419
factory_droid_gemini-3-pro-preview_at_google,-0.052158356,0.28348058,-0.073198184,0.2820961,1.5258499,0.2783388,0.46683112
letta-code_gpt-5_1-codex_at_openai,0.024538212,0.26774347,0.6617669,0.3002535,0.713396,0.22107431,0.46656704
terminus-2_claude-opus-4-5-20251101_at_anthropic,0.017156739,0.29228127,-0.38428876,0.30076692,1.6535256,0.26160082,0.42879787
terminus-2_gemini-3-pro-preview_at_gemini,0.035662923,0.2858545,0.4117876,0.3083679,0.74252665,0.25175062,0.39665905
letta-code_claude-opus-4-5_at_anthropic,-0.040657867,0.28949183,-0.51474905,0.29458067,1.7341152,0.29076713,0.39290276
goose_claude-opus-4-5_at_anthropic,0.00075387955,0.26483315,-0.32456326,0.30412522,1.4318777,0.27859616,0.36935613
codex_gpt-5_1-codex-mini_at_openai,-0.026994739,0.27775565,0.8260377,0.30164415,0.2546225,0.22528976,0.3512218
claude-code_claude-opus-4-5-20251101_at_anthropic,-0.048558947,0.28812218,-0.40696213,0.29484814,1.4696232,0.2573118,0.33803403
openhands_gpt-5_at_openai,0.0994874,0.27821764,0.7124825,0.30910587,0.17274451,0.20649701,0.32823816
terminus-2_gpt-5_1_at_openai,0.049942028,0.2700947,0.50662917,0.2883019,0.36607057,0.20478377,0.30754724
codex_gpt-5-codex_at_openai,0.024650898,0.287683,0.8251977,0.32111448,0.04186371,0.22313787,0.29723743
terminus-2_gpt-5_1-codex_at_openai,0.04213294,0.2745523,0.67813766,0.31374267,0.13992497,0.21842593,0.28673184
terminus-2_gpt-5_at_openai,-0.014025193,0.28373656,1.0215659,0.30509198,-0.22982822,0.21405074,0.2592375
"warp_claude-haiku-4-5-20251001_at_anthropic,claude-sonnet-4-5-20250929_at_anthropic,gpt-5-nano_at_openai",0.065978475,0.2857184,-0.24591343,0.29942584,0.9326529,0.24187484,0.250906
terminus-2_gpt-5-codex_at_openai,0.02390304,0.2895469,0.4481866,0.29582942,0.2793099,0.22260594,0.2504665
mini-swe-agent_gpt-5-codex_at_openai,0.04566904,0.2783348,0.57735026,0.2891064,0.061091885,0.22840005,0.22803706
mini-swe-agent_gpt-5_at_openai,0.018828463,0.2901668,0.98780555,0.2979186,-0.35139188,0.20805876,0.21841402
terminus-2_gemini-2_5-pro_at_gemini,0.102710105,0.27795973,0.119823165,0.28699622,0.1872487,0.22164644,0.136594
mini-swe-agent_claude-sonnet-4-5-20250929_at_anthropic,0.031348053,0.3048088,-0.33726078,0.29884967,0.65321904,0.22613156,0.11576877
terminus-2_claude-sonnet-4-5-20250929_at_anthropic,0.061020203,0.2560935,-0.43264318,0.28530395,0.68806845,0.21810083,0.105481826
openhands_claude-sonnet-4-5-20250929_at_anthropic,0.025204172,0.27727714,-0.31823063,0.2969212,0.5972405,0.21785945,0.10140469
spoox-m_gpt-5-mini_at_openai,0.06035211,0.28627568,0.2861515,0.28552568,-0.08256196,0.20947587,0.087980546
codex_gpt-5-mini_at_openai,0.044963345,0.2888613,0.4325663,0.291758,-0.22225913,0.20085585,0.08509017
terminalbenchagent_claude-sonnet-4-5_at_anthropic,0.008881941,0.28654537,-0.53030306,0.29359683,0.7435376,0.23371676,0.074038826
openhands_gpt-5-mini_at_openai,0.07162801,0.27828893,0.8425452,0.29536873,-0.74660885,0.2153516,0.055854797
claude-code_claude-sonnet-4-5-20250929_at_anthropic,-0.05760076,0.2740771,-0.33217618,0.30353186,0.545767,0.2152252,0.05199669
goose_claude-sonnet-4-5_at_anthropic,0.029296186,0.27615005,-0.70214295,0.29859453,0.6976892,0.21937114,0.008280794
final_claude-4_5-sonnet_at_anthropic,-0.010632434,0.27681723,0.8490778,0.32547343,-0.9367861,0.2184076,-0.03278025
claude-code_minimax-m2_1_at_minimax,-0.025158476,0.27924067,-0.43902346,0.29990882,0.3453072,0.20346211,-0.03962491
openhands_claude-opus-4-1-20250805_at_anthropic,-0.007463501,0.27078757,-0.4971964,0.2844548,0.38277018,0.21084693,-0.040629905
claude-code_claude-opus-4-1-20250805_at_anthropic,-0.0045486013,0.2799939,-0.3703096,0.3088004,0.21975377,0.21841484,-0.051701475
terminus-2_moonshotai/kimi-k2-thinking_at_together_ai,0.040567223,0.281217,-0.5454709,0.3285179,0.32953557,0.21565443,-0.058456033
mini-swe-agent_grok-4-0709_at_xai,-0.08542165,0.28871638,-0.12836802,0.31903312,-0.11703242,0.19532418,-0.11027404
terminus-2_grok-4-0709_at_xai,-0.034969024,0.2838195,0.12676339,0.2738597,-0.4245333,0.21197556,-0.11091298
openhands_grok-4-0709_at_xai,-0.0888397,0.27132866,-0.2837572,0.31327307,0.028571114,0.20151639,-0.11467526
goose_claude-haiku-4-5_at_anthropic,0.054197453,0.28302732,-1.0439662,0.30031008,0.63729054,0.21985655,-0.117492735
terminus-2_minimax-m2_1_at_openai,-0.018644001,0.27375683,-0.57161504,0.30429035,0.21261716,0.21047722,-0.12588061
terminus-2_accounts/fireworks/models/minimax-m2_at_fireworks_ai,0.07882812,0.29784238,-0.38166887,0.29926598,-0.096088335,0.20851752,-0.13297635
mini-swe-agent_claude-opus-4-1-20250805_at_anthropic,-0.027619436,0.26801375,-0.70471984,0.33250406,0.2717384,0.21134134,-0.15353362
mini-swe-agent_gpt-5-mini_at_openai,0.06141156,0.27626503,0.4354684,0.27293208,-1.0118998,0.21193169,-0.1716733
terminus-2_gpt-5-mini_at_openai,0.011126748,0.2821565,0.34992617,0.29860884,-0.92729896,0.22286935,-0.18874867
mini-swe-agent_grok-code-fast-1_at_xai,-0.005829298,0.26075724,-0.3380384,0.2800323,-0.23054565,0.20127985,-0.19147111
mini-swe-agent_gemini-2_5-pro_at_gemini,-0.03817237,0.2738009,-0.36903203,0.3017652,-0.21128628,0.19227275,-0.20616357
terminus-2_claude-haiku-4-5-20251001_at_anthropic,0.06177849,0.27932358,-0.77834165,0.32697457,-0.014533524,0.21360828,-0.2436989
mini-swe-agent_claude-haiku-4-5-20251001_at_anthropic,-0.037626226,0.27999806,-0.5428414,0.31006932,-0.15647414,0.21655555,-0.24564724
claude-code_claude-haiku-4-5-20251001_at_anthropic,-0.0553742,0.26537764,-0.7076077,0.32265887,-0.0028871489,0.20831995,-0.25528967
openhands_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,0.07574655,0.27007872,-0.50234747,0.30607787,-0.3394058,0.19519569,-0.25533557
terminus-2_moonshotai/kimi-k2-instruct-0905_at_together_ai,0.07849222,0.29691693,-0.68339807,0.3137361,-0.20989053,0.21239254,-0.2715988
gemini-cli_gemini-2_5-pro_at_gemini,-0.12493141,0.26882982,-0.63080275,0.32067987,-0.07171965,0.21190363,-0.27581793
terminus-2_openai/gpt-oss-120b_at_together_ai,0.023543585,0.28824165,-0.13995957,0.29725,-0.754614,0.20807667,-0.2903433
terminus-2_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,0.081126876,0.28932476,-0.92985183,0.317476,-0.07985417,0.20137304,-0.30952638
terminus-2_accounts/fireworks/models/glm-4p6_at_fireworks_ai,0.0147842625,0.2688308,-0.99577856,0.34024656,0.04631092,0.19747058,-0.31156114
aone-agent_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_modelscope,0.09499788,0.2833239,-0.8357912,0.32278913,-0.23498453,0.19943914,-0.32525927
openhands_gemini-2_5-pro_at_gemini,-0.037182335,0.26550597,-0.37469918,0.29866612,-0.58888817,0.2084901,-0.33358988
mini-swe-agent_gemini-2_5-flash_at_gemini,-0.051325902,0.28104666,-0.58836526,0.33005777,-0.47388068,0.21854506,-0.37119064
openhands_moonshotai/kimi-k2-instruct-0905_at_together_ai,0.060188636,0.28947556,-1.2621818,0.33300102,0.04463151,0.19481793,-0.38578722
terminus-2_grok-code-fast-1_at_xai,-0.048318442,0.2891834,-0.3278293,0.29548743,-0.9403451,0.22284526,-0.43883094
terminus-2_gemini-2_5-flash_at_gemini,0.10727143,0.2733386,-0.5318797,0.3251949,-0.9216455,0.22279438,-0.4487513
openhands_claude-haiku-4-5-20251001_at_anthropic,-0.008652767,0.28657916,-1.1138344,0.352048,-0.33820072,0.20538607,-0.48689595
openhands_gemini-2_5-flash_at_gemini,-0.081048846,0.28085095,-0.8641942,0.3384951,-0.52846193,0.20980163,-0.49123502
mini-swe-agent_openai/gpt-oss-120b_at_together_ai,0.07726714,0.2757025,-0.43170762,0.3294471,-1.2888179,0.25199437,-0.5477528
gemini-cli_gemini-2_5-flash_at_gemini,-0.10930151,0.2848274,-0.8022715,0.36285597,-0.7796436,0.22391656,-0.5637389
codex_gpt-5-nano_at_openai,-0.072872594,0.2679845,-0.7018492,0.3444962,-0.98802334,0.22182055,-0.5875817
openhands_gpt-5-nano_at_openai,-0.041241255,0.2743469,-0.31751114,0.35074306,-1.4593613,0.24686247,-0.6060379
mini-swe-agent_gpt-5-nano_at_openai,-0.083451144,0.29420626,-0.23081239,0.3501763,-1.8203638,0.2812479,-0.7115424
terminus-2_gpt-5-nano_at_openai,-0.13917103,0.30574033,-0.66183335,0.37195343,-1.6585155,0.2743043,-0.81983995
terminus-2_openai/gpt-oss-20b_at_together_ai,-0.09691169,0.29492712,-0.7650254,0.40727466,-1.985409,0.2821939,-0.94911534
mini-swe-agent_openai/gpt-oss-20b_at_together_ai,-0.09795355,0.3011533,-1.1637986,0.44024035,-1.9789686,0.29571795,-1.0802402
