,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std,a3,b3,a3_std,b3_std
adaptive-rejection-sampler,0.35793927,-0.26600885,0.16510741,0.49651024,1.1769869,-0.38394433,0.26588464,0.21952944,0.62849563,-0.3765444,0.21250542,0.45407268
bn-fit-modify,0.33166307,-0.21981351,0.15783462,0.5018292,1.243752,-0.28209928,0.28583878,0.22302063,1.3864164,-0.5197269,0.2459535,0.21660486
break-filter-js-from-html,0.33991843,-0.007192408,0.17346752,0.46226647,1.0492774,0.34115198,0.25467253,0.23663022,1.355701,0.25963846,0.25607228,0.21969374
build-cython-ext,0.3267382,-0.03935517,0.16539854,0.46343875,0.9208415,0.18227758,0.24854371,0.27188385,1.5850707,0.013416315,0.27656525,0.1879575
build-pmars,0.4263965,-0.77266055,0.15040338,0.5161445,0.49563995,-0.34118533,0.29751322,0.48028886,1.4279184,-1.4239982,0.24927191,0.2984346
build-pov-ray,0.3521196,-0.19939907,0.15773389,0.49204957,0.35895708,0.028126808,0.24535887,0.485934,1.9171325,-0.7060066,0.30400446,0.18250173
caffe-cifar-10,0.4526211,0.7606728,0.15151766,0.5892801,0.45260563,0.77637225,0.23042105,0.54060704,0.9681479,1.6966529,0.20993763,0.40084344
cancel-async-tasks,0.499881,-0.951302,0.14073752,0.3829203,0.57474136,-0.51220995,0.23212723,0.3811527,0.21316406,-0.31664714,0.20029524,0.65095794
chess-best-move,0.37046078,0.18577507,0.16401389,0.5630978,1.1149224,0.9752886,0.25871557,0.30602062,1.4537362,1.129214,0.28971708,0.27920324
circuit-fibsqrt,0.35586384,-0.085805416,0.16341044,0.50914204,1.2096398,0.35708213,0.2841725,0.22724566,1.8968327,0.37657696,0.30242363,0.17746587
cobol-modernization,0.4700829,-0.70021373,0.16215809,0.64827394,0.7690658,-0.6164035,0.3103181,0.54630375,1.6664844,-1.910518,0.27802968,0.36838287
code-from-image,0.3982779,-0.49367416,0.17284635,0.5332608,0.74550825,-0.4066683,0.28781113,0.39451817,1.7533859,-1.2269129,0.2904604,0.2448428
compile-compcert,0.32265136,-0.11379347,0.16052932,0.45052657,0.24228616,0.07484794,0.23375596,0.5248004,1.628498,-0.20696034,0.26944512,0.17363663
configure-git-webserver,0.4393556,-0.77152926,0.14940158,0.49198672,0.3307658,-0.2117044,0.2469824,0.49402148,1.023294,-0.918618,0.22427008,0.3179789
constraints-scheduling,0.4342992,-0.6949964,0.16164075,0.71020365,0.7845451,-0.95996565,0.33542722,0.6368989,1.7177285,-2.211185,0.31653094,0.46590912
count-dataset-tokens,0.35307744,-0.14967287,0.16731876,0.48482007,1.0796573,-0.013883592,0.2561398,0.2510819,1.4811143,-0.31162816,0.25878075,0.199022
crack-7z-hash,0.41522163,-0.30381137,0.17096478,0.4939961,0.6142951,-0.14194949,0.2737558,0.4006312,1.7786591,-0.8429577,0.2695516,0.2029671
custom-memory-heap-crash,0.37155312,-0.434229,0.16799223,0.5396741,0.96141946,-0.45350924,0.32033885,0.34161308,1.9319966,-1.1714284,0.3140392,0.22962694
db-wal-recovery,0.35089728,0.11931098,0.15615532,0.48262188,1.5747222,0.9697877,0.24437667,0.19681253,0.2159462,0.048307147,0.22686093,0.6982647
distribution-search,0.31804296,-0.34004802,0.17595236,0.55068785,0.99092096,-0.54783,0.2767996,0.34403384,1.4965379,-1.1107401,0.2502342,0.2630079
dna-assembly,0.3744819,0.14064376,0.16712536,0.5473946,0.357147,0.37470648,0.28217745,0.52508414,2.0445151,1.56123,0.3314317,0.207223
dna-insert,0.38039544,0.30060524,0.17012544,0.5133335,0.6382991,0.6919994,0.26868266,0.47005388,1.4309454,1.5991478,0.24088031,0.28924382
extract-elf,0.38591722,-0.6533983,0.14559007,0.4520231,0.32948488,-0.16760652,0.2514438,0.4913487,1.1136006,-0.9884229,0.21546946,0.30008903
extract-moves-from-video,0.40468082,0.31327564,0.173469,0.65106326,0.710822,0.89870214,0.28891465,0.5317648,1.660101,2.0358808,0.29810908,0.37717783
feal-differential-cryptanalysis,0.3356437,-0.08524718,0.16119483,0.4933322,0.818871,0.18740831,0.23772325,0.29185128,1.76328,0.049819566,0.2822764,0.16494834
feal-linear-cryptanalysis,0.36229593,-0.08242465,0.16361725,0.4588572,2.026277,0.3034847,0.35928467,0.14196946,0.7386207,0.00074471615,0.23910391,0.41722494
filter-js-from-html,0.44113895,0.7474393,0.17427145,0.8368671,1.206246,1.8642954,0.25749007,0.5390899,1.1226194,1.590634,0.31072113,0.6035768
financial-document-processor,0.3524166,0.024788082,0.16031232,0.4744044,0.66703296,0.3682049,0.250012,0.3453911,1.577464,0.4547875,0.2542362,0.18954892
fix-code-vulnerability,0.36775732,-0.3353842,0.16320239,0.49739426,0.6412166,-0.22433357,0.26777646,0.38937128,1.5587697,-0.9116779,0.23721214,0.21915694
fix-git,0.43539393,-0.66410816,0.16261753,0.6510315,0.77347296,-0.8116312,0.30389804,0.5967695,1.714551,-2.0624163,0.30648658,0.44576353
fix-ocaml-gc,0.33204725,-0.16715048,0.15774772,0.5234678,0.75341284,-0.11754255,0.27659944,0.3648312,1.7704388,-0.741847,0.2677971,0.18589374
gcode-to-text,0.3836402,0.2897676,0.17499468,0.55685896,1.3431875,1.3979714,0.27102682,0.29034528,1.1386579,1.0376444,0.29655674,0.38358638
git-leak-recovery,0.38893145,-0.6237688,0.16430914,0.5936509,0.70448697,-0.5512078,0.31638616,0.4975048,1.8559157,-1.7266786,0.3174825,0.3386958
git-multibranch,0.426736,-0.5736237,0.1661033,0.5599199,0.35586163,-0.16280176,0.31064186,0.5649728,1.7045664,-1.4458896,0.27019978,0.27274176
gpt2-codegolf,0.4196062,0.8113612,0.16512156,0.8093114,1.1864903,1.8754892,0.28194004,0.5674363,1.1329049,1.6255306,0.3232386,0.5888121
headless-terminal,0.39398858,-0.49918684,0.15509394,0.5113744,0.5909386,-0.39573348,0.27396515,0.44158855,1.5065835,-1.3136046,0.24935754,0.27578232
hf-model-inference,0.37660292,-0.48260567,0.16079484,0.5164611,0.80093825,-0.608233,0.27273053,0.3918262,1.2078878,-1.3581413,0.22758268,0.3374488
install-windows-3.11,0.40883648,0.22625852,0.17830822,0.6331539,0.50009495,0.53564274,0.29927292,0.5776569,1.8449861,2.0250194,0.2997067,0.3048735
kv-store-grpc,0.36032844,-0.15561594,0.1694303,0.46361002,-0.12782636,0.13445294,0.21098499,0.5511755,1.1192598,-0.28111127,0.23442894,0.24558821
large-scale-text-editing,0.33016646,-0.24685024,0.1603525,0.52672523,1.14139,-0.2397973,0.2982502,0.26107705,1.7039115,-0.6414779,0.27725303,0.20432533
largest-eigenval,0.3417208,-0.095870085,0.16227813,0.46859986,-0.12387715,0.07736944,0.2400165,0.6161062,2.008896,-0.04680564,0.3081844,0.1432009
llm-inference-batching-scheduler,0.33186707,-0.06389306,0.15627812,0.52833575,1.4393332,0.2397525,0.299547,0.20655735,1.6235851,0.07899053,0.2631138,0.20402017
log-summary-date-ranges,0.3614021,-0.29935956,0.17060319,0.5193973,0.47897717,-0.054780506,0.27016318,0.4468041,1.9448643,-0.86739564,0.28543848,0.20374785
mailman,0.35339472,-0.20815052,0.16152143,0.48576885,0.80943435,-0.026194356,0.26301652,0.32342017,2.0362973,-0.44106343,0.3097186,0.15256265
make-doom-for-mips,0.4472555,1.0100799,0.17778096,0.9640429,1.0474199,1.5961312,0.30334568,0.7810966,1.5737767,2.2211711,0.34872335,0.7324196
make-mips-interpreter,0.36371452,0.14594609,0.17090297,0.5586122,1.1586477,1.1063415,0.26141268,0.32101294,1.4098877,1.2351595,0.27474234,0.30980155
mcmc-sampling-stan,0.3971796,-0.37089533,0.16260946,0.43493962,0.1503634,-0.033777133,0.25380653,0.5443105,1.6124539,-0.82386345,0.25150007,0.20969711
merge-diff-arc-agi-task,0.36701977,-0.30627853,0.16123796,0.5120744,0.6335791,-0.2366554,0.27913785,0.4665405,1.6683952,-1.2404764,0.2650836,0.25231576
model-extraction-relu-logits,0.39103618,0.49461636,0.15782934,0.38024956,0.1787488,0.3197177,0.2108888,0.52640957,0.39235896,0.43502235,0.19952962,0.47644782
modernize-scientific-stack,0.43068978,-0.7966145,0.16408223,0.68771464,0.59486544,-0.5880059,0.31580085,0.6635074,1.6597214,-2.158698,0.28703266,0.41438657
mteb-leaderboard,0.4012574,0.24752642,0.16212513,0.5370745,1.3787931,1.2143403,0.23879585,0.23367748,0.6887491,0.5239824,0.28225568,0.4550954
mteb-retrieve,0.3361444,0.124339074,0.17386341,0.51433253,1.0576907,0.9714791,0.25616533,0.28316146,1.2277017,0.9671827,0.261847,0.30932248
multi-source-data-merger,0.4331731,-0.8978759,0.16411799,0.737373,0.58212024,-0.61836183,0.33153966,0.62185097,1.4457926,-2.1808844,0.2687995,0.47810236
nginx-request-logging,0.41348872,-0.61289805,0.15832952,0.6448273,0.6399446,-0.5654609,0.31824252,0.5593033,1.7496392,-1.9008781,0.28192732,0.35880888
openssl-selfsigned-cert,0.4493567,-0.78444606,0.14437288,0.5419443,0.9430011,-0.88913524,0.23557684,0.31966516,0.72018015,-0.83395195,0.24472392,0.4595396
overfull-hbox,0.3703947,-0.13269483,0.1602995,0.5567086,0.7913365,0.15747857,0.25568488,0.32017788,1.9054263,-0.013865425,0.29977646,0.16028437
password-recovery,0.37910017,-0.061519843,0.16173117,0.49358234,0.58146626,0.10034909,0.23294792,0.35202193,1.9143829,-0.117141314,0.3049246,0.161504
path-tracing,0.3636093,0.10191587,0.16807956,0.47513914,0.9483791,0.6131554,0.25406218,0.29640707,1.6357429,0.8764511,0.25794926,0.20299593
path-tracing-reverse,0.38351697,0.089326456,0.16492343,0.5275472,0.9057017,0.74906856,0.2619483,0.34541506,1.5127559,1.145078,0.2688125,0.23213853
polyglot-c-py,0.33854002,0.03891139,0.16321105,0.5291842,1.0388216,0.68209946,0.24851698,0.28722763,1.4651991,0.9139696,0.28311786,0.24857222
polyglot-rust-c,0.3373859,0.09531357,0.17031959,0.55535936,0.9191847,0.68462384,0.2898988,0.3479004,1.7973851,1.1766394,0.30039403,0.22296137
portfolio-optimization,0.4299842,-0.5797411,0.16730864,0.6052141,0.6819385,-0.5319313,0.30518824,0.5498879,1.7251505,-1.6454089,0.28076807,0.31019056
protein-assembly,0.34751981,0.06258646,0.16189587,0.4994605,1.7865065,0.65639746,0.33139208,0.17938006,1.1899658,0.36847383,0.25729564,0.29666784
prove-plus-comm,0.41494468,-0.788738,0.17744029,0.6850903,0.48529488,-0.5107331,0.3279563,0.6698238,1.6095687,-2.2297587,0.27999866,0.45762518
pypi-server,0.44257668,-0.70784974,0.15582062,0.4932491,0.8059008,-0.61728925,0.263156,0.37774915,1.2343919,-1.1269946,0.24752031,0.33770072
pytorch-model-cli,0.31238902,-0.19119869,0.1606361,0.50454915,0.27419773,-0.0022406266,0.26043162,0.4897816,1.8096335,-0.4883084,0.2741348,0.16352902
pytorch-model-recovery,0.48262596,-0.61836547,0.15438268,0.36825347,0.6414002,-0.39902028,0.23054266,0.3703115,0.24860884,-0.36114478,0.2016986,0.6074549
qemu-alpine-ssh,0.38614807,-0.017292444,0.1656405,0.45420524,0.15090491,0.19547035,0.22683702,0.543142,1.9843782,0.26295403,0.2901197,0.14692757
qemu-startup,0.4317541,-0.6144716,0.14956987,0.5055704,0.37626344,-0.3068093,0.26853585,0.52808917,1.1615096,-1.4594812,0.22119062,0.3306548
query-optimize,0.38066214,-0.089761764,0.16035976,0.44420654,-0.140214,0.05738219,0.2269401,0.5712903,1.5962458,-0.25532064,0.247919,0.18113035
raman-fitting,0.4871806,0.82156855,0.16797009,0.76239574,1.2081794,1.8305626,0.27390972,0.5375113,1.1465231,1.7264416,0.32931468,0.5933983
regex-chess,0.3786946,0.25665998,0.1726049,0.56901056,1.0522653,1.1888952,0.27495986,0.3966195,1.3951975,1.3963864,0.2885385,0.3524313
regex-log,0.40107474,-0.4213941,0.16168258,0.52381605,0.8487382,-0.48841676,0.2815608,0.3770982,1.4416773,-1.2797154,0.24723344,0.27210498
reshard-c4-data,0.38428414,-0.057906818,0.16741723,0.44629171,0.79837054,0.13091186,0.27073294,0.29243633,1.8745458,-0.09690534,0.28407514,0.16558126
rstan-to-pystan,0.3256764,-0.086715624,0.15749004,0.48902252,0.24199465,0.11506581,0.24422547,0.48180804,1.5719186,-0.1650957,0.24448769,0.19231345
sam-cell-seg,0.67216206,2.107941,0.11994891,0.5540921,0.67331165,1.1413339,0.23979577,0.5524356,0.52507794,0.92778957,0.2642945,0.65516174
sanitize-git-repo,0.36780217,-0.058400884,0.15958034,0.45937005,0.6009786,0.16228086,0.24875496,0.35950834,1.579945,0.047564365,0.2635973,0.17348266
schemelike-metacircular-eval,0.3321453,-0.0687216,0.15824501,0.49388084,0.6131303,0.14085712,0.23538609,0.3196813,0.9783059,0.0049506743,0.2383926,0.29331034
