,theta,theta_std
"warp_claude-haiku-4-5_at_anthropic,gpt-5_2_at_openai",1.1306732,0.023766736
ante_gemini-3-pro-preview_at_google,1.124245,0.02807237
junie_gemini-3-flash-preview_at_gemini,1.116048,0.047294926
factory_droid_claude-opus-4-5-20251101_at_anthropic,1.0976676,0.032565325
factory_droid_gpt-5_2_at_openai,1.0508142,0.033246446
codex_gpt-5_2_at_openai,1.0456753,0.020625103
letta-code_claude-opus-4-5_at_anthropic,1.0200436,0.030762866
"abacusai_claude-haiku-4-5_at_anthropic,gemini-3-pro-preview_at_google",1.0108898,0.02471287
codex_gpt-5_1-codex-max_at_openai,1.0059788,0.039704636
ii-agent-simple_gemini-3-pro-preview_at_gemini,0.9963824,0.029227981
codex_gpt-5_1-codex_at_openai,0.9893757,0.030712614
factory_droid_gemini-3-pro-preview_at_google,0.95996505,0.023027286
terminus-2_claude-opus-4-5-20251101_at_anthropic,0.9490827,0.034353036
"warp_claude-haiku-4-5-20251001_at_anthropic,gemini-3-pro-preview_at_google,gpt-5-nano_at_openai",0.9169859,0.04770973
terminus-2_gemini-3-pro-preview_at_gemini,0.90415466,0.028997533
openhands_claude-opus-4-5-20251101_at_anthropic,0.8936229,0.028495295
terminus-2_gpt-5_2_at_openai,0.88769937,0.033246532
goose_claude-opus-4-5_at_anthropic,0.88500047,0.028768307
gemini-cli_gemini-3-flash-preview_at_google,0.87038976,0.029986046
claude-code_claude-opus-4-5-20251101_at_anthropic,0.8673679,0.034274913
letta-code_gemini-3-pro-preview_at_google,0.860716,0.03794695
letta-code_gpt-5_1-codex_at_openai,0.8469827,0.02396223
"warp_claude-haiku-4-5-20251001_at_anthropic,claude-sonnet-4-5-20250929_at_anthropic,gpt-5-nano_at_openai",0.7875326,0.034327704
terminalbenchagent_claude-sonnet-4-5_at_anthropic,0.77996707,0.032799892
goose_claude-sonnet-4-5_at_anthropic,0.7720502,0.030882053
codex_gpt-5_1-codex-mini_at_openai,0.76180273,0.032262713
terminus-2_claude-sonnet-4-5-20250929_at_anthropic,0.736987,0.028517269
terminus-2_gpt-5_1_at_openai,0.7255445,0.02304314
codex_gpt-5-codex_at_openai,0.699511,0.034674406
openhands_gpt-5_at_openai,0.69297266,0.027906282
final_claude-4_5-sonnet_at_anthropic,0.6869403,0.023712508
mini-swe-agent_gpt-5-codex_at_openai,0.6855032,0.031554896
openhands_claude-sonnet-4-5-20250929_at_anthropic,0.68300754,0.028165659
mini-swe-agent_claude-sonnet-4-5-20250929_at_anthropic,0.6773726,0.03227687
terminus-2_gpt-5-codex_at_openai,0.66973907,0.03255657
claude-code_claude-sonnet-4-5-20250929_at_anthropic,0.6604517,0.022756241
terminus-2_gpt-5_1-codex_at_openai,0.6171568,0.03492165
claude-code_minimax-m2_1_at_minimax,0.61528116,0.02753231
terminus-2_gpt-5_at_openai,0.5732842,0.041866522
claude-code_claude-opus-4-1-20250805_at_anthropic,0.5572562,0.029692538
mini-swe-agent_claude-opus-4-1-20250805_at_anthropic,0.54941463,0.025536861
