,a,b,a_std,b_std
adaptive-rejection-sampler,2.4726367,0.9312537,0.20571694,0.035942085
bn-fit-modify,4.568445,0.5608509,0.35485652,0.031744447
break-filter-js-from-html,4.6919737,0.90731823,0.30843034,0.027979752
build-cython-ext,5.264155,0.866439,0.4802468,0.022436216
build-pmars,1.5803932,0.18394369,0.27376133,0.07413128
build-pov-ray,4.2963214,0.56714636,0.39094472,0.032501783
caffe-cifar-10,3.3019178,1.6724555,0.22963995,0.06995043
cancel-async-tasks,1.5909004,0.7923267,0.29414392,0.050562963
chess-best-move,5.17007,1.3371096,0.46559948,0.038623944
circuit-fibsqrt,6.1479607,0.9228186,0.808076,0.024487812
cobol-modernization,4.4405017,0.08405826,0.4568173,0.028221423
code-from-image,4.2056513,0.36505392,0.31700903,0.031327374
compile-compcert,4.6127877,0.7353351,0.42015672,0.028396312
configure-git-webserver,1.4981326,0.5411058,0.39695618,0.078440085
constraints-scheduling,4.1088233,-0.09569676,0.3501782,0.034031384
count-dataset-tokens,4.110679,0.802012,0.3508832,0.03432735
crack-7z-hash,4.35761,0.50186086,0.3782823,0.02710106
custom-memory-heap-crash,5.5089116,0.3428784,0.44278604,0.022274654
db-wal-recovery,3.3433964,1.3989722,0.28300115,0.058456354
distribution-search,4.753036,0.4296305,0.39494023,0.03481548
dna-assembly,5.3426857,1.3660544,0.52750516,0.054045565
dna-insert,4.374729,1.4372209,0.3975285,0.060288925
extract-elf,2.0222983,0.655993,0.28566593,0.065465435
extract-moves-from-video,5.171653,1.7081892,0.52382123,0.09190941
feal-differential-cryptanalysis,5.85565,0.8723557,0.41988173,0.018193975
feal-linear-cryptanalysis,4.510603,0.8927054,0.32863128,0.02783852
filter-js-from-html,4.3156314,1.654557,0.36397952,0.09876267
financial-document-processor,4.681913,1.0481591,0.4622509,0.03021891
fix-code-vulnerability,5.1518764,0.46739027,0.3622142,0.030114155
fix-git,4.1013436,-0.05120293,0.22643387,0.05205045
fix-ocaml-gc,5.821067,0.5643207,0.49682143,0.019280361
gcode-to-text,4.774089,1.4388797,0.5465918,0.083158396
git-leak-recovery,4.425311,-0.010865794,0.32858452,0.036158435
git-multibranch,3.4109151,0.32784516,0.30727413,0.029536385
gpt2-codegolf,4.3234076,1.6953828,0.42181668,0.10743387
headless-terminal,3.066052,0.19916026,0.32437915,0.036542278
hf-model-inference,3.2325697,0.21920751,0.31980175,0.040968902
install-windows-3.11,5.2126007,1.5889493,0.47363907,0.09147119
kv-store-grpc,2.2243302,0.5304892,0.2403115,0.0565757
large-scale-text-editing,4.52024,0.58990705,0.37792122,0.02508998
largest-eigenval,4.933947,0.8447222,0.40935594,0.020457633
llm-inference-batching-scheduler,7.1335673,0.74663264,0.90268266,0.025981752
log-summary-date-ranges,4.2415085,0.38877752,0.43752834,0.016723156
mailman,4.3813634,0.6584674,0.30185392,0.02819159
make-doom-for-mips,5.1394563,2.066943,0.6615784,0.17897722
make-mips-interpreter,4.880043,1.4563761,0.4555882,0.05529544
mcmc-sampling-stan,2.406822,0.48068705,0.35457677,0.057225008
merge-diff-arc-agi-task,4.4162555,0.3837336,0.2962113,0.026164006
model-extraction-relu-logits,1.9448941,1.4733851,0.15483218,0.08252188
modernize-scientific-stack,4.230647,-0.28435874,0.3068877,0.06574456
mteb-leaderboard,3.9181583,1.3294141,0.36140507,0.04475776
mteb-retrieve,4.6589,1.4808812,0.37281442,0.040413924
multi-source-data-merger,3.418598,-0.23135804,0.26631173,0.05703123
nginx-request-logging,4.060455,0.15793444,0.26822463,0.025857244
openssl-selfsigned-cert,2.9616654,0.3534539,0.39838868,0.03259333
overfull-hbox,5.0968313,0.862021,0.49494272,0.02808462
password-recovery,4.9495106,0.7568389,0.5678238,0.026833633
path-tracing,5.2341943,1.1704233,0.48481062,0.028386341
path-tracing-reverse,5.1414,1.261004,0.45431334,0.03615104
polyglot-c-py,4.6580973,1.1476161,0.30907393,0.04113081
polyglot-rust-c,5.386106,1.1172973,0.37169755,0.06130409
portfolio-optimization,3.495738,-0.010009685,0.25917432,0.044291712
protein-assembly,5.8301,1.1454172,0.40693095,0.027889827
prove-plus-comm,3.946793,-0.068030804,0.32167074,0.05407275
pypi-server,3.847291,0.34905902,0.3308435,0.034167834
pytorch-model-cli,4.41078,0.5955893,0.44365618,0.026246183
pytorch-model-recovery,2.3079464,0.7662187,0.32249177,0.041393276
qemu-alpine-ssh,4.0172644,0.9586426,0.3761046,0.026860485
qemu-startup,2.5936732,0.45274457,0.44741154,0.039804913
query-optimize,2.389052,0.8156305,0.29284373,0.059319627
raman-fitting,4.582903,1.7685671,0.43830803,0.102103785
regex-chess,4.754466,1.4120138,0.33857885,0.0692079
regex-log,4.1309457,0.3064678,0.25648436,0.02770594
reshard-c4-data,5.951526,0.74912184,0.71864736,0.021570824
rstan-to-pystan,4.2273364,0.8166422,0.41951004,0.03261081
sam-cell-seg,3.4451396,1.8715291,0.35477245,0.074158005
sanitize-git-repo,4.5634947,0.840394,0.36614,0.039157424
schemelike-metacircular-eval,3.9764245,1.0156963,0.38647676,0.031212486
sparql-university,4.1916623,0.79233825,0.44327268,0.026289213
sqlite-db-truncate,8.17542,0.6320434,0.8324244,0.017902605
sqlite-with-gcov,3.3131654,0.40020654,0.32837135,0.044753738
torch-pipeline-parallelism,5.138293,1.4683653,0.49738392,0.07176818
torch-tensor-parallelism,5.01092,1.3838937,0.341752,0.038901817
train-fasttext,3.3966358,1.7604458,0.26076812,0.08345307
tune-mjcf,3.4487612,0.8462598,0.45449734,0.0490347
video-processing,5.1201186,1.4610224,0.5339281,0.06634067
vulnerable-secret,4.562401,0.2629049,0.33206344,0.025681265
