,theta1,theta1_std,theta2,theta2_std,theta_avg
junie_gemini-3-flash-preview_at_gemini,1.4783589,0.12267157,1.19742,0.13661969,1.3378894
ante_gemini-3-pro-preview_at_google,1.6520894,0.13068359,0.94299656,0.13949372,1.2975429
codex_gpt-5_2_at_openai,0.90565425,0.124135606,1.6559583,0.13779293,1.2808063
factory_droid_gpt-5_2_at_openai,1.5090191,0.120345786,1.0326625,0.1333112,1.2708409
"warp_claude-haiku-4-5_at_anthropic,gpt-5_2_at_openai",0.9597279,0.111847624,1.570448,0.12946655,1.265088
factory_droid_claude-opus-4-5-20251101_at_anthropic,2.4516435,0.13931812,-0.023458835,0.14471638,1.2140924
ii-agent-simple_gemini-3-pro-preview_at_gemini,1.2114271,0.12890598,1.1314169,0.13687311,1.171422
codex_gpt-5_1-codex-max_at_openai,0.84464306,0.11762159,1.3720187,0.1250998,1.1083308
factory_droid_gemini-3-pro-preview_at_google,1.8095751,0.13151005,0.37269136,0.13249193,1.0911332
"abacusai_claude-haiku-4-5_at_anthropic,gemini-3-pro-preview_at_google",1.3057853,0.12164432,0.812127,0.13487935,1.0589561
codex_gpt-5_1-codex_at_openai,0.6402521,0.10645358,1.4119843,0.13029672,1.0261183
"warp_claude-haiku-4-5-20251001_at_anthropic,gemini-3-pro-preview_at_google,gpt-5-nano_at_openai",1.5165714,0.12163629,0.52598566,0.13011226,1.0212785
letta-code_claude-opus-4-5_at_anthropic,2.2296376,0.12428539,-0.19604093,0.13783541,1.0167984
terminus-2_claude-opus-4-5-20251101_at_anthropic,1.9580457,0.13179371,-0.06729458,0.14933127,0.94537556
terminus-2_gpt-5_2_at_openai,0.21697941,0.115596265,1.6530387,0.12892541,0.93500906
letta-code_gemini-3-pro-preview_at_google,1.1832626,0.12157647,0.6576677,0.13812055,0.9204651
gemini-cli_gemini-3-flash-preview_at_google,0.58752,0.11293719,1.2317644,0.12825397,0.9096422
terminus-2_gemini-3-pro-preview_at_gemini,1.3869641,0.117347956,0.36982542,0.12349311,0.8783947
letta-code_gpt-5_1-codex_at_openai,0.79491836,0.108675756,0.90215665,0.12706958,0.8485375
final_claude-4_5-sonnet_at_anthropic,-1.7327518,0.12151179,3.3347464,0.1316253,0.80099726
openhands_claude-opus-4-5-20251101_at_anthropic,1.330658,0.105944976,0.2542387,0.12996958,0.79244834
claude-code_claude-opus-4-5-20251101_at_anthropic,1.6254644,0.11228086,-0.0482436,0.14085501,0.7886104
goose_claude-opus-4-5_at_anthropic,1.9642168,0.12491721,-0.46470737,0.1542404,0.7497547
codex_gpt-5-codex_at_openai,0.33735895,0.10940949,0.8250249,0.12853421,0.5811919
terminus-2_gpt-5_1_at_openai,0.48756516,0.1095532,0.6747839,0.13242888,0.5811745
"warp_claude-haiku-4-5-20251001_at_anthropic,claude-sonnet-4-5-20250929_at_anthropic,gpt-5-nano_at_openai",1.2144929,0.124084085,-0.063310124,0.14426157,0.5755914
codex_gpt-5_1-codex-mini_at_openai,0.16509162,0.1135765,0.90107405,0.12849729,0.53308284
terminus-2_gpt-5-codex_at_openai,0.21138988,0.11274005,0.8146249,0.12685814,0.5130074
openhands_gpt-5_at_openai,0.0031604802,0.11039278,1.022239,0.136464,0.5126997
mini-swe-agent_gpt-5-codex_at_openai,0.22123648,0.10341647,0.59682673,0.12713173,0.4090316
openhands_claude-sonnet-4-5-20250929_at_anthropic,0.72936416,0.112228565,-0.014400264,0.14644851,0.35748196
terminalbenchagent_claude-sonnet-4-5_at_anthropic,1.3277669,0.12070967,-0.66848254,0.15322007,0.32964218
mini-swe-agent_claude-sonnet-4-5-20250929_at_anthropic,0.72049993,0.10697235,-0.07560575,0.14499246,0.3224471
claude-code_claude-sonnet-4-5-20250929_at_anthropic,0.66058016,0.114648044,-0.15048446,0.142434,0.25504786
mini-swe-agent_gpt-5_at_openai,-0.52996397,0.1218319,1.0361705,0.13254857,0.25310326
terminus-2_gpt-5_1-codex_at_openai,-0.04561036,0.11448116,0.54989046,0.13795343,0.25214005
terminus-2_claude-sonnet-4-5-20250929_at_anthropic,1.193027,0.115925275,-0.6998014,0.16001937,0.24661282
goose_claude-sonnet-4-5_at_anthropic,1.2377942,0.11132175,-0.80376786,0.15637788,0.21701315
terminus-2_gpt-5_at_openai,-0.21123694,0.112228274,0.630002,0.13899219,0.20938253
spoox-m_gpt-5-mini_at_openai,-0.057067785,0.116681665,0.3517832,0.14335848,0.1473577
claude-code_minimax-m2_1_at_minimax,0.62147635,0.11086494,-0.44054288,0.15852062,0.09046674
codex_gpt-5-mini_at_openai,-0.34854615,0.121504,0.5128447,0.14292233,0.08214927
claude-code_claude-opus-4-1-20250805_at_anthropic,0.43853348,0.12009442,-0.36790857,0.16390727,0.03531246
terminus-2_gemini-2_5-pro_at_gemini,-0.112574756,0.1204472,0.18105212,0.1466272,0.03423868
openhands_claude-opus-4-1-20250805_at_anthropic,0.59594077,0.11124468,-0.5326299,0.15157466,0.03165543
openhands_gpt-5-mini_at_openai,-0.5379411,0.12074289,0.57977635,0.1468772,0.020917624
terminus-2_moonshotai/kimi-k2-thinking_at_together_ai,0.51066995,0.1148333,-0.64047015,0.16167037,-0.0649001
goose_claude-haiku-4-5_at_anthropic,0.6833714,0.10955514,-0.8391952,0.1708971,-0.07791188
mini-swe-agent_claude-opus-4-1-20250805_at_anthropic,0.66643023,0.1168104,-0.94388574,0.1721497,-0.13872775
openhands_grok-4-0709_at_xai,-0.19134143,0.115591794,-0.11923671,0.1599785,-0.15528907
mini-swe-agent_gemini-2_5-pro_at_gemini,-0.43126887,0.12253734,0.061846707,0.1605732,-0.18471108
terminus-2_accounts/fireworks/models/minimax-m2_at_fireworks_ai,-0.049977403,0.123312995,-0.3936345,0.1657134,-0.22180595
terminus-2_grok-4-0709_at_xai,-0.58847964,0.13044013,0.083056726,0.16050266,-0.25271145
mini-swe-agent_grok-4-0709_at_xai,-0.30962387,0.12400078,-0.20752577,0.16931482,-0.2585748
terminus-2_gpt-5-mini_at_openai,-0.9763979,0.12812251,0.41210148,0.15336588,-0.28214818
terminus-2_minimax-m2_1_at_openai,0.32124898,0.11977887,-0.97805125,0.17721173,-0.32840115
mini-swe-agent_claude-haiku-4-5-20251001_at_anthropic,0.35783085,0.11952777,-1.0340921,0.18261519,-0.3381306
mini-swe-agent_gpt-5-mini_at_openai,-1.001671,0.14191498,0.27525884,0.1728693,-0.36320606
mini-swe-agent_grok-code-fast-1_at_xai,0.08105819,0.12685157,-0.86531466,0.19280176,-0.39212823
claude-code_claude-haiku-4-5-20251001_at_anthropic,0.42790666,0.12941214,-1.2159123,0.19379726,-0.39400285
terminus-2_moonshotai/kimi-k2-instruct-0905_at_together_ai,0.15721145,0.122118875,-0.9462864,0.17652613,-0.39453745
aone-agent_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_modelscope,0.06305406,0.12935516,-0.99294186,0.21552195,-0.4649439
terminus-2_claude-haiku-4-5-20251001_at_anthropic,0.29828438,0.117686026,-1.3151516,0.18908158,-0.5084336
gemini-cli_gemini-2_5-pro_at_gemini,-0.65354055,0.13932611,-0.4190811,0.19112836,-0.5363108
openhands_moonshotai/kimi-k2-instruct-0905_at_together_ai,0.23586926,0.12516259,-1.3610381,0.2085806,-0.5625844
terminus-2_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,-0.13265288,0.13149776,-1.089832,0.20907725,-0.6112424
openhands_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,0.08582451,0.12891646,-1.3306147,0.21717775,-0.6223951
terminus-2_gemini-2_5-flash_at_gemini,-1.2147834,0.16074657,-0.08887786,0.18111883,-0.6518307
terminus-2_openai/gpt-oss-120b_at_together_ai,-1.0326495,0.13480024,-0.28975978,0.18954086,-0.66120464
terminus-2_accounts/fireworks/models/glm-4p6_at_fireworks_ai,0.24012016,0.12839675,-1.601025,0.22246312,-0.6804524
openhands_gemini-2_5-pro_at_gemini,-0.98587537,0.14862344,-0.5018466,0.19301154,-0.74386096
gemini-cli_gemini-2_5-flash_at_gemini,-0.9772701,0.14429013,-0.60063875,0.20346732,-0.78895444
mini-swe-agent_gemini-2_5-flash_at_gemini,-0.6806374,0.14644739,-0.90858597,0.22173029,-0.7946117
