,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std
adaptive-rejection-sampler,0.16742344,0.39187077,0.092838794,0.51238036,1.002979,0.8518846,0.10410899,0.11981903
bn-fit-modify,1.1511017,0.045515854,0.12791374,0.116844766,1.0178009,0.32450432,0.12753691,0.13236693
break-filter-js-from-html,0.9872871,0.64620453,0.13823153,0.14639606,1.1817129,1.0533881,0.1295716,0.11767363
build-cython-ext,1.2664038,0.5526029,0.14357427,0.12766425,1.1076281,0.848845,0.124237224,0.13044442
build-pmars,0.5002734,-0.86251307,0.0706038,0.2197086,-0.032584246,0.67117673,0.07522204,0.6954412
build-pov-ray,1.3211938,-0.059124857,0.12597099,0.10421722,0.5458188,0.546349,0.10673471,0.21062513
caffe-cifar-10,0.0016337179,0.45560777,0.16434358,0.77385217,1.0766082,3.146846,0.0926442,0.21698847
cancel-async-tasks,0.42314482,0.9248902,0.08409506,0.23711185,0.111840084,0.8833543,0.07510974,0.5664931
chess-best-move,1.1191674,1.3078861,0.19505635,0.2168424,1.3811154,1.9186138,0.15218288,0.162057
circuit-fibsqrt,1.5346384,0.6172782,0.15746611,0.11433302,1.8140023,1.017183,0.16090475,0.09326328
cobol-modernization,1.1386902,-1.0440701,0.12460028,0.14549206,1.109717,-0.7489999,0.17850687,0.14089386
code-from-image,1.0928317,-0.56526536,0.10749564,0.123560086,0.61650425,-0.0052230605,0.12360287,0.21739006
compile-compcert,1.2539119,0.37550008,0.12698972,0.108800195,0.71762806,0.7494453,0.108854525,0.16741237
configure-git-webserver,0.524381,0.058655016,0.095592946,0.20347358,-0.052048724,0.7431734,0.07004703,0.7036249
constraints-scheduling,1.0092663,-1.365032,0.12574911,0.18960997,0.90856993,-1.1891038,0.16329369,0.19240302
count-dataset-tokens,0.7255536,0.32249337,0.12058587,0.17595974,1.2109095,0.5878418,0.12663352,0.112834916
crack-7z-hash,1.0907232,-0.2779891,0.12398783,0.1240441,0.706541,0.292334,0.10634087,0.18627322
custom-memory-heap-crash,1.3579206,-0.46601206,0.15283394,0.1156115,1.4107488,-0.4600657,0.1660223,0.10443546
db-wal-recovery,-0.09175992,0.33762634,0.16273732,0.638039,1.5209497,2.1749263,0.12579109,0.15212792
distribution-search,0.9321541,-0.084578596,0.12875584,0.15225746,1.4697154,-0.3049912,0.17355837,0.0916821
dna-assembly,2.2547908,1.9967262,0.266174,0.1217661,0.66993546,1.3665129,0.18970287,0.32303357
dna-insert,1.0885925,2.053174,0.21170267,0.32850754,1.0972154,2.2813294,0.15326044,0.30300474
extract-elf,0.6297343,0.48462173,0.10157695,0.17234442,0.19845046,0.7441671,0.08484442,0.4291941
extract-moves-from-video,1.7188776,2.593571,0.24194038,0.2324146,0.89612836,1.8851414,0.22372185,0.45621723
feal-differential-cryptanalysis,1.4157548,0.5450902,0.1480163,0.10931896,1.4754969,0.78704065,0.14446583,0.104603365
feal-linear-cryptanalysis,0.20694827,0.4039145,0.15156537,0.51022965,3.0376992,0.5884578,0.28179377,0.05433908
filter-js-from-html,0.033577386,0.47464067,0.29125112,0.79130614,2.355511,2.8911297,0.28865469,0.24130028
financial-document-processor,1.2354785,1.0034838,0.1508979,0.12342909,0.8863095,1.2298738,0.11808522,0.17264444
fix-code-vulnerability,1.5702199,-0.32241023,0.14314735,0.08620773,0.7837214,0.23624915,0.11667674,0.15890524
fix-git,1.2257906,-1.7886841,0.10753689,0.15040416,0.29996198,-0.2143799,0.14616907,0.4447463
fix-ocaml-gc,1.6128374,-0.051328775,0.15554404,0.086369246,1.0550703,0.31874734,0.13437203,0.12391427
gcode-to-text,0.541478,0.83692837,0.22801042,0.53041965,2.2481658,2.2087278,0.217934,0.15543744
git-leak-recovery,1.6348094,-1.3471476,0.13441628,0.10390994,0.08546815,0.594709,0.11639328,0.60179436
git-multibranch,0.9478448,-0.72004884,0.09536704,0.1433272,0.42572188,0.22356041,0.11478305,0.26687464
gpt2-codegolf,0.015855383,0.4974289,0.27509654,0.8346184,2.3511999,2.868247,0.30243856,0.25223112
headless-terminal,1.0949184,-0.8684481,0.09753919,0.121714406,0.070816666,0.5899118,0.08778866,0.6994139
hf-model-inference,0.7081672,-0.71333915,0.0957974,0.1814856,0.748556,-0.2339301,0.13111417,0.16900378
install-windows-3.11,2.0478587,2.4538534,0.2784585,0.21578759,0.74124783,1.7784857,0.21288188,0.46266276
kv-store-grpc,1.57381,0.5073148,0.12645304,0.07728094,-0.85253817,0.51232636,0.108398914,0.14732815
large-scale-text-editing,1.4147629,0.10873399,0.14850405,0.0924305,0.66607994,0.6350086,0.10857056,0.17906865
largest-eigenval,2.4365733,0.84623504,0.21838526,0.06536147,0.021990152,0.76901186,0.11453117,0.65099794
llm-inference-batching-scheduler,1.9320977,0.38811186,0.17046672,0.08873378,1.7989924,0.62144,0.16647965,0.0942854
log-summary-date-ranges,1.9468095,-0.3363475,0.16842096,0.074332096,0.037595157,0.74361277,0.09682777,0.6750974
mailman,1.1880473,0.17808457,0.11982737,0.10682427,0.72754216,0.5012826,0.113456115,0.16196756
make-doom-for-mips,1.4333106,2.764119,0.3424251,0.68291163,1.480825,2.8920882,0.29500443,0.70174384
make-mips-interpreter,1.1816807,1.5431917,0.20789303,0.23888935,1.5560627,2.0051057,0.18431985,0.18841761
mcmc-sampling-stan,0.9591963,0.31253192,0.11537935,0.121935,-0.12223489,0.7311311,0.08816704,0.5644989
merge-diff-arc-agi-task,1.0157276,-0.33448175,0.12101653,0.12850106,0.9257779,-0.1418843,0.1334285,0.1364072
model-extraction-relu-logits,0.4281118,2.5917757,0.058716282,0.3861754,0.40734422,2.3978617,0.06541476,0.39415976
modernize-scientific-stack,1.6659647,-1.9508659,0.15376529,0.13638721,-0.18320857,0.8315192,0.13719283,0.6783857
mteb-leaderboard,0.2391859,0.5651804,0.20349689,0.5980997,1.9113066,2.0066087,0.1828527,0.1270333
mteb-retrieve,0.92582583,1.4312235,0.20697181,0.2662951,1.3052028,2.0913124,0.14454445,0.19188519
multi-source-data-merger,1.1222945,-1.989134,0.09449471,0.1540001,0.122716896,0.5360527,0.12058354,0.6118011
nginx-request-logging,1.3128355,-1.0981051,0.1161515,0.12003556,0.4395517,0.06569656,0.13230102,0.31527096
openssl-selfsigned-cert,0.35250947,0.09995898,0.10036274,0.35498625,1.0840667,-0.44428602,0.12767828,0.11092704
overfull-hbox,1.7281644,0.69478476,0.16787907,0.08537753,0.6188088,0.9046287,0.121198416,0.20697014
password-recovery,1.5383854,0.4664416,0.15477605,0.09204833,0.7473802,0.74671376,0.11423419,0.18443146
path-tracing,1.6164382,1.3857917,0.19402742,0.13382524,1.0009841,1.3713512,0.15375835,0.17885774
path-tracing-reverse,1.492647,1.5633323,0.1924006,0.15398768,1.125719,1.6654068,0.14982611,0.1795314
polyglot-c-py,1.1073487,1.3327566,0.15631102,0.17022812,1.1336426,1.4963298,0.13618237,0.16675922
polyglot-rust-c,1.8036644,1.3923489,0.22091974,0.11652601,1.1674311,1.3445086,0.16114509,0.17344098
portfolio-optimization,1.1982427,-1.3167318,0.097090974,0.12166697,0.17867509,0.51947933,0.106755376,0.54827
protein-assembly,1.2746351,0.8537901,0.17633322,0.14894903,1.9148102,1.3567436,0.1930189,0.09751135
prove-plus-comm,1.4954009,-1.6148597,0.12048152,0.1411808,-0.12020857,0.7474378,0.11266379,0.71399826
pypi-server,0.95579183,-0.46462232,0.1094187,0.13392515,0.694792,-0.062221147,0.11974632,0.17203487
pytorch-model-cli,1.482492,0.12789522,0.13793574,0.081338,0.50076205,0.6839679,0.105402365,0.2327334
pytorch-model-recovery,0.34654236,0.32887593,0.09050472,0.30519718,0.53299206,0.7840163,0.08943636,0.20857814
qemu-alpine-ssh,1.4313827,1.2453356,0.1310432,0.09939985,0.20321898,0.87281203,0.11292653,0.45103216
qemu-startup,0.8895586,-0.13312645,0.10344449,0.13399248,0.08365111,0.6414585,0.08598913,0.62618625
query-optimize,0.94371593,0.94755167,0.101864286,0.12459689,-0.12150794,0.6704852,0.09388989,0.54804856
raman-fitting,0.06456827,0.40044862,0.2886714,0.7591255,2.359134,2.9229612,0.30821985,0.25123295
regex-chess,1.0987514,1.7404251,0.22206971,0.33316126,1.43315,2.2509153,0.19295917,0.22856061
regex-log,0.7781732,-0.20681755,0.12747826,0.1773353,1.3742839,-0.55379665,0.15947866,0.10332943
reshard-c4-data,1.7804732,0.2819309,0.16505145,0.08479859,1.0859395,0.6359368,0.13128926,0.14128567
rstan-to-pystan,1.1741005,0.6072466,0.1411994,0.10916433,0.7086582,0.8833056,0.106059894,0.1763221
sam-cell-seg,0.3531646,1.9462849,0.17431566,0.7313117,1.029088,3.6127126,0.11788598,0.38086095
sanitize-git-repo,1.3588033,0.9627353,0.14235942,0.10232065,0.52783215,0.96002144,0.115397446,0.24965185
schemelike-metacircular-eval,0.9398319,0.9738046,0.1282573,0.14278571,0.8393754,1.2062783,0.1046077,0.1682771
sparql-university,0.6950154,0.41962487,0.13262327,0.19946939,1.4414123,0.79966396,0.13593836,0.09565042
sqlite-db-truncate,2.8958766,0.18455385,0.22414178,0.063471794,1.5744413,0.51419896,0.16953494,0.10698584
sqlite-with-gcov,0.96913064,-0.5599885,0.10085972,0.13267726,0.3379985,0.41744706,0.10230077,0.30781555
torch-pipeline-parallelism,1.8231055,2.2377832,0.22520316,0.19349943,0.8010149,1.736397,0.1864575,0.35855502
torch-tensor-parallelism,1.5458245,1.7749137,0.23620236,0.15832148,1.0377783,1.7018772,0.16395688,0.21080303
train-fasttext,-0.3961458,0.026768405,0.25049523,0.5583969,1.2139544,3.2752693,0.11848881,0.2966487
tune-mjcf,1.0460666,0.51728505,0.123396926,0.11046239,0.35997728,0.8465697,0.095846035,0.27486518
video-processing,1.4978131,1.9616117,0.25966668,0.2753781,1.3659096,2.1290877,0.21601959,0.28864992
vulnerable-secret,1.6181394,-0.78621477,0.13507083,0.097423166,0.415707,0.50516915,0.11293587,0.30847067
winning-avg-corewars,0.46453428,0.65794826,0.1199903,0.27188674,0.96353406,1.3284497,0.10575152,0.13561378
write-compressor,1.6929983,1.2108456,0.20519799,0.11346407,1.3121917,1.281684,0.15941224,0.14023292
