,theta1,theta1_std,theta2,theta2_std,theta3,theta3_std,theta_avg
ante_gemini-3-pro-preview_at_google,1.0021243,0.1480713,0.8114743,0.14517939,1.6445473,0.1622909,1.1527153
junie_gemini-3-flash-preview_at_gemini,1.1843485,0.1540155,1.1027333,0.17108762,1.1088188,0.16087148,1.1319668
factory_droid_gpt-5_2_at_openai,0.84073555,0.15146187,1.3829802,0.1740679,1.1173245,0.16160613,1.11368
factory_droid_claude-opus-4-5-20251101_at_anthropic,0.037935536,0.1563534,0.95813066,0.18475111,2.2847474,0.17106062,1.0936046
"warp_claude-haiku-4-5_at_anthropic,gpt-5_2_at_openai",1.5573741,0.15299101,1.196316,0.15882047,0.5110583,0.13243145,1.0882496
codex_gpt-5_2_at_openai,1.6512287,0.14981294,0.8650142,0.1717,0.726501,0.15155025,1.0809146
ii-agent-simple_gemini-3-pro-preview_at_gemini,1.1432239,0.15609859,0.7409666,0.15579781,1.1306847,0.14970335,1.0049585
factory_droid_gemini-3-pro-preview_at_google,0.2874562,0.15533385,1.0393281,0.15558393,1.5902796,0.15643404,0.97235465
codex_gpt-5_1-codex-max_at_openai,0.6933329,0.16183232,1.7394704,0.1596829,0.41387907,0.14347593,0.9488941
letta-code_claude-opus-4-5_at_anthropic,0.090317294,0.17605974,0.33618405,0.16051617,2.4044342,0.18055028,0.9436452
"abacusai_claude-haiku-4-5_at_anthropic,gemini-3-pro-preview_at_google",0.8915686,0.14357024,0.83949804,0.16158563,1.0851289,0.15966901,0.93873185
codex_gpt-5_1-codex_at_openai,0.59785706,0.1626515,2.1951382,0.18797155,-0.018427657,0.13936895,0.9248559
"warp_claude-haiku-4-5-20251001_at_anthropic,gemini-3-pro-preview_at_google,gpt-5-nano_at_openai",0.6259668,0.1462456,0.6305096,0.14345483,1.4438934,0.15353666,0.9001233
terminus-2_claude-opus-4-5-20251101_at_anthropic,0.0807572,0.16796674,0.5183423,0.15604609,2.007252,0.14543273,0.8687838
terminus-2_gpt-5_2_at_openai,1.2612954,0.15150897,1.6377695,0.16027662,-0.49324507,0.13346143,0.80193996
gemini-cli_gemini-3-flash-preview_at_google,1.2987105,0.15572481,0.64937365,0.14433576,0.3685384,0.13646142,0.7722075
terminus-2_gemini-3-pro-preview_at_gemini,-0.03206402,0.156483,1.2064172,0.16991116,1.1360767,0.14980988,0.7701433
letta-code_gemini-3-pro-preview_at_google,0.34379968,0.1502744,1.030781,0.15250899,0.9241698,0.15499337,0.76625013
openhands_claude-opus-4-5-20251101_at_anthropic,0.59383565,0.17370738,-0.02422258,0.15399931,1.6405631,0.15092379,0.7367254
letta-code_gpt-5_1-codex_at_openai,-0.03698978,0.1548471,2.0993748,0.1761457,0.11448796,0.1415901,0.7256243
claude-code_claude-opus-4-5-20251101_at_anthropic,0.36673412,0.1653726,-0.16923676,0.14691737,1.934326,0.16062203,0.71060777
goose_claude-opus-4-5_at_anthropic,-0.6693565,0.16783765,1.0156094,0.17911847,1.7687347,0.16351752,0.7049959
final_claude-4_5-sonnet_at_anthropic,4.1561766,0.18334544,-2.9738748,0.18068942,0.41979814,0.1518775,0.5340333
"warp_claude-haiku-4-5-20251001_at_anthropic,claude-sonnet-4-5-20250929_at_anthropic,gpt-5-nano_at_openai",-0.43135542,0.17396086,0.8193578,0.15358973,1.0888659,0.15556733,0.49228942
terminus-2_gpt-5_1_at_openai,-0.17613448,0.16392723,1.7850946,0.16106513,-0.14695036,0.14331809,0.4873366
codex_gpt-5_1-codex-mini_at_openai,0.59167916,0.16752315,0.99252206,0.1357996,-0.17306131,0.13563825,0.47037998
codex_gpt-5-codex_at_openai,0.22547966,0.1688284,1.2800076,0.16192856,-0.17159583,0.13959864,0.44463047
openhands_gpt-5_at_openai,0.62764525,0.15438882,1.0256842,0.14413413,-0.38573176,0.13179821,0.42253256
terminus-2_gpt-5-codex_at_openai,-0.09953856,0.16991591,1.63049,0.16364032,-0.40147012,0.14324382,0.37649378
mini-swe-agent_gpt-5-codex_at_openai,0.04317499,0.16652294,1.225613,0.14489871,-0.24200179,0.13371076,0.34226206
openhands_claude-sonnet-4-5-20250929_at_anthropic,0.017751295,0.17847168,0.1022618,0.15261756,0.87314504,0.14374565,0.3310527
terminalbenchagent_claude-sonnet-4-5_at_anthropic,-1.011454,0.19808808,0.67878944,0.15601891,1.2714591,0.16307124,0.3129315
mini-swe-agent_claude-sonnet-4-5-20250929_at_anthropic,-0.33674106,0.17042875,0.41073376,0.14177687,0.7583678,0.14090423,0.2774535
claude-code_claude-sonnet-4-5-20250929_at_anthropic,0.09973524,0.17633325,-0.45287293,0.15369555,1.1064925,0.14698468,0.25111827
terminus-2_claude-sonnet-4-5-20250929_at_anthropic,-0.9810966,0.19342138,0.49514306,0.16183232,1.1824806,0.15331161,0.23217566
goose_claude-sonnet-4-5_at_anthropic,-1.0791883,0.19289652,0.26634637,0.1580662,1.4161905,0.15981635,0.20111616
mini-swe-agent_gpt-5_at_openai,0.6551694,0.17012168,0.99399954,0.1485884,-1.0744066,0.15292962,0.19158745
terminus-2_gpt-5_1-codex_at_openai,-0.17295693,0.17326191,1.1811227,0.14766467,-0.47958484,0.14603016,0.17619364
terminus-2_gpt-5_at_openai,0.40585056,0.17706905,0.72169435,0.15265623,-0.6768605,0.14696266,0.15022813
claude-code_minimax-m2_1_at_minimax,-0.3109406,0.17815582,-0.09242893,0.16743048,0.75064343,0.140904,0.11575797
spoox-m_gpt-5-mini_at_openai,-0.017710349,0.17212418,0.6513722,0.13846287,-0.34401733,0.14153478,0.09654818
claude-code_claude-opus-4-1-20250805_at_anthropic,0.041163348,0.18197218,-0.5221948,0.16397217,0.6717479,0.14181651,0.06357216
openhands_claude-opus-4-1-20250805_at_anthropic,-0.21256354,0.18881397,-0.58339185,0.16407077,0.9718884,0.1509394,0.058644336
terminus-2_gemini-2_5-pro_at_gemini,0.15544282,0.17054585,0.2361538,0.15179262,-0.25332934,0.14224868,0.046089094
codex_gpt-5-mini_at_openai,0.33145693,0.17916602,0.2946045,0.15309156,-0.5223222,0.14984669,0.034579754
openhands_gpt-5-mini_at_openai,0.5046485,0.17833343,0.15742642,0.15265815,-0.6864113,0.13858497,-0.008112133
terminus-2_moonshotai/kimi-k2-thinking_at_together_ai,-0.82738,0.19040248,0.20014824,0.16462594,0.5157527,0.13338321,-0.0371597
goose_claude-haiku-4-5_at_anthropic,-0.8722129,0.20519418,-0.22755525,0.16353944,0.9436065,0.14621207,-0.052053887
mini-swe-agent_claude-opus-4-1-20250805_at_anthropic,-0.89648557,0.20174913,-0.008696414,0.15923743,0.6925333,0.14511016,-0.070882894
openhands_grok-4-0709_at_xai,0.13577114,0.19696334,-0.48937738,0.16270809,0.061594892,0.14167057,-0.097337104
mini-swe-agent_gemini-2_5-pro_at_gemini,-0.022834301,0.18272454,0.13265643,0.16053773,-0.6106024,0.15295286,-0.16692674
terminus-2_accounts/fireworks/models/minimax-m2_at_fireworks_ai,-0.6637908,0.19926417,0.2626796,0.16165209,-0.15898706,0.15555193,-0.18669944
mini-swe-agent_grok-4-0709_at_xai,-0.31546843,0.19265784,0.17334728,0.16886099,-0.49997196,0.15117043,-0.21403104
terminus-2_grok-4-0709_at_xai,0.41120532,0.20026441,-0.48403466,0.16613895,-0.5860082,0.15733066,-0.21961252
terminus-2_minimax-m2_1_at_openai,-1.0009314,0.20163082,0.00923439,0.16795312,0.3017282,0.14410493,-0.2299896
