,a1,b1,a1_std,b1_std,a2,b2,a2_std,b2_std,a3,b3,a3_std,b3_std
adaptive-rejection-sampler,0.76661474,0.87827665,0.1011812,0.15258734,0.5731816,0.44383234,0.1120754,0.22694191,0.057748415,0.49256167,0.088907406,0.6046743
bn-fit-modify,0.8168689,0.27266377,0.1185771,0.15510295,1.0307897,-0.031185005,0.13294926,0.14240602,0.6634676,0.18492109,0.117476195,0.18477094
break-filter-js-from-html,1.4819219,0.76272297,0.14632154,0.100609556,0.046638817,0.44041604,0.1432509,0.5461943,0.9919898,0.5356194,0.13882242,0.16668686
build-cython-ext,0.9720742,0.75753504,0.1196962,0.15888707,0.6988294,0.42627445,0.1369971,0.1941232,1.0468935,0.5693231,0.15111092,0.14599884
build-pmars,-0.65775806,0.5036111,0.12066208,0.18551368,1.1896198,0.05865767,0.12373171,0.10289672,0.054260414,0.56139535,0.08363901,0.5965562
build-pov-ray,0.28980017,0.58770025,0.094779976,0.34603578,0.8797924,-0.047793042,0.13350601,0.14866433,0.9018278,0.10053821,0.12098247,0.14109445
caffe-cifar-10,0.90406597,2.3361483,0.11361666,0.30018595,-0.6895605,-0.054841395,0.2254293,0.37587517,0.73789066,1.7223784,0.14592645,0.3469721
cancel-async-tasks,0.03590271,0.77127063,0.07712426,0.62790704,0.37561542,0.8341407,0.09231444,0.27183947,0.23878306,0.7190907,0.07960548,0.37435696
chess-best-move,1.0710655,1.6558942,0.1648511,0.2316715,1.2745291,1.4208719,0.20170239,0.18757185,0.6197923,1.0749688,0.19741614,0.33425516
circuit-fibsqrt,1.631648,0.8833159,0.17211851,0.10762117,0.99345547,0.5623135,0.1587296,0.19059767,1.1444557,0.6705289,0.16411015,0.1534326
cobol-modernization,0.9836118,-0.8353046,0.16949311,0.1663112,0.81210095,-0.67200416,0.16405953,0.20006454,0.8767713,-0.8554886,0.12778959,0.19415057
code-from-image,0.6570775,-0.07211856,0.13823195,0.19924095,0.2614955,0.057229757,0.13936809,0.36333978,1.0653576,-0.68710464,0.112567425,0.13294755
compile-compcert,0.5462777,0.6681813,0.10680143,0.23695605,0.5637266,0.346044,0.12197167,0.21434534,1.1240507,0.38390708,0.13474831,0.12109247
configure-git-webserver,-0.48725218,0.6020057,0.10060181,0.20777261,0.8156479,0.44817784,0.1148964,0.138661,0.23758411,0.59773344,0.08296033,0.38083678
constraints-scheduling,0.46807525,-0.45993006,0.14792518,0.35797128,1.0531285,-1.5747575,0.11485521,0.18991576,0.62788033,-0.7585934,0.13306443,0.28940278
count-dataset-tokens,1.0882219,0.43113708,0.13443854,0.123427115,0.65103424,0.27468908,0.12942238,0.2030969,0.47185922,0.4171114,0.10651985,0.25395057
crack-7z-hash,0.6466328,0.07465265,0.12529749,0.18198803,0.4396012,0.09191748,0.120827295,0.2794929,0.9243246,-0.23134731,0.11657374,0.14130326
custom-memory-heap-crash,1.3104784,-0.4839631,0.19274496,0.11750273,0.8596625,-0.34381887,0.16520573,0.17843562,1.070256,-0.36258182,0.14205104,0.1450866
db-wal-recovery,1.3927858,2.0767305,0.115981475,0.16650903,0.2824633,0.8240321,0.15934978,0.54046065,-0.082098,0.47701785,0.16856204,0.59262633
distribution-search,1.0849037,-0.12780894,0.14684789,0.1268019,1.1864532,-0.36168244,0.14023386,0.12523888,0.54009414,0.1953387,0.115981065,0.267059
dna-assembly,0.81549335,1.4447643,0.19272779,0.3039889,0.7011832,1.040082,0.22390904,0.32330334,1.9387094,1.809328,0.24346057,0.14718945
dna-insert,0.9522121,2.0302446,0.188528,0.3462254,0.9818354,1.886495,0.18657964,0.34963617,0.7129094,1.6017903,0.20069103,0.42029324
extract-elf,-0.024264902,0.65026695,0.08735871,0.6297626,0.6041319,0.4797757,0.119466804,0.18419176,0.37622947,0.5782966,0.09088338,0.25778636
extract-moves-from-video,0.9039492,1.915687,0.23642063,0.4208554,0.5760046,1.1742336,0.2410324,0.5946548,1.5968916,2.3965461,0.24812233,0.2635444
feal-differential-cryptanalysis,1.4458181,0.6578876,0.14860286,0.10739952,0.68725884,0.42651743,0.14092642,0.22755998,1.1519268,0.45679337,0.14085087,0.13093618
feal-linear-cryptanalysis,2.049904,0.6098835,0.18017554,0.08358706,1.7064171,0.49553457,0.15812533,0.10523606,-0.19819671,0.61105573,0.124913275,0.449472
filter-js-from-html,2.192574,2.7435813,0.29678193,0.29041836,0.057468425,0.5040073,0.2618039,0.73978496,0.772812,1.3534315,0.2836575,0.5505389
financial-document-processor,0.6384966,1.1120846,0.1249859,0.23056453,0.96480495,0.89614993,0.15438977,0.17461056,0.84672886,0.9748128,0.13608636,0.18195863
fix-code-vulnerability,0.8621974,0.06819571,0.14878035,0.16943794,0.41322064,0.11168567,0.1309603,0.31885025,1.5236593,-0.41170186,0.14474952,0.096362196
fix-git,0.001905284,0.5608666,0.12076681,0.6902122,0.8830067,-1.5601958,0.10750143,0.20916334,0.8428765,-0.9405832,0.13665919,0.21827585
fix-ocaml-gc,1.0593761,0.15395097,0.1494001,0.13783705,0.658224,0.12559149,0.15072866,0.24729979,1.4869734,-0.092450745,0.14534003,0.10472871
gcode-to-text,2.0241532,2.0801642,0.22606587,0.17320597,0.36352426,0.8183622,0.21009102,0.6045058,0.6784311,1.0970857,0.2524975,0.3896666
git-leak-recovery,-0.1783082,0.87922496,0.11937717,0.6039541,0.22560257,0.11475355,0.13791096,0.5221333,1.8427366,-1.2748921,0.16221789,0.104482755
git-multibranch,0.19889887,0.35547727,0.10285176,0.49821016,0.58512264,-0.5197718,0.10949414,0.20388073,0.74822825,-0.45148075,0.10652119,0.17836785
gpt2-codegolf,2.2300296,2.8099854,0.28558025,0.31003824,0.10636354,0.5386446,0.26332822,0.71403015,0.79360694,1.2587281,0.2987194,0.5615764
headless-terminal,-0.42983538,0.78221077,0.1012507,0.3061593,1.3279375,-0.46845925,0.13759908,0.10899175,0.48789322,0.39495173,0.10232777,0.26225898
hf-model-inference,0.56099147,-0.028250337,0.12320452,0.22089317,0.9437732,-0.72091246,0.10811405,0.14670241,0.25213015,0.21711916,0.095184654,0.4038927
install-windows-3.11,0.6449238,1.5915416,0.23529418,0.5180824,1.0383838,1.661079,0.23918438,0.37045413,1.610108,2.1712503,0.24811615,0.26735207
kv-store-grpc,-0.48818743,0.72255814,0.09132993,0.26853907,-0.033620067,0.3159944,0.10056056,0.6372337,1.3724376,0.438494,0.13743593,0.08890391
large-scale-text-editing,0.31885615,0.65043926,0.10744458,0.361656,1.1407312,0.1905595,0.13545007,0.12839344,0.9722748,0.2910485,0.12818484,0.14639859
largest-eigenval,0.14097926,0.7911987,0.11416827,0.51931113,0.60502845,0.49163058,0.13472296,0.22507785,2.0229774,0.71692294,0.19111261,0.075202405
llm-inference-batching-scheduler,1.4188838,0.6313262,0.15753563,0.12156392,1.8498981,0.30422083,0.1658852,0.09503172,1.1006836,0.45915538,0.14256406,0.17507729
log-summary-date-ranges,-0.06275105,0.74002063,0.106164254,0.63444036,0.23684506,0.28351426,0.13038951,0.45869154,2.2467864,-0.4286787,0.20818584,0.06592091
mailman,0.5516629,0.55901974,0.10810763,0.23776504,0.64170146,0.18743438,0.13058268,0.20666814,0.97161245,0.2014702,0.119725764,0.14265344
make-doom-for-mips,1.2952192,2.5661027,0.31478208,0.74029243,1.028797,2.1894145,0.29777944,0.84062636,1.1660529,2.1977515,0.3198723,0.73488533
make-mips-interpreter,1.2849188,1.7710247,0.19751006,0.23433168,1.2660785,1.587033,0.21064681,0.22865401,0.5517396,0.92480874,0.21341522,0.3946965
mcmc-sampling-stan,-0.36413,0.7762483,0.09285264,0.31405646,0.48451596,0.4247507,0.117541865,0.23405643,0.8394674,0.40510312,0.10591813,0.16045487
merge-diff-arc-agi-task,0.9475299,-0.3411202,0.1509501,0.14300703,0.43159223,-0.07611575,0.1275296,0.2596361,0.890436,-0.2686494,0.120672524,0.15096994
model-extraction-relu-logits,-0.14500968,0.42830542,0.13833073,0.5700101,0.76487905,2.929242,0.063922174,0.20957099,0.052910686,0.8502102,0.10863337,0.6891037
modernize-scientific-stack,-0.21905258,0.903808,0.15405175,0.606612,1.4630632,-1.8568739,0.14075054,0.16904816,0.69790614,-0.42708015,0.16370463,0.33937827
mteb-leaderboard,1.6521394,1.89756,0.15140238,0.15040414,0.7715854,0.94805074,0.16719633,0.32340282,0.043175936,0.49728405,0.18734768,0.62378484
mteb-retrieve,1.1938368,1.9655752,0.14643371,0.22074248,0.6462749,1.2872475,0.19325641,0.3027673,0.5728644,1.093713,0.18147925,0.39371756
multi-source-data-merger,0.10200103,0.5564575,0.1195567,0.60767484,1.3748653,-1.6104814,0.1107901,0.1413844,0.3026709,0.014415844,0.11683577,0.51098764
nginx-request-logging,0.2623091,0.14441907,0.12503788,0.40071303,0.500658,-0.28014192,0.14420672,0.27807254,1.1754962,-1.0874227,0.1196314,0.12806846
openssl-selfsigned-cert,0.6688033,0.20009503,0.111929335,0.19068694,1.2399137,-0.33410117,0.12037988,0.100003526,-0.08017975,0.53933346,0.085097365,0.5662997
overfull-hbox,0.47420454,0.8347009,0.11159937,0.29141712,0.91735107,0.5388542,0.14662972,0.15852049,1.3377348,0.64848506,0.14349791,0.10253105
password-recovery,0.8090234,0.6792986,0.12116351,0.18208921,0.25753975,0.42170706,0.12945957,0.38850692,1.6530572,0.36922953,0.1543843,0.09139123
path-tracing,0.7331917,1.2975763,0.14617978,0.23882414,1.055732,0.9970599,0.18937834,0.18198067,1.2356197,1.316307,0.16648951,0.17471097
path-tracing-reverse,0.953014,1.5643903,0.1555766,0.22880504,0.8322832,1.0702755,0.17803559,0.28331783,1.0937506,1.4000626,0.17746869,0.21646506
