,theta,theta_std
ante_gemini-3-pro-preview_at_google,2.975375,0.1534247
junie_gemini-3-flash-preview_at_gemini,2.974284,0.12001988
factory_droid_gpt-5_2_at_openai,2.8837283,0.124655545
factory_droid_claude-opus-4-5-20251101_at_anthropic,2.8631113,0.14119224
codex_gpt-5_2_at_openai,2.8252985,0.11076564
"warp_claude-haiku-4-5_at_anthropic,gpt-5_2_at_openai",2.795062,0.15374751
ii-agent-simple_gemini-3-pro-preview_at_gemini,2.7233078,0.12506266
factory_droid_gemini-3-pro-preview_at_google,2.646935,0.11197818
codex_gpt-5_1-codex-max_at_openai,2.6370423,0.13757473
letta-code_claude-opus-4-5_at_anthropic,2.4860392,0.12916018
"warp_claude-haiku-4-5-20251001_at_anthropic,gemini-3-pro-preview_at_google,gpt-5-nano_at_openai",2.48191,0.14210603
"abacusai_claude-haiku-4-5_at_anthropic,gemini-3-pro-preview_at_google",2.4133484,0.107107736
letta-code_gemini-3-pro-preview_at_google,2.4008257,0.15990901
codex_gpt-5_1-codex_at_openai,2.393901,0.12885365
terminus-2_claude-opus-4-5-20251101_at_anthropic,2.3493555,0.11029005
terminus-2_gemini-3-pro-preview_at_gemini,2.2748866,0.111171946
terminus-2_gpt-5_2_at_openai,2.1215632,0.1200892
goose_claude-opus-4-5_at_anthropic,2.1095703,0.14086315
claude-code_claude-opus-4-5-20251101_at_anthropic,2.0210712,0.11018321
letta-code_gpt-5_1-codex_at_openai,1.9886351,0.13630652
openhands_claude-opus-4-5-20251101_at_anthropic,1.9780092,0.1210363
gemini-cli_gemini-3-flash-preview_at_google,1.9464812,0.14984046
"warp_claude-haiku-4-5-20251001_at_anthropic,claude-sonnet-4-5-20250929_at_anthropic,gpt-5-nano_at_openai",1.922021,0.09679483
terminalbenchagent_claude-sonnet-4-5_at_anthropic,1.6738958,0.13899869
terminus-2_gpt-5_1_at_openai,1.5954871,0.1195685
codex_gpt-5-codex_at_openai,1.4518986,0.111375034
codex_gpt-5_1-codex-mini_at_openai,1.421061,0.106094316
openhands_gpt-5_at_openai,1.4013306,0.12638581
goose_claude-sonnet-4-5_at_anthropic,1.3904649,0.17907968
terminus-2_gpt-5-codex_at_openai,1.3637016,0.10445077
final_claude-4_5-sonnet_at_anthropic,1.3099679,0.15558377
mini-swe-agent_claude-sonnet-4-5-20250929_at_anthropic,1.2987962,0.10830447
terminus-2_claude-sonnet-4-5-20250929_at_anthropic,1.2505401,0.1174515
openhands_claude-sonnet-4-5-20250929_at_anthropic,1.173175,0.105725154
mini-swe-agent_gpt-5-codex_at_openai,1.1597586,0.13963442
claude-code_claude-sonnet-4-5-20250929_at_anthropic,1.1101559,0.10609368
claude-code_minimax-m2_1_at_minimax,0.98800814,0.12390417
terminus-2_gpt-5_1-codex_at_openai,0.9484892,0.12795709
terminus-2_moonshotai/kimi-k2-thinking_at_together_ai,0.89127606,0.14019488
goose_claude-haiku-4-5_at_anthropic,0.8897557,0.11085121
openhands_claude-opus-4-1-20250805_at_anthropic,0.88267124,0.11653393
spoox-m_gpt-5-mini_at_openai,0.87538713,0.12029195
mini-swe-agent_claude-opus-4-1-20250805_at_anthropic,0.8122702,0.123910874
terminus-2_gpt-5_at_openai,0.7934419,0.16733177
claude-code_claude-opus-4-1-20250805_at_anthropic,0.75333893,0.09135293
mini-swe-agent_gpt-5_at_openai,0.70055246,0.09864202
terminus-2_gemini-2_5-pro_at_gemini,0.62071604,0.11844266
codex_gpt-5-mini_at_openai,0.55461806,0.13266802
terminus-2_accounts/fireworks/models/minimax-m2_at_fireworks_ai,0.49922806,0.14531097
mini-swe-agent_claude-haiku-4-5-20251001_at_anthropic,0.41079983,0.100050956
terminus-2_minimax-m2_1_at_openai,0.4061958,0.12791707
openhands_gpt-5-mini_at_openai,0.37193376,0.11311852
aone-agent_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_modelscope,0.3033418,0.13801007
terminus-2_claude-haiku-4-5-20251001_at_anthropic,0.26285952,0.12183704
claude-code_claude-haiku-4-5-20251001_at_anthropic,0.25201532,0.1307779
terminus-2_moonshotai/kimi-k2-instruct-0905_at_together_ai,0.24006924,0.15324837
openhands_moonshotai/kimi-k2-instruct-0905_at_together_ai,0.16544878,0.15000829
openhands_grok-4-0709_at_xai,0.16042586,0.11844385
mini-swe-agent_grok-code-fast-1_at_xai,0.10736661,0.12861784
terminus-2_accounts/fireworks/models/glm-4p6_at_fireworks_ai,0.07909806,0.12509036
openhands_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,0.05826948,0.12438064
mini-swe-agent_gemini-2_5-pro_at_gemini,0.057227645,0.10714076
mini-swe-agent_grok-4-0709_at_xai,0.024769118,0.12651372
terminus-2_qwen/qwen3-coder-480b-a35b-instruct-fp8_at_together_ai,0.020474544,0.13453346
terminus-2_grok-4-0709_at_xai,-0.10871102,0.10748316
terminus-2_gpt-5-mini_at_openai,-0.14621583,0.14417614
mini-swe-agent_gpt-5-mini_at_openai,-0.14641856,0.1472702
gemini-cli_gemini-2_5-pro_at_gemini,-0.4443163,0.15938056
terminus-2_openai/gpt-oss-120b_at_together_ai,-0.59352374,0.13868614
openhands_gemini-2_5-pro_at_gemini,-0.69750375,0.10650684
terminus-2_gemini-2_5-flash_at_gemini,-0.7270747,0.11376057
mini-swe-agent_gemini-2_5-flash_at_gemini,-0.746277,0.15944812
gemini-cli_gemini-2_5-flash_at_gemini,-0.83228457,0.18542293
openhands_gemini-2_5-flash_at_gemini,-0.8459279,0.20435745
mini-swe-agent_openai/gpt-oss-120b_at_together_ai,-0.9362194,0.13088942
terminus-2_grok-code-fast-1_at_xai,-1.0070815,0.13401976
openhands_claude-haiku-4-5-20251001_at_anthropic,-1.0744439,0.18935597
codex_gpt-5-nano_at_openai,-1.3435936,0.18460263
openhands_gpt-5-nano_at_openai,-1.5070344,0.18131825
terminus-2_gpt-5-nano_at_openai,-1.7581079,0.18711008
mini-swe-agent_gpt-5-nano_at_openai,-1.9830402,0.18668592
mini-swe-agent_openai/gpt-oss-20b_at_together_ai,-2.8016498,0.32251644
terminus-2_openai/gpt-oss-20b_at_together_ai,-2.927614,0.32557014
