,theta,theta_std
20251124_mini-v1.16.0_claude-opus-4-5-20251101,2.225999355316162,0.15198469
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,2.197981119155884,0.18775669
20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,1.8331116437911987,0.1527633
20250929_mini-v1.13.3_sonnet-4-5-20250929,1.5724022388458252,0.15529157
20250802_mini-v1.0.0_claude-4-opus-20250514,1.340416431427002,0.13638915
20251211_mini-v1.17.2_gpt-5.2-2025-12-11,1.295641303062439,0.12947136
20251124_mini-v1.16.0_gpt-5.1-codex,1.1274633407592773,0.11678647
20251120_mini-v1.15.0_gpt-5.1-2025-11-13,1.1004414558410645,0.14391458
20250807_mini-v1.7.0_gpt-5,0.9154916405677795,0.11732686
20251210_mini-v1.17.2_kimi-k2-thinking,0.860487163066864,0.17450924
20250726_mini-v1.0.0_claude-sonnet-4-20250514,0.8598203063011169,0.1711218
20251124_mini-v1.17.0_minimax-m2,0.5342962741851807,0.16895348
20250807_mini-v1.7.0_gpt-5-mini,0.475240558385849,0.11778012
20251201_mini-v1.17.1_deepseek-v3.2-reasoner,0.4482284486293793,0.19483764
20250726_mini-v1.0.0_o3-2025-04-16,0.38294702768325806,0.11113124
20251201_mini-v1.17.1_glm-4.6,0.05731680616736412,0.088718064
20251209_mini-v1.17.2_devstral-small-2512,-0.036902762949466705,0.15317465
20250822_mini-v1.9.1_glm-4.5,-0.04070335254073143,0.15092498
20250802_mini-v1.0.0_qwen3-coder-480b-a35b-instruct,-0.0475623682141304,0.10001743
20250726_mini-v1.0.0_gemini-2.5-pro,-0.17688488960266113,0.1310488
20251209_mini-v1.17.2_devstral-2512,-0.17776048183441162,0.11506856
20250726_mini-v1.0.0_o4-mini-2025-04-16,-0.8437973260879517,0.11699019
20250807_mini-v1.7.0_kimi-k2-instruct,-0.9254181385040283,0.10443837
20250807_mini-v1.7.0_gpt-5-nano,-1.7789034843444824,0.12983441
20250807_mini-v1.7.0_gpt-oss-120b,-2.3528807163238525,0.12887685
20250720_mini-v0.0.0-Llama-4-Maverick-17B-Instruct,-2.8476579189300537,0.15654023
20250720_mini-v0.0.0-claude-3-7-sonnet-20250219,-4.228024005889893,0.15967634
20250803_mini-v1.0.0_qwen2-5-coder-32b-instruct,-4.251229763031006,0.17389706
