,b,b_std
astropy__astropy-12907,-2.700089454650879,0.53408283
astropy__astropy-13033,7.33784294128418,2.01437
astropy__astropy-13236,2.4470999240875244,0.6337547
astropy__astropy-13398,7.726356506347656,1.8493896
astropy__astropy-13453,-1.3792705535888672,0.4937865
astropy__astropy-13579,-1.4388848543167114,0.5562654
astropy__astropy-13977,7.650369644165039,1.8062418
astropy__astropy-14096,-1.9068841934204102,0.4774481
astropy__astropy-14182,2.7772879600524902,0.77284086
astropy__astropy-14309,-3.9482197761535645,1.0065006
astropy__astropy-14365,2.6536591053009033,0.51606435
astropy__astropy-14369,2.230525016784668,0.51846737
astropy__astropy-14508,-1.3317785263061523,0.42681083
astropy__astropy-14539,-2.2751803398132324,0.72395456
astropy__astropy-14598,7.437505722045898,1.7355999
astropy__astropy-14995,-3.070941686630249,0.72812194
astropy__astropy-7166,-2.1693758964538574,0.5249633
astropy__astropy-7336,-3.94327712059021,0.9582148
astropy__astropy-7606,7.522898197174072,1.7731763
astropy__astropy-7671,-3.3466339111328125,0.84513915
astropy__astropy-8707,7.3072428703308105,2.3331623
astropy__astropy-8872,7.587559700012207,2.423587
django__django-10097,0.8103876709938049,0.41145647
django__django-10554,7.551341533660889,2.395804
django__django-10880,-2.278250217437744,0.67353004
django__django-10914,-2.601154327392578,0.71226406
django__django-10973,-1.101327896118164,0.5310531
django__django-10999,7.360191345214844,1.0670921
django__django-11066,-4.141901016235352,1.0789288
django__django-11087,7.490653038024902,1.6544086
django__django-11095,-2.67826771736145,0.5233163
django__django-11099,-3.9871649742126465,0.7853931
django__django-11119,-3.2006051540374756,0.92548066
django__django-11133,-3.440457820892334,0.6972679
django__django-11138,3.5882835388183594,0.7806822
django__django-11141,4.386033058166504,0.7059488
django__django-11149,1.6981176137924194,0.385298
django__django-11163,-3.980604887008667,0.7856784
django__django-11179,-1.6611332893371582,0.6630195
django__django-11206,0.2015712708234787,0.380468
django__django-11211,-0.46118664741516113,0.354512
django__django-11239,-1.5828471183776855,0.59617335
django__django-11265,4.266587257385254,0.9637555
django__django-11276,-1.6622239351272583,0.50238246
django__django-11292,-2.1664133071899414,0.7094097
django__django-11299,-2.13957142829895,0.6679138
django__django-11333,0.5248816013336182,0.4468784
django__django-11400,7.424842357635498,1.1953914
django__django-11433,1.3421988487243652,0.47606885
django__django-11451,-1.4861226081848145,0.47643286
django__django-11477,2.865621328353882,0.51542974
django__django-11490,0.16913239657878876,0.4487043
django__django-11532,1.1938235759735107,0.43919173
django__django-11551,-3.1715121269226074,0.7320645
django__django-11555,-0.640595555305481,0.4883411
django__django-11603,-2.221559524536133,0.65167147
django__django-11728,2.239464282989502,0.5139473
django__django-11734,4.0760345458984375,0.7077403
django__django-11740,-0.6396009922027588,0.41201162
django__django-11749,-2.3539252281188965,0.65676105
django__django-11790,2.5060336589813232,0.69576335
django__django-11815,-1.4088677167892456,0.4690482
django__django-11820,7.598409652709961,1.6861058
django__django-11848,0.6139299869537354,0.36098027
django__django-11880,-2.543860673904419,0.661284
django__django-11885,2.4479663372039795,0.62825716
django__django-11951,-1.8968855142593384,0.48362136
django__django-11964,2.0852930545806885,0.5016457
django__django-11999,-3.9599969387054443,0.7882657
django__django-12039,-0.5186887383460999,0.41677207
django__django-12050,-2.778211832046509,0.5679633
django__django-12125,0.16001638770103455,0.38257548
django__django-12143,-2.310668706893921,0.5804395
django__django-12155,-3.1973767280578613,0.7318927
django__django-12193,2.011598587036133,0.37800688
django__django-12209,-2.5552423000335693,0.6908591
django__django-12262,-1.783970832824707,0.66996706
django__django-12273,4.372559070587158,0.8855044
django__django-12276,-1.222395896911621,0.49158
django__django-12304,-0.74019855260849,0.5179585
django__django-12308,2.4501819610595703,0.6470984
django__django-12325,2.6775190830230713,0.5580666
django__django-12406,4.227192401885986,1.3749075
django__django-12419,-5.235811710357666,1.2119564
django__django-12663,1.218550443649292,0.47187293
django__django-12708,-1.3799681663513184,0.44397435
django__django-12713,-2.221604585647583,0.62341213
django__django-12741,-1.9623122215270996,0.584105
django__django-12754,0.4869785010814667,0.4250117
django__django-12774,-0.14035359025001526,0.49217474
django__django-12858,-1.2215502262115479,0.59541905
django__django-12965,0.5688812136650085,0.33190864
django__django-13012,-1.9788122177124023,0.70502293
django__django-13023,-0.07672924548387527,0.40964288
django__django-13028,-3.81449556350708,0.8374471
django__django-13033,-0.9970455765724182,0.49081576
django__django-13089,-2.7368509769439697,0.75256157
django__django-13109,-0.43877506256103516,0.29880133
django__django-13112,1.0475465059280396,0.43925688
django__django-13121,-0.87590491771698,0.5557862
django__django-13128,-0.510951042175293,0.4288435
django__django-13158,0.09449253976345062,0.44136155
django__django-13195,4.261266708374023,0.79584897
django__django-13212,7.223979949951172,1.4406815
django__django-13279,-2.4793314933776855,0.6372589
django__django-13297,0.20201219618320465,0.40595537
django__django-13315,-0.6767725348472595,0.5281722
django__django-13343,-2.211190938949585,0.50783277
django__django-13344,4.348387241363525,0.7453016
django__django-13346,0.012129345908761024,0.4236872
django__django-13363,-2.7517201900482178,0.5572369
django__django-13401,0.01766735129058361,0.5778127
django__django-13406,0.4304924011230469,0.42971092
django__django-13410,-2.572094440460205,0.7044183
django__django-13417,-2.208791971206665,0.45066148
django__django-13449,-1.3094515800476074,0.60486704
django__django-13512,1.0172423124313354,0.5236497
django__django-13513,7.4175262451171875,1.6097299
django__django-13516,-1.8718104362487793,0.6527775
django__django-13551,0.0346856489777565,0.42310852
django__django-13568,1.3327171802520752,0.4529295
django__django-13569,-0.8233233094215393,0.5981793
django__django-13590,-1.8492640256881714,0.44958794
django__django-13658,-4.754792213439941,0.89698327
django__django-13670,-5.209903240203857,1.3475921
django__django-13741,-1.270753264427185,0.5379045
django__django-13786,-0.892741322517395,0.5596582
django__django-13794,7.207726001739502,1.590347
django__django-13807,0.5850796699523926,0.45829725
django__django-13809,-0.6787750124931335,0.5302895
django__django-13810,-0.6211888790130615,0.51284534
django__django-13820,-3.74076247215271,0.98301893
django__django-13821,-2.162074089050293,0.60727566
django__django-13837,-1.811415672302246,0.64425886
django__django-13925,-0.2214290201663971,0.59115547
django__django-13933,-1.9278444051742554,0.4807011
django__django-13964,0.38656890392303467,0.5107646
django__django-14007,-1.391484260559082,0.660622
django__django-14011,7.204904556274414,2.4359908
django__django-14017,-1.6062134504318237,0.47675937
django__django-14034,7.219886302947998,1.3368778
django__django-14053,-0.5469620823860168,0.36950743
django__django-14089,-2.019413471221924,0.6033074
django__django-14122,-0.3766219913959503,0.3934526
django__django-14140,1.114305853843689,0.4745139
django__django-14155,7.276133060455322,1.8663862
django__django-14170,7.2747087478637695,2.130655
django__django-14238,-3.3483638763427734,0.8622794
django__django-14311,-0.5290858745574951,0.6193102
django__django-14315,7.1686882972717285,1.8387307
django__django-14349,-1.2221345901489258,0.62321633
django__django-14351,0.34162217378616333,0.5119107
django__django-14373,-4.817319869995117,0.9992679
django__django-14376,1.2381938695907593,0.48787054
django__django-14404,1.7880172729492188,0.41009262
django__django-14434,-1.8423759937286377,0.6708748
django__django-14493,-1.4588086605072021,0.6134366
django__django-14500,-1.8646159172058105,0.5462128
django__django-14534,2.488125801086426,0.74586594
django__django-14539,-1.5742223262786865,0.5645914
django__django-14559,-1.3299145698547363,0.526489
django__django-14580,-2.2201859951019287,0.69860536
django__django-14608,-2.809612512588501,0.73342514
django__django-14631,0.48818621039390564,0.6553658
django__django-14672,-1.833028793334961,0.5332281
django__django-14725,2.905006170272827,0.65563405
django__django-14752,-2.7620785236358643,0.68363535
django__django-14765,-3.0571069717407227,0.7735702
django__django-14771,0.42332038283348083,0.50455534
django__django-14787,-1.5375573635101318,0.65455586
django__django-14792,7.6634440422058105,2.0903704
django__django-14855,-2.71726131439209,0.6771332
django__django-14915,-3.2103075981140137,0.91385496
django__django-14999,-0.9183042645454407,0.54332256
django__django-15022,0.5517056584358215,0.39124495
django__django-15037,-0.31327247619628906,0.34454036
django__django-15098,7.082996845245361,1.844319
django__django-15103,-2.557100772857666,0.7164736
django__django-15104,-2.7350566387176514,0.9080212
django__django-15127,2.6912403106689453,0.7101847
django__django-15128,0.6313329339027405,0.46222174
django__django-15161,-1.1473757028579712,0.56909746
django__django-15252,7.379073143005371,2.0667682
django__django-15268,-0.8716002106666565,0.50028694
django__django-15277,-3.393540620803833,0.74964213
django__django-15278,-1.4735101461410522,0.5760251
django__django-15280,2.09767746925354,0.5616993
django__django-15315,-1.8820592164993286,0.74607277
django__django-15368,-8.13223648071289,1.6288164
django__django-15375,-0.5913211107254028,0.62478703
django__django-15380,-1.8484647274017334,0.7174929
django__django-15382,-1.0575575828552246,0.5133021
django__django-15467,-3.292846918106079,0.8283609
django__django-15499,-1.6149885654449463,0.51163125
django__django-15503,2.5311427116394043,0.56876945
django__django-15525,-1.1189641952514648,0.51122886
django__django-15554,2.038238286972046,0.44036245
django__django-15561,-0.9207171201705933,0.46131977
django__django-15563,2.5156354904174805,0.5842936
django__django-15569,-3.7740347385406494,0.60590374
django__django-15572,-2.4346933364868164,0.5751398
django__django-15629,7.213086128234863,2.1818953
django__django-15695,7.215887069702148,2.3519156
django__django-15731,-2.914505958557129,0.5566367
django__django-15732,3.3613555431365967,0.7851785
django__django-15741,-2.5264790058135986,0.66126513
django__django-15814,-1.8786214590072632,0.52921146
django__django-15851,-3.265843391418457,0.73095846
django__django-15863,-2.340249538421631,0.7376603
django__django-15916,1.4460395574569702,0.38549426
django__django-15930,-1.6784846782684326,0.47996777
django__django-15957,4.277304172515869,0.91430104
django__django-15973,2.9255340099334717,0.7612431
django__django-15987,-2.305476427078247,0.6738585
django__django-16032,-0.6301552057266235,0.37965214
django__django-16082,-1.8540678024291992,0.6375092
django__django-16100,-0.25568240880966187,0.4521841
django__django-16116,-2.8111209869384766,0.6862169
django__django-16136,-1.6423161029815674,0.57524854
django__django-16139,-2.0496931076049805,0.6348926
django__django-16145,-1.7034919261932373,0.5668312
django__django-16255,-3.8542230129241943,0.80857164
django__django-16256,7.503624439239502,1.9971316
django__django-16263,7.540374279022217,2.0370786
django__django-16315,0.3045133054256439,0.44169277
django__django-16333,-1.7207610607147217,0.52982175
django__django-16429,-2.8955881595611572,0.6269763
django__django-16454,0.42945101857185364,0.43768907
django__django-16485,-3.3856310844421387,0.8120116
django__django-16493,-2.44539737701416,0.69659215
django__django-16502,7.467405319213867,1.9730777
django__django-16527,-4.206603050231934,1.0215602
django__django-16560,1.678046703338623,0.5060611
django__django-16569,-4.010137557983398,1.1084056
django__django-16595,-1.5235613584518433,0.35728228
django__django-16612,-2.377656936645508,0.7697786
django__django-16631,7.230080604553223,2.3048928
django__django-16642,0.18227118253707886,0.45405102
django__django-16661,-0.6328288316726685,0.44275516
django__django-16662,-2.713467836380005,0.5179429
django__django-16667,7.312183380126953,1.6910222
django__django-16801,-2.7366771697998047,0.7170923
django__django-16819,-2.3379628658294678,0.618254
django__django-16877,0.7434993386268616,0.6111833
django__django-16899,-1.395876407623291,0.48416102
django__django-16901,-1.5406532287597656,0.40510243
django__django-16938,1.0823110342025757,0.52750635
django__django-16950,2.907134771347046,0.56400454
django__django-17029,-4.941795349121094,1.1602207
django__django-17084,0.4494148790836334,0.5513637
django__django-17087,-1.7151967287063599,0.5911651
django__django-7530,-5.216148376464844,1.0624472
django__django-9296,-2.6589596271514893,0.7590788
matplotlib__matplotlib-13989,-3.975382089614868,0.7822229
matplotlib__matplotlib-14623,-1.532572865486145,0.4961861
matplotlib__matplotlib-20488,-0.8839508891105652,0.60713905
matplotlib__matplotlib-20676,2.3988044261932373,0.5855195
matplotlib__matplotlib-20826,0.5536755919456482,0.44127226
matplotlib__matplotlib-20859,-2.5845654010772705,0.6632207
matplotlib__matplotlib-21568,4.334888458251953,0.66535175
matplotlib__matplotlib-22719,-3.230335235595703,0.7016604
matplotlib__matplotlib-22865,-0.17943674325942993,0.5156972
matplotlib__matplotlib-22871,0.41320711374282837,0.43682393
matplotlib__matplotlib-23299,4.383005619049072,1.1472834
matplotlib__matplotlib-23314,-1.6578927040100098,0.49065238
matplotlib__matplotlib-23412,-2.741044759750366,0.7252064
matplotlib__matplotlib-23476,7.427186012268066,1.5595117
matplotlib__matplotlib-24026,-3.93473744392395,0.85923976
matplotlib__matplotlib-24149,-3.135279893875122,0.94230145
matplotlib__matplotlib-24177,2.048880100250244,0.48865557
matplotlib__matplotlib-24570,-1.2461857795715332,0.4633682
matplotlib__matplotlib-24627,-0.9486351013183594,0.45761424
matplotlib__matplotlib-24637,-2.4535040855407715,0.6280107
matplotlib__matplotlib-24870,7.1468119621276855,1.7105672
matplotlib__matplotlib-24970,-1.4384876489639282,0.6066719
matplotlib__matplotlib-25122,-2.6465046405792236,0.6379293
matplotlib__matplotlib-25287,-3.85540509223938,1.0124174
matplotlib__matplotlib-25311,-0.2643095850944519,0.48989573
matplotlib__matplotlib-25332,-0.22285154461860657,0.44960654
matplotlib__matplotlib-25479,7.039610385894775,2.4167995
matplotlib__matplotlib-25775,0.34241989254951477,0.4448466
matplotlib__matplotlib-25960,3.3661086559295654,0.76015717
matplotlib__matplotlib-26113,-3.8324153423309326,0.96780264
matplotlib__matplotlib-26208,7.622650623321533,2.6101217
matplotlib__matplotlib-26291,0.3329920172691345,0.3868878
matplotlib__matplotlib-26342,-2.82353138923645,0.869218
matplotlib__matplotlib-26466,7.461221694946289,2.1528738
mwaskom__seaborn-3069,1.6775052547454834,0.52747905
mwaskom__seaborn-3187,3.3825204372406006,0.963136
pallets__flask-5014,-1.7521473169326782,0.5475308
psf__requests-1142,-1.2871421575546265,0.5485443
psf__requests-1724,1.7788230180740356,0.4802366
psf__requests-1766,1.6904340982437134,0.36590737
psf__requests-1921,4.342263221740723,1.0474524
psf__requests-2317,1.6539088487625122,0.4435773
psf__requests-2931,1.1376900672912598,0.4389081
psf__requests-5414,0.24253539741039276,0.33083567
psf__requests-6028,4.2688374519348145,1.108109
pydata__xarray-2905,-1.0654449462890625,0.4275259
pydata__xarray-3095,-2.077406883239746,0.4897499
pydata__xarray-3151,-1.7120779752731323,0.48476136
pydata__xarray-3305,-1.1016277074813843,0.6637672
pydata__xarray-3677,-1.9519438743591309,0.63886523
pydata__xarray-3993,0.6998429894447327,0.5025969
pydata__xarray-4075,-4.998254776000977,0.776962
pydata__xarray-4094,-1.8502197265625,0.71569014
pydata__xarray-4356,-1.8330461978912354,0.68461037
pydata__xarray-4629,-4.029983043670654,0.86404186
pydata__xarray-4687,2.7236130237579346,0.7571902
pydata__xarray-4695,-2.318643093109131,0.6621584
pydata__xarray-4966,-1.854567289352417,0.7915006
pydata__xarray-6461,-0.2744523584842682,0.37688708
pydata__xarray-6599,1.052510142326355,0.5046248
pydata__xarray-6721,-0.6874805092811584,0.5521384
pydata__xarray-6744,-0.4092135429382324,0.41077387
pydata__xarray-6938,3.060573101043701,0.6241104
pydata__xarray-6992,7.530688285827637,1.5713648
pydata__xarray-7229,7.0878005027771,2.0289488
pydata__xarray-7233,-2.7531509399414062,0.7046833
pydata__xarray-7393,-1.264631986618042,0.6356505
pylint-dev__pylint-4551,7.597413063049316,1.9281718
pylint-dev__pylint-4604,7.336020469665527,1.7902019
pylint-dev__pylint-4661,7.371883392333984,1.8271992
pylint-dev__pylint-4970,2.9532721042633057,0.60444796
pylint-dev__pylint-6386,0.6229037642478943,0.40599182
pylint-dev__pylint-6528,7.514385223388672,1.562084
pylint-dev__pylint-6903,-3.2031476497650146,0.46415618
pylint-dev__pylint-7080,2.0513696670532227,0.61839163
pylint-dev__pylint-7277,7.3594489097595215,2.4696171
pylint-dev__pylint-8898,4.353638172149658,1.0573652
pytest-dev__pytest-10051,0.2494199424982071,0.43084177
pytest-dev__pytest-10081,-2.3384664058685303,0.57856166
pytest-dev__pytest-10356,7.321150302886963,2.4944313
pytest-dev__pytest-5262,-3.3587615489959717,0.8091724
pytest-dev__pytest-5631,-4.192112922668457,0.75167495
pytest-dev__pytest-5787,1.383019208908081,0.42785943
pytest-dev__pytest-5809,-2.195591688156128,0.6515833
pytest-dev__pytest-5840,7.364274501800537,1.7658927
pytest-dev__pytest-6197,2.513770818710327,0.526589
pytest-dev__pytest-6202,-3.9258816242218018,0.89023757
pytest-dev__pytest-7205,-0.2288987636566162,0.38980713
