,theta,theta_std
20250928_trae_doubao_seed_code,2.3465898036956787,0.11118409
20250902_atlassian-rovo-dev,2.184157133102417,0.17106837
20250804_epam-ai-run-claude-4-sonnet,2.1168863773345947,0.16208664
20251103_sonar-foundation-agent_claude-sonnet-4-5,2.070976972579956,0.08271515
20250901_warp,1.9640077352523804,0.1438708
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,1.9436010122299194,0.09651314
20250612_trae,1.922274112701416,0.12607846
20250915_JoyCode,1.8872911930084229,0.12402624
20250522_tools_claude-4-sonnet,1.8701684474945068,0.11069212
20250731_harness_ai,1.842897653579712,0.15192914
20251015_Prometheus_v1.2.1_gpt5,1.737093448638916,0.1510301
20251103_SalesforceAIResearch_SAGE_OpenHands,1.7169755697250366,0.1295665
20250603_Refact_Agent_claude-4-sonnet,1.7162259817123413,0.10007582
20250819_ACoder,1.7143741846084595,0.11892372
20250522_tools_claude-4-opus,1.6991063356399536,0.09330692
20251021_SalesforceAIResearch_SAGE_bash_only,1.6941474676132202,0.087251
20250807_openhands_gpt5,1.661300539970398,0.11374326
20250610_augment_agent_v1,1.5536445379257202,0.09465218
20250929_Prometheus_v1.2_gpt5,1.53532075881958,0.08797652
20250715_qodo_command,1.5258846282958984,0.087682106
20250710_bloop,1.4965975284576416,0.08227074
20250519_trae,1.47807776927948,0.10729815
20250623_warp,1.4697768688201904,0.08990366
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,1.4690645933151245,0.104459636
20250611_moatless_claude-4-sonnet-20250514,1.4361659288406372,0.106393695
20250519_devlo,1.4327467679977417,0.10978372
20251014_Lingxi_kimi_k2,1.412376046180725,0.12719752
20250524_openhands_claude_4_sonnet,1.3356564044952393,0.11684343
20250430_zencoder_ai,1.283626914024353,0.099563286
20250930_zai_glm4-6,1.2714439630508423,0.089098684
20250515_Refact_Agent,1.2636032104492188,0.12317562
20250522_sweagent_claude-4-sonnet-20250514,1.1656990051269531,0.079300106
20250516_cortexa_o3,1.1137796640396118,0.13677618
20250514_aime_coder,1.0885982513427734,0.0958159
20250415_openhands,1.0305157899856567,0.092343226
20250316_augment_agent_v0,1.0154145956039429,0.115018584
20250728_zai_glm4-5,0.984216034412384,0.11388937
