,a,b,a_std,b_std
astropy__astropy-12907,2.582538604736328,-0.471859872341156,0.40636346,0.09167069
astropy__astropy-13033,1.300873041152954,3.938108444213867,0.23556784,0.47814205
astropy__astropy-13236,0.8388081192970276,3.538839340209961,0.11340024,0.36151356
astropy__astropy-13398,2.1511616706848145,4.5487565994262695,0.35985774,0.54436946
astropy__astropy-13453,2.3873836994171143,0.19933287799358368,0.25533968,0.10015729
astropy__astropy-13579,2.3909854888916016,-0.6879869699478149,0.34904054,0.09019947
astropy__astropy-13977,2.1007721424102783,4.402581214904785,0.41627693,0.65565723
astropy__astropy-14096,1.5932341814041138,-0.656364917755127,0.19257829,0.13294347
astropy__astropy-14182,1.8767549991607666,2.614114761352539,0.356705,0.18999001
astropy__astropy-14309,1.5353435277938843,-2.8956472873687744,0.25065598,0.29964715
astropy__astropy-14365,1.7666300535202026,2.2895171642303467,0.24353589,0.22206382
astropy__astropy-14369,2.1775922775268555,1.5292658805847168,0.27807766,0.15012881
astropy__astropy-14508,2.3633663654327393,0.011420893482863903,0.3932375,0.11910604
astropy__astropy-14539,1.9326008558273315,-0.726348876953125,0.2702397,0.12339902
astropy__astropy-14598,1.3275641202926636,2.687877893447876,0.2011315,0.24231385
astropy__astropy-14995,2.095017194747925,-1.7221686840057373,0.27962628,0.16586506
astropy__astropy-7166,1.2382506132125854,-1.375945806503296,0.14182313,0.18578693
astropy__astropy-7336,1.2511337995529175,-2.6880388259887695,0.13598797,0.25661242
astropy__astropy-7606,0.5080428719520569,5.163147926330566,0.066843025,0.6503181
astropy__astropy-7671,0.8932346105575562,-2.2071053981781006,0.1324084,0.21066283
astropy__astropy-8707,0.7243764400482178,3.9599506855010986,0.08409061,0.47467119
astropy__astropy-8872,0.9577296376228333,3.678896188735962,0.16063704,0.39096186
django__django-10097,0.6816064119338989,1.3669123649597168,0.12483504,0.45206657
django__django-10554,2.016035556793213,4.563846111297607,0.43510902,0.7269037
django__django-10880,1.6194674968719482,-0.8359544277191162,0.23041448,0.12575918
django__django-10914,1.4313746690750122,-1.9560914039611816,0.20742038,0.18418214
