,theta,theta_std
20250928_trae_doubao_seed_code,3.2317652702331543,0.17857057
20250804_epam-ai-run-claude-4-sonnet,2.896672010421753,0.17575662
20250902_atlassian-rovo-dev,2.859435558319092,0.17863095
20250819_ACoder,2.8290534019470215,0.17237966
20250612_trae,2.6859500408172607,0.15627524
20250901_warp,2.6629772186279297,0.16861117
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,2.6321563720703125,0.16428514
20250731_harness_ai,2.6102988719940186,0.18320732
20250915_JoyCode,2.5600831508636475,0.16074863
20251103_sonar-foundation-agent_claude-sonnet-4-5,2.509765148162842,0.15969317
20251015_Prometheus_v1.2.1_gpt5,2.484281301498413,0.14914554
20251103_SalesforceAIResearch_SAGE_OpenHands,2.444899082183838,0.16020025
20250522_tools_claude-4-opus,2.4037997722625732,0.14935945
20250603_Refact_Agent_claude-4-sonnet,2.3771064281463623,0.15597838
20250522_tools_claude-4-sonnet,2.2602365016937256,0.15199858
20251021_SalesforceAIResearch_SAGE_bash_only,2.228929042816162,0.15122317
20250929_Prometheus_v1.2_gpt5,2.2036731243133545,0.17591177
20251014_Lingxi_kimi_k2,2.1711483001708984,0.15934253
20250715_qodo_command,2.1366710662841797,0.15067078
20250611_moatless_claude-4-sonnet-20250514,2.1360042095184326,0.15839097
20250710_bloop,2.1335971355438232,0.17386079
20250807_openhands_gpt5,2.1219615936279297,0.17026588
20250623_warp,2.027243137359619,0.14962412
20250519_devlo,2.0144219398498535,0.21163212
20250519_trae,2.0106208324432373,0.16659135
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,1.974644422531128,0.14821607
20250515_Refact_Agent,1.972502589225769,0.1715622
20250524_openhands_claude_4_sonnet,1.9537709951400757,0.17771271
20250430_zencoder_ai,1.940889835357666,0.14294814
20250610_augment_agent_v1,1.9205318689346313,0.16218701
20250516_cortexa_o3,1.7303463220596313,0.13856667
20250930_zai_glm4-6,1.7014389038085938,0.18284473
20250522_sweagent_claude-4-sonnet-20250514,1.5448241233825684,0.15600437
20250514_aime_coder,1.4982267618179321,0.1544781
20250415_openhands,1.483766794204712,0.1539656
20250316_augment_agent_v0,1.3932030200958252,0.1258447
20250716_openhands_kimi_k2,1.325331211090088,0.11881974
20250405_amazon-q-developer-agent-20250405-dev,1.3167158365249634,0.17868277
20250728_zai_glm4-5,1.3050938844680786,0.15127888
20250117_wandb_programmer_o1_crosscheck5,1.2876218557357788,0.13975722
20250206_agentscope,1.2672725915908813,0.133354
20250503_patchpilot-v1.1-o4-mini,1.2561230659484863,0.15416124
20250224_tools_claude-3-7-sonnet,1.2177321910858154,0.12718278
20250110_blackboxai_agent_v1.1,1.1444745063781738,0.14568281
20250228_epam-ai-run-claude-3-5-sonnet,1.1201554536819458,0.13911231
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,1.119633674621582,0.14983869
20250225_sweagent_claude-3-7-sonnet,1.1195164918899536,0.1323312
20250203_openhands_4x_scaled,0.8484758138656616,0.12135137
20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.8235304951667786,0.1376335
20250110_learn_by_interact_claude3.5,0.8201169371604919,0.13197401
20250629_deepswerl_r2eagent_tts,0.8051021695137024,0.15979466
20241213_devlo,0.6708675622940063,0.14872146
20241223_emergent,0.6143661141395569,0.14006715
