,b,b_std
astropy__astropy-12907,-0.643366813659668,0.21944466
astropy__astropy-13033,5.434284687042236,0.5955509
astropy__astropy-13236,3.560213088989258,0.3605364
astropy__astropy-13398,9.652111053466797,0.937509
astropy__astropy-13453,0.1778438687324524,0.23564233
astropy__astropy-13579,-1.3429051637649536,0.25409058
astropy__astropy-13977,9.063502311706543,1.9560602
astropy__astropy-14096,-1.0056509971618652,0.17801696
astropy__astropy-14182,4.338385581970215,0.37890112
astropy__astropy-14309,-4.48829460144043,0.45664036
astropy__astropy-14365,3.5559113025665283,0.33825225
astropy__astropy-14369,2.563674211502075,0.27747518
astropy__astropy-14508,-0.1426689773797989,0.21163058
astropy__astropy-14539,-1.2358566522598267,0.278193
astropy__astropy-14598,3.950819253921509,0.39383274
astropy__astropy-14995,-2.663785457611084,0.41462317
astropy__astropy-7166,-2.1199891567230225,0.30232894
astropy__astropy-7336,-3.5014350414276123,0.34458888
astropy__astropy-7606,4.125051975250244,0.42742884
astropy__astropy-7671,-2.472275733947754,0.26380548
astropy__astropy-8707,3.685620069503784,0.37959012
astropy__astropy-8872,3.516148567199707,0.363273
django__django-10097,1.1914538145065308,0.22726941
django__django-10554,9.36959171295166,0.9169456
django__django-10880,-1.4892358779907227,0.21711718
django__django-10914,-2.6662938594818115,0.27898034
django__django-10973,-1.9505815505981445,0.22390772
django__django-10999,10.016267776489258,0.98454064
django__django-11066,-4.735193729400635,0.6290048
django__django-11087,9.341202735900879,1.8415385
django__django-11095,-3.377786636352539,0.39958313
django__django-11099,-4.587777137756348,0.43519312
django__django-11119,-4.652073383331299,0.47082567
django__django-11133,-3.9861018657684326,0.4290917
django__django-11138,3.571471929550171,0.3374743
django__django-11141,2.5745046138763428,0.26591346
django__django-11149,1.6822893619537354,0.1902814
django__django-11163,-4.029712677001953,0.37898278
django__django-11179,-2.8002493381500244,0.33659804
django__django-11206,1.5056896209716797,0.21243803
django__django-11211,-0.994762122631073,0.27821016
django__django-11239,1.2806977033615112,0.19924039
django__django-11265,1.568993330001831,0.21397385
django__django-11276,-1.50675630569458,0.2684324
django__django-11292,-1.9852806329727173,0.25077692
django__django-11299,0.5354439616203308,0.23191911
django__django-11333,0.5623476505279541,0.2179274
django__django-11400,8.991762161254883,1.92329
django__django-11433,3.0401155948638916,0.35637373
django__django-11451,-2.064274311065674,0.29094246
django__django-11477,5.561357498168945,0.83247447
django__django-11490,1.069604516029358,0.18295664
django__django-11532,0.9340296387672424,0.2232224
django__django-11551,-3.2677998542785645,0.37002963
django__django-11555,0.994981586933136,0.23716927
django__django-11603,-4.093583106994629,0.54910666
django__django-11728,3.6081244945526123,0.40488854
django__django-11734,5.357105255126953,0.4627481
django__django-11740,-0.030570855364203453,0.2050206
django__django-11749,-1.0380407571792603,0.22075908
django__django-11790,2.07521390914917,0.23213242
django__django-11815,-0.6963411569595337,0.22472733
django__django-11820,6.0821852684021,0.99912554
django__django-11848,1.6304540634155273,0.21125966
django__django-11880,-4.1091766357421875,0.5151208
django__django-11885,3.9970200061798096,0.27662235
django__django-11951,-1.839260458946228,0.30222
django__django-11964,1.7857009172439575,0.18170202
django__django-11999,-2.1827895641326904,0.35671276
django__django-12039,-0.05201754719018936,0.2150141
django__django-12050,-2.758667230606079,0.32591608
django__django-12125,0.7127078175544739,0.21263936
django__django-12143,-4.471115589141846,0.4928903
django__django-12155,-5.180624961853027,0.6973775
django__django-12193,-0.14539045095443726,0.19592401
django__django-12209,-2.338068962097168,0.22698596
django__django-12262,-0.5367643237113953,0.17478378
django__django-12273,3.2305352687835693,0.2624704
django__django-12276,-2.5457046031951904,0.35102952
django__django-12304,-0.6629628539085388,0.19941746
django__django-12308,2.6019301414489746,0.26668102
django__django-12325,2.894822120666504,0.3360051
django__django-12406,9.233465194702148,1.817522
django__django-12419,-3.393096685409546,0.45175064
django__django-12663,0.7652949690818787,0.22689198
django__django-12708,-0.6696587204933167,0.22783437
django__django-12713,-2.3769590854644775,0.30676976
django__django-12741,-1.0094527006149292,0.27129778
django__django-12754,0.7069054245948792,0.25776148
django__django-12774,0.4757516384124756,0.16262189
django__django-12858,-0.9356687068939209,0.2739099
django__django-12965,1.2069076299667358,0.2442568
django__django-13012,-0.8057656288146973,0.28885162
django__django-13023,0.5513637065887451,0.21398313
django__django-13028,-1.5874953269958496,0.2829664
django__django-13033,-0.1010168269276619,0.21198621
django__django-13089,-4.1249189376831055,0.3832363
django__django-13109,-4.256730556488037,0.43531078
django__django-13112,1.0694236755371094,0.21282107
django__django-13121,0.5524898767471313,0.22659148
django__django-13128,0.9676441550254822,0.17404069
django__django-13158,0.009645001962780952,0.16609463
django__django-13195,6.331579208374023,0.98757446
django__django-13212,9.183999061584473,1.3937413
django__django-13279,-0.6021367907524109,0.20587231
django__django-13297,0.6776823997497559,0.277868
django__django-13315,-0.575042724609375,0.27332968
django__django-13343,-0.9488518834114075,0.19321078
django__django-13344,5.4880218505859375,0.68015295
django__django-13346,0.903417706489563,0.22763641
django__django-13363,-3.568311929702759,0.4079073
django__django-13401,-0.6328358054161072,0.2264365
django__django-13406,0.5118771195411682,0.22433804
django__django-13410,-3.749176502227783,0.36911207
django__django-13417,-2.0337917804718018,0.2326303
django__django-13449,-0.03152061253786087,0.2551703
django__django-13512,1.4729167222976685,0.18453765
django__django-13513,8.864641189575195,2.0640373
django__django-13516,-2.5002152919769287,0.31456882
django__django-13551,0.6971355676651001,0.19807978
django__django-13568,1.0569653511047363,0.17544672
django__django-13569,-1.333438754081726,0.21332696
django__django-13590,-1.1927595138549805,0.28685075
django__django-13658,-5.579525947570801,0.684453
django__django-13670,-3.27929949760437,0.3409254
django__django-13741,-4.028559684753418,0.3403286
django__django-13786,-2.8927628993988037,0.32306522
django__django-13794,4.112773418426514,0.36685014
django__django-13807,1.7537987232208252,0.26569334
django__django-13809,-1.8249423503875732,0.26862922
django__django-13810,-1.3760550022125244,0.31192186
django__django-13820,-3.3697707653045654,0.38093776
django__django-13821,-3.0301673412323,0.35357818
django__django-13837,-1.582295536994934,0.26106444
django__django-13925,0.9246965050697327,0.18792707
django__django-13933,-2.384218215942383,0.36173314
django__django-13964,0.007561446167528629,0.22734654
django__django-14007,-0.4826991558074951,0.17793906
django__django-14011,9.069086074829102,1.9702983
django__django-14017,-0.5357364416122437,0.24956809
django__django-14034,9.056464195251465,1.5525048
django__django-14053,-1.794725775718689,0.22554754
django__django-14089,-4.021726131439209,0.49131632
django__django-14122,-0.2048926204442978,0.22741565
django__django-14140,1.8755512237548828,0.25173753
django__django-14155,9.167972564697266,2.4518514
django__django-14170,5.442429542541504,0.59578454
django__django-14238,-2.213711977005005,0.29318362
django__django-14311,0.8154141902923584,0.25159082
django__django-14315,4.927659034729004,0.46378016
django__django-14349,-2.3599724769592285,0.34955123
django__django-14351,1.135002613067627,0.18814664
django__django-14373,-5.514251232147217,0.64710605
django__django-14376,2.4375412464141846,0.2884343
django__django-14404,1.8017150163650513,0.25200108
django__django-14434,-1.1902172565460205,0.25864524
django__django-14493,-2.0662198066711426,0.26891634
django__django-14500,-1.013273000717163,0.20379049
django__django-14534,4.172048091888428,0.3700475
django__django-14539,-1.6287596225738525,0.23201141
django__django-14559,-1.081217885017395,0.27874136
django__django-14580,0.3639003336429596,0.20409358
django__django-14608,-1.2714728116989136,0.26776218
django__django-14631,1.2487651109695435,0.25604996
django__django-14672,-3.069291830062866,0.29170167
django__django-14725,4.3859992027282715,0.40411174
django__django-14752,-4.1182637214660645,0.631633
django__django-14765,-3.8071956634521484,0.43171176
django__django-14771,0.4175472855567932,0.17843929
django__django-14787,-1.719438076019287,0.31465912
django__django-14792,6.087291240692139,0.8730614
django__django-14855,-4.578010559082031,0.5505028
django__django-14915,-3.743703842163086,0.42866725
django__django-14999,-0.4511759579181671,0.23375088
django__django-15022,-0.12186594307422638,0.23716186
django__django-15037,0.45885634422302246,0.19833973
django__django-15098,5.343100547790527,0.7193585
django__django-15103,-1.2871644496917725,0.28853178
django__django-15104,-5.016570091247559,0.5173159
django__django-15127,2.3158886432647705,0.24076977
django__django-15128,0.32714492082595825,0.200829
django__django-15161,0.32702019810676575,0.23931396
django__django-15252,6.413081645965576,0.9104186
django__django-15268,0.6506360769271851,0.24945435
django__django-15277,-3.9912362098693848,0.50094336
django__django-15278,-1.7698932886123657,0.2426498
django__django-15280,3.6316187381744385,0.32477987
django__django-15315,-2.859405517578125,0.33903837
django__django-15368,-3.7705249786376953,0.5695402
django__django-15375,0.7814408540725708,0.18579161
django__django-15380,-1.3652645349502563,0.19949219
django__django-15382,-0.6193421483039856,0.1906451
django__django-15467,-4.735293865203857,0.4949869
django__django-15499,-2.7281322479248047,0.3280097
django__django-15503,2.6849169731140137,0.3327482
django__django-15525,-0.21175143122673035,0.18468523
django__django-15554,2.581813097000122,0.26667374
django__django-15561,-1.5110743045806885,0.2885981
django__django-15563,3.0663983821868896,0.31863818
django__django-15569,-3.5338964462280273,0.43786648
django__django-15572,-1.670365571975708,0.23625232
django__django-15629,8.866287231445312,1.8214589
django__django-15695,3.8910109996795654,0.34043616
django__django-15731,-3.0254669189453125,0.30244038
django__django-15732,2.8237462043762207,0.33995026
django__django-15741,-2.485882520675659,0.25801703
django__django-15814,-1.3324005603790283,0.20013565
django__django-15851,-3.1077017784118652,0.24093947
django__django-15863,-1.8132494688034058,0.30677474
django__django-15916,1.9181591272354126,0.20753181
django__django-15930,-0.2732473313808441,0.23366998
django__django-15957,4.171696186065674,0.5183477
django__django-15973,4.533444404602051,0.48094797
django__django-15987,-0.7805398106575012,0.27466565
django__django-16032,0.08125819265842438,0.20910762
django__django-16082,-0.6592019200325012,0.18965569
django__django-16100,-1.1508963108062744,0.26154208
django__django-16116,-1.8312256336212158,0.24605033
django__django-16136,-1.294975757598877,0.2209231
django__django-16139,-4.239741325378418,0.52850103
django__django-16145,-2.5305144786834717,0.3361562
django__django-16255,-4.997214317321777,0.6939867
django__django-16256,5.017797470092773,0.4227052
django__django-16263,9.082968711853027,1.781246
django__django-16315,1.1986883878707886,0.16047737
django__django-16333,-3.655522346496582,0.48802057
django__django-16429,-4.009185791015625,0.55866563
django__django-16454,2.0165958404541016,0.23664652
django__django-16485,-3.2141573429107666,0.306706
django__django-16493,-2.66756010055542,0.281074
django__django-16502,9.537070274353027,1.4641951
django__django-16527,-4.861059188842773,0.51754385
django__django-16560,1.7855548858642578,0.25844944
django__django-16569,-5.234011650085449,0.56676775
django__django-16595,-3.560840606689453,0.36291656
django__django-16612,-2.449681520462036,0.3072676
django__django-16631,9.266461372375488,1.9268293
django__django-16642,-0.13924148678779602,0.22881009
django__django-16661,0.10108664631843567,0.2585766
django__django-16662,-2.32536244392395,0.3700436
django__django-16667,8.815122604370117,1.8671979
django__django-16801,-3.8521006107330322,0.45437437
django__django-16819,-1.7309672832489014,0.22606263
django__django-16877,0.6237168908119202,0.15901656
django__django-16899,-1.6818166971206665,0.26997605
django__django-16901,-1.228187918663025,0.2201953
django__django-16938,2.48006010055542,0.28224254
django__django-16950,2.854862689971924,0.3304136
django__django-17029,-3.995476722717285,0.33376443
django__django-17084,1.2234193086624146,0.25782868
django__django-17087,-0.8854770660400391,0.23560786
django__django-7530,-2.2272486686706543,0.34503487
django__django-9296,-4.439264297485352,0.4695234
matplotlib__matplotlib-13989,-1.6442511081695557,0.2523508
matplotlib__matplotlib-14623,0.6629374027252197,0.26765397
matplotlib__matplotlib-20488,2.0069503784179688,0.24868864
matplotlib__matplotlib-20676,2.5810563564300537,0.2579386
matplotlib__matplotlib-20826,1.5923185348510742,0.22805497
matplotlib__matplotlib-20859,-1.12591552734375,0.28430668
matplotlib__matplotlib-21568,6.438940525054932,0.9890386
matplotlib__matplotlib-22719,-3.624213218688965,0.45048973
matplotlib__matplotlib-22865,1.032010793685913,0.2129955
matplotlib__matplotlib-22871,1.1751635074615479,0.26206154
matplotlib__matplotlib-23299,4.177661418914795,0.535398
matplotlib__matplotlib-23314,-1.3814045190811157,0.23257071
matplotlib__matplotlib-23412,-1.7481764554977417,0.27272433
matplotlib__matplotlib-23476,5.57689905166626,0.6466913
matplotlib__matplotlib-24026,-1.6374403238296509,0.25919822
matplotlib__matplotlib-24149,-1.532880425453186,0.2493338
matplotlib__matplotlib-24177,3.7604005336761475,0.31759816
matplotlib__matplotlib-24570,-0.8683740496635437,0.23058416
matplotlib__matplotlib-24627,-0.005903888493776321,0.1960698
matplotlib__matplotlib-24637,-0.40276750922203064,0.2114256
matplotlib__matplotlib-24870,6.4331159591674805,1.0260053
matplotlib__matplotlib-24970,-2.11686110496521,0.25871757
matplotlib__matplotlib-25122,-2.5623786449432373,0.36206523
matplotlib__matplotlib-25287,-2.136747360229492,0.27727827
matplotlib__matplotlib-25311,0.5172199010848999,0.20160918
matplotlib__matplotlib-25332,0.30894044041633606,0.2806681
matplotlib__matplotlib-25479,8.659342765808105,1.6541554
matplotlib__matplotlib-25775,0.6398427486419678,0.2488442
matplotlib__matplotlib-25960,3.8983054161071777,0.37883556
matplotlib__matplotlib-26113,-2.530353546142578,0.29419273
matplotlib__matplotlib-26208,5.543785095214844,0.70996445
matplotlib__matplotlib-26291,0.2830260396003723,0.2394479
matplotlib__matplotlib-26342,-1.6728694438934326,0.28440994
matplotlib__matplotlib-26466,9.028097152709961,1.5038679
mwaskom__seaborn-3069,1.4087613821029663,0.23137449
mwaskom__seaborn-3187,4.240457057952881,0.40650922
pallets__flask-5014,-3.582219123840332,0.42236897
psf__requests-1142,0.2028747797012329,0.20489934
psf__requests-1724,-0.5785300731658936,0.22229296
psf__requests-1766,-1.2071985006332397,0.2309952
psf__requests-1921,-0.2974871098995209,0.262871
psf__requests-2317,-0.6604093313217163,0.2442351
psf__requests-2931,1.3497320413589478,0.2309611
psf__requests-5414,0.11917999386787415,0.24595188
psf__requests-6028,5.115087509155273,0.5003567
pydata__xarray-2905,-0.1642608344554901,0.22501665
pydata__xarray-3095,-0.11540324240922928,0.22126351
pydata__xarray-3151,-1.5641279220581055,0.24269865
pydata__xarray-3305,-1.4417235851287842,0.28505805
