,b,b_std
gso::abetlen__llama-cpp-python-218d361,5.86914,2.0914128
gso::abetlen__llama-cpp-python-2bc1d97,5.7388678,2.1997042
gso::huggingface__datasets-5994036,6.1156154,2.2224996
gso::huggingface__datasets-c5464b3,5.8440213,2.2680826
gso::huggingface__datasets-ef3b5dd,1.6219002,0.7160844
gso::huggingface__tokenizers-076319d,2.1064897,0.8985848
gso::huggingface__tokenizers-bfd9cde,5.9992614,2.0617785
gso::huggingface__tokenizers-c893204,0.62529695,0.57504964
gso::huggingface__tokenizers-fc76ad4,5.8878913,2.188253
gso::huggingface__transformers-211f93a,6.030082,2.1201978
gso::huggingface__transformers-253f9a3,5.867894,2.1183817
gso::huggingface__transformers-63b90a5,1.5154446,0.81149626
gso::huggingface__transformers-d51b589,5.8990135,2.3030562
gso::numpy__numpy-09db9c7,3.2843988,1.1328804
gso::numpy__numpy-11a7e2d,3.0407224,1.0820453
gso::numpy__numpy-19bfa3f,6.0069294,2.1981523
gso::numpy__numpy-1b861a2,3.0919025,1.2156
gso::numpy__numpy-1fcda82,5.702867,2.2919326
gso::numpy__numpy-22ab9aa,6.079907,2.1135247
gso::numpy__numpy-248c60e,1.0608411,0.71693444
gso::numpy__numpy-2540554,3.0829468,1.0173316
gso::numpy__numpy-28706af,2.120652,0.97070515
gso::numpy__numpy-2dfd21e,6.0140667,2.2175577
gso::numpy__numpy-330057f,5.824564,2.0712674
gso::numpy__numpy-382b3ff,5.9927726,2.0189574
gso::numpy__numpy-567b57d,5.9487143,2.0904858
gso::numpy__numpy-5f94eb8,5.8938036,2.2716284
gso::numpy__numpy-68eead8,0.7394969,0.626129
gso::numpy__numpy-728fedc,5.809191,2.3231483
gso::numpy__numpy-780799b,5.894188,2.054477
gso::numpy__numpy-7853cbc,0.28440934,0.64347315
gso::numpy__numpy-794f474,5.8200216,2.149797
gso::numpy__numpy-7ff7ec7,1.0988334,0.60379493
gso::numpy__numpy-83c780d,5.9946184,2.426826
gso::numpy__numpy-893db31,5.873984,2.401082
gso::numpy__numpy-8dd6761,5.841213,2.2203996
gso::numpy__numpy-905d37e,5.794431,2.3594103
gso::numpy__numpy-ac5c664,5.846321,2.2334263
gso::numpy__numpy-b862e4f,2.2320192,0.86399883
gso::numpy__numpy-ba89ef9,5.7346826,2.2192
gso::numpy__numpy-be52f19,2.1834533,0.82643473
gso::numpy__numpy-cb0d7cd,5.9567094,2.3259473
gso::numpy__numpy-cb461ba,3.0214093,1.1994478
gso::numpy__numpy-cedba62,2.2028315,0.90895104
gso::numpy__numpy-e801e7a,2.1981852,0.80051565
gso::numpy__numpy-eb21b25,5.936652,2.1046126
gso::numpy__numpy-ec52363,2.2812743,0.8227558
gso::numpy__numpy-ee75c87,3.3711522,0.9850479
gso::numpy__numpy-ef5e545,3.0688221,1.2076763
gso::pandas-dev__pandas-061c2e9,5.9407763,1.9743806
gso::pandas-dev__pandas-191557d,2.1626947,0.8447814
gso::pandas-dev__pandas-1c2ad16,3.1084096,1.1214578
gso::pandas-dev__pandas-2278923,1.0213373,0.6838132
gso::pandas-dev__pandas-233bd83,5.955555,2.2902026
gso::pandas-dev__pandas-235113e,3.1577625,1.1369854
gso::pandas-dev__pandas-2421931,0.7035399,0.63122547
gso::pandas-dev__pandas-2a08b05,5.9790087,2.2575243
gso::pandas-dev__pandas-2cdca01,5.89466,2.0777767
gso::pandas-dev__pandas-2f4c93e,1.1239026,0.6293794
gso::pandas-dev__pandas-37e9e06,-0.6825069,0.6954829
gso::pandas-dev__pandas-438b957,1.910745,0.9141648
gso::pandas-dev__pandas-45f0705,3.027129,1.1172913
gso::pandas-dev__pandas-5d82d8b,1.1022896,0.6803942
gso::pandas-dev__pandas-609c3b7,1.6129507,0.75439364
gso::pandas-dev__pandas-65bca65,1.4393061,0.7555472
gso::pandas-dev__pandas-71c94af,3.172854,1.0304897
gso::pandas-dev__pandas-81b5f1d,5.8225584,2.3109484
