,theta,theta_std
Claude 4.5 Opus,1.6064804,0.28867874
GPT-5.2,1.5616438,0.27346084
gemini-3-pro-preview,0.80085945,0.2718476
claude-sonnet-4-5,0.5630929,0.3319816
GPT-5.1,0.45346576,0.33296996
gemini-3-flash-preview,-0.019595087,0.33752596
o3,-0.08121132,0.34951994
Claude 4 Opus,-0.30627292,0.41245577
GPT-5,-0.41193038,0.36811832
Qwen3-Coder-480B-A35B-Instruct-FP8,-0.652163,0.37672308
Kimi K2,-0.69306695,0.4514333
Claude 4 Sonnet,-0.84117323,0.45338002
Gemini 2.5 Pro Preview,-0.85419255,0.3989916
GLM-4.5,-1.1259369,0.45273635
