,b,b_std
pro::NodeBB__NodeBB-00c70ce7b0541cfc94afe567921d7668cdc8f4ac,4.822086,1.6214578
pro::NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5,2.7764108,0.9974422
pro::NodeBB__NodeBB-05f2236193f407cf8e2072757fbd6bb170bc13f0,0.7467452,0.59646785
pro::NodeBB__NodeBB-087e6020e490b4a1759f38c1ad03869511928263,4.840631,1.7560495
pro::NodeBB__NodeBB-0c81642997ea1d827dbd02c311db9d4976112cd4,1.1007651,0.63998824
pro::NodeBB__NodeBB-0e07f3c9bace416cbab078a30eae972868c0a8a3,2.8467686,1.1166226
pro::NodeBB__NodeBB-0f788b8eaa4bba3c142d171fd941d015c53b65fc,3.0080113,0.944574
pro::NodeBB__NodeBB-18c45b44613aecd53e9f60457b9812049ab2998d,4.7795625,1.6454898
pro::NodeBB__NodeBB-1ea9481af6125ffd6da0592ed439aa62af0bca11,2.0553,0.7807716
pro::NodeBB__NodeBB-22368b996ee0e5f11a5189b400b33af3cc8d925a,-0.01268678,0.56008404
pro::NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f,2.8802896,0.93069476
pro::NodeBB__NodeBB-397835a05a8e2897324e566b41c5e616e172b4af,-0.4570564,0.6625128
pro::NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15,0.2982873,0.605534
pro::NodeBB__NodeBB-4327a09d76f10a79109da9d91c22120428d3bdb9,-2.1011283,0.85923547
pro::NodeBB__NodeBB-445b70deda20201b7d9a68f7224da751b3db728c,4.775121,1.7168356
pro::NodeBB__NodeBB-51d8f3b195bddb13a13ddc0de110722774d9bb1b,1.5182209,0.6598641
pro::NodeBB__NodeBB-6489e9fd9ed16ea743cc5627f4d86c72fbdb3a8a,1.0387163,0.73233455
pro::NodeBB__NodeBB-6ea3b51f128dd270281db576a1b59270d5e45db0,-0.023969894,0.62993217
pro::NodeBB__NodeBB-70b4a0e2aebebe8f2f559de6680093d96a697b2f,-0.39518744,0.5525306
pro::NodeBB__NodeBB-767973717be700f46f06f3e7f4fc550c63509046,1.0114065,0.7020444
pro::NodeBB__NodeBB-76c6e30282906ac664f2c9278fc90999b27b1f48,-0.40717795,0.58135074
pro::NodeBB__NodeBB-7b8bffd763e2155cf88f3ebc258fa68ebe18188d,0.24582697,0.6952047
pro::NodeBB__NodeBB-8168c6c40707478f71b8af60300830fe554c778c,4.9624734,1.7149905
pro::NodeBB__NodeBB-82562bec444940608052f3e4149e0c61ec80bf3f,0.25025153,0.53761923
pro::NodeBB__NodeBB-84dfda59e6a0e8a77240f939a7cb8757e6eaf945,4.940737,1.5478212
pro::NodeBB__NodeBB-84e065752f6d7fbe5c08cbf50cb173ffb866b8fa,1.0334328,0.6036496
pro::NodeBB__NodeBB-8ca65b0c78c67c1653487c02d1135e1b702185e1,1.4240941,0.69700456
pro::NodeBB__NodeBB-97c8569a798075c50e93e585ac741ab55cb7c28b,2.1240628,0.8021377
pro::NodeBB__NodeBB-9c576a0758690f45a6ca03b5884c601e473bf2c1,4.793588,1.8145664
pro::NodeBB__NodeBB-a5afad27e52fd336163063ba40dcadc80233ae10,2.9211974,0.94062036
pro::NodeBB__NodeBB-a917210c5b2c20637094545401f85783905c074c,4.8214054,1.8559645
pro::NodeBB__NodeBB-b1f9ad5534bb3a44dab5364f659876a4b7fe34c1,-1.0971347,0.65663326
pro::NodeBB__NodeBB-b398321a5eb913666f903a794219833926881a8f,1.05132,0.5921404
pro::NodeBB__NodeBB-bad15643013ca15affe408b75eba9e47cc604bb2,0.58103114,0.6287547
pro::NodeBB__NodeBB-bd80d36e0dcf78cd4360791a82966078b3a07712,-0.116979145,0.6108461
pro::NodeBB__NodeBB-be43cd25974681c9743d424238b7536c357dc8d3,4.8364096,1.713892
pro::NodeBB__NodeBB-cfc237c2b79d8c731bbfc6cadf977ed530bfd57a,1.0008678,0.6560902
pro::NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575,0.71791553,0.6139915
pro::NodeBB__NodeBB-eb49a64974ca844bca061744fb3383f5d13b02ad,1.5589212,0.73593575
pro::NodeBB__NodeBB-f083cd559d69c16481376868c8da65172729c0ca,-0.4538678,0.573882
pro::NodeBB__NodeBB-f1a80d48cc45877fcbadf34c2345dd9709722c7f,4.8221617,1.734139
pro::NodeBB__NodeBB-f2082d7de85eb62a70819f4f3396dd85626a0c0a,4.896365,1.8059804
pro::NodeBB__NodeBB-f48ed3658aab7be0f1165d4c1f89af48d7865189,2.0073607,0.88857627
pro::NodeBB__NodeBB-f9ce92df988db7c1ae55d9ef96d247d27478bc70,-0.7354496,0.6740294
pro::ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8,-3.0890937,1.0111029
pro::ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166,0.595876,0.5438767
pro::ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78,0.7335087,0.5954859
pro::ansible__ansible-11c1777d56664b1acb56b387a1ad6aeadef1391d,5.1602097,1.5652264
pro::ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955,-3.1026852,1.1574153
pro::ansible__ansible-164881d871964aa64e0f911d03ae270acbad253c,-0.37659642,0.5605331
pro::ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe,-0.04634223,0.6090096
pro::ansible__ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83,-0.055471964,0.60941994
pro::ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3,-1.7091156,0.7356712
pro::ansible__ansible-1b70260d5aa2f6c9782fd2b848e8d16566e50d85,1.5141511,0.71701777
pro::ansible__ansible-1bd7dcf339dd8b6c50bc16670be2448a206f4fdb,4.9410014,1.7920994
pro::ansible__ansible-1c06c46cc14324df35ac4f39a45fb3ccd602195d,4.8686557,1.7608781
pro::ansible__ansible-1ee70fc272aff6bf3415357c6e13c5de5b928d9b,-2.20139,0.8341964
pro::ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b,0.6798408,0.611191
pro::ansible__ansible-34db57a47f875d11c4068567b9ec7ace174ec4cf,0.679925,0.58108145
pro::ansible__ansible-379058e10f3dbc0fdcaf80394bd09b18927e7d33,-1.1172887,0.7476947
pro::ansible__ansible-3889ddeb4b780ab4bac9ca2e75f8c1991bcabe83,4.5986805,1.926444
pro::ansible__ansible-395e5e20fab9cad517243372fa3c3c5d9e09ab2a,-0.81061065,0.641028
pro::ansible__ansible-39bd8b99ec8c6624207bf3556ac7f9626dad9173,2.0600514,0.8284549
pro::ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1,-1.6041007,0.7318736
pro::ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b,-0.1747453,0.62033045
pro::ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34,4.9238353,1.621581
pro::ansible__ansible-415e08c2970757472314e515cb63a51ad825c45e,-1.2304666,0.68207115
pro::ansible__ansible-42355d181a11b51ebfc56f6f4b3d9c74e01cb13b,0.35662687,0.5658529
pro::ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1,-0.41206965,0.61625284
pro::ansible__ansible-4c5ce5a1a9e79a845aff4978cfeb72a0d4ecf7d6,4.9978733,1.7558793
pro::ansible__ansible-502270c804c33d3bc963930dc85e0f4ca359674d,0.29816616,0.54563606
pro::ansible__ansible-5260527c4a71bfed99d803e687dd19619423b134,0.67364645,0.59156287
pro::ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c,1.5830152,0.64191365
pro::ansible__ansible-5c225dc0f5bfa677addeac100a8018df3f3a9db1,-3.0977404,1.0839334
pro::ansible__ansible-5d253a13807e884b7ce0b6b57a963a45e2f0322c,-0.061908916,0.59481275
pro::ansible__ansible-5e369604e1930b1a2e071fecd7ec5276ebd12cb1,1.1600598,0.62059003
pro::ansible__ansible-5e88cd9972f10b66dd97e1ee684c910c6a2dd25e,2.0726182,0.7792701
pro::ansible__ansible-5f4e332e3762999d94af27746db29ff1729252c1,-2.9786565,1.2556204
pro::ansible__ansible-622a493ae03bd5e5cf517d336fc426e9d12208c7,1.0480826,0.6288495
pro::ansible__ansible-6cc97447aac5816745278f3735af128afb255c81,2.8790922,0.9687223
pro::ansible__ansible-709484969c8a4ffd74b839a673431a8c5caa6457,2.1193519,0.8467886
pro::ansible__ansible-748f534312f2073a25a87871f5bd05882891b8c4,-2.238638,0.7774613
pro::ansible__ansible-77658704217d5f166404fc67997203c25381cb6e,0.35956955,0.6801488
pro::ansible__ansible-7e1a347695c7987ae56ef1b6919156d9254010ad,4.9229026,1.7353399
pro::ansible__ansible-811093f0225caa4dd33890933150a81c6a6d5226,0.3123194,0.5943834
pro::ansible__ansible-8127abbc298cabf04aaa89a478fc5e5e3432a6fc,2.8040648,1.0812986
pro::ansible__ansible-83909bfa22573777e3db5688773bda59721962ad,4.941039,1.8068073
pro::ansible__ansible-83fb24b923064d3576d473747ebbe62e4535c9e3,4.7587667,1.5918629
pro::ansible__ansible-9142be2f6cabbe6597c9254c5bb9186d17036d55,2.0699034,0.78182006
pro::ansible__ansible-935528e22e5283ee3f63a8772830d3d01f55ed8c,4.7516003,1.6623596
pro::ansible__ansible-942424e10b2095a173dbd78e7128f52f7995849b,2.931743,1.0501393
pro::ansible__ansible-949c503f2ef4b2c5d668af0492a5c0db1ab86140,4.794813,1.8277289
pro::ansible__ansible-9759e0ca494de1fd5fc2df2c5d11c57adbe6007c,0.00773372,0.63910264
pro::ansible__ansible-984216f52e76b904e5b0fa0fb956ab4f1e0a7751,1.5404311,0.68456864
pro::ansible__ansible-9a21e247786ebd294dafafca1105fcd770ff46c6,2.0647027,0.7866199
pro::ansible__ansible-a02e22e902a69aeb465f16bf03f7f5a91b2cb828,0.74442786,0.6329658
pro::ansible__ansible-a1569ea4ca6af5480cf0b7b3135f5e12add28a44,2.8937612,1.1030011
pro::ansible__ansible-a20a52701402a12f91396549df04ac55809f68e9,-1.1555369,0.6813628
pro::ansible__ansible-a26c325bd8f6e2822d9d7e62f77a424c1db4fbf6,0.004215164,0.6082664
pro::ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05,-2.1637976,0.7908037
pro::ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6,-0.8340121,0.5869535
pro::ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89,-0.5159824,0.63832206
pro::ansible__ansible-b5e0293645570f3f404ad1dbbe5f006956ada0df,1.5015787,0.68903846
pro::ansible__ansible-b6290e1d156af608bd79118d209a64a051c55001,4.860864,1.6771585
pro::ansible__ansible-b748edea457a4576847a10275678127895d2f02f,5.020334,1.7680415
pro::ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d,1.4955283,0.64483356
pro::ansible__ansible-be2c376ab87e3e872ca21697508f12c6909cf85a,0.26393488,0.5752449
pro::ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260,-0.010437319,0.5707131
pro::ansible__ansible-bec27fb4c0a40c5f8bbcf26a475704227d65ee73,4.8967586,1.7349443
pro::ansible__ansible-bf98f031f3f5af31a2d78dc2f0a58fe92ebae0bb,2.9438949,1.0669576
pro::ansible__ansible-c1f2df47538b884a43320f53e787197793b105e8,4.9411397,1.7663081
pro::ansible__ansible-c616e54a6e23fa5616a1d56d243f69576164ef9b,4.906571,1.7652675
pro::ansible__ansible-cb94c0cc550df9e98f1247bc71d8c2b861c75049,-0.017375322,0.5234128
pro::ansible__ansible-cd473dfb2fdbc97acf3293c134b21cbbcfa89ec3,4.798259,1.7125448
pro::ansible__ansible-cd9c4eb5a6b2bfaf4a6709f001ce3d0c92c1eed2,1.5476062,0.6850503
pro::ansible__ansible-d2f80991180337e2be23d6883064a67dcbaeb662,2.9380872,1.1920714
pro::ansible__ansible-d30fc6c0b359f631130b0e979d9a78a7b3747d48,1.4749159,0.71715397
pro::ansible__ansible-d33bedc48fdd933b5abd65a77c081876298e2f07,4.9132743,1.7507342
pro::ansible__ansible-d58e69c82d7edd0583dd8e78d76b075c33c3151e,4.7654266,1.7536758
pro::ansible__ansible-d62496fe416623e88b90139dc7917080cb04ce70,0.97590286,0.6196206
pro::ansible__ansible-d6d2251929c84c3aa883bad7db0f19cc9ff0339e,1.5327805,0.65122753
pro::ansible__ansible-d72025be751c894673ba85caa063d835a0ad3a8c,4.9036007,1.6604984
pro::ansible__ansible-d9f1866249756efc264b00ff7497e92c11a9885f,-1.6116142,0.78507054
pro::ansible__ansible-de01db08d00c8d2438e1ba5989c313ba16a145b0,0.0158563,0.6239041
pro::ansible__ansible-de5858f48dc9e1ce9117034e0d7e76806f420ca8,4.7802973,1.7884203
pro::ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961,0.7158828,0.7024858
pro::ansible__ansible-e0c91af45fa9af575d10fd3e724ebc59d2b2d6ac,-2.2718942,0.778161
pro::ansible__ansible-e22e103cdf8edc56ff7d9b848a58f94f1471a263,-0.40718386,0.5682718
pro::ansible__ansible-e40889e7112ae00a21a2c74312b330e67a766cc0,4.922077,1.7913305
pro::ansible__ansible-e64c6c1ca50d7d26a8e7747d8eb87642e767cd74,4.7836175,1.9804223
pro::ansible__ansible-e9e6001263f51103e96e58ad382660df0f3d0e39,-0.7742164,0.5959
pro::ansible__ansible-ea04e0048dbb3b63f876aad7020e1de8eee9f362,-0.44177467,0.6363619
