,theta,theta_std
GPT-5.2,2.3274486,0.21274671
gemini-3-flash-preview,2.0262284,0.27494833
gemini-3-pro-preview,1.8502696,0.15104155
Claude 4.5 Opus,1.7235106,0.16450828
GPT-5.1 Codex Max,1.5223061,0.3118556
GPT-5.1 Codex,1.3914839,0.20711766
GPT-5.1,0.9499639,0.29283306
GPT-5,0.65902334,0.18676402
GPT-5 Codex,0.5747232,0.18146193
claude-sonnet-4-5,0.47811398,0.14257318
GPT-5.1 Codex Mini,0.30252355,0.2887137
Claude Opus 4.1,0.18906954,0.17859928
kimi-k2-thinking,0.1440299,0.28705683
minimax-m2_1,0.008490576,0.21400587
minimax-m2,-0.26482347,0.30335885
grok-4-0709,-0.3364691,0.19270934
Gemini 2.5 Pro Preview,-0.38847443,0.1461306
Claude 4.5 Haiku,-0.49234784,0.15522513
glm4-6,-0.5140658,0.29873237
Qwen3-Coder-480B-A35B-Instruct-FP8,-0.6415762,0.18722908
kimi-k2-instruct-0905,-0.66506577,0.22688392
GPT-5-mini,-0.68068725,0.1378664
grok-code-fast-1,-1.0237055,0.21216153
gemini-2_5-flash,-1.3899676,0.16031499
GPT OSS 120B,-1.5079199,0.23837379
GPT-5-nano,-2.6373901,0.20183513
GPT OSS 20B,-3.6046925,0.27825966
