,theta,theta_std
ante,0.5677426,0.26498932
codex,0.44291386,0.11852673
spoox-m,0.36084434,0.21018027
junie,0.29294038,0.26202124
factory_droid,0.2681341,0.18151756
ii-agent-simple,0.21795271,0.23893027
letta-code,0.09121615,0.18217495
goose,0.05513978,0.16296336
terminalbenchagent,0.00016495958,0.27015233
terminus-2,-0.16344424,0.07266597
OpenHands,-0.18234172,0.09706078
claude-code,-0.18314458,0.12751701
aone-agent,-0.19886662,0.24606714
mini-swe-agent,-0.28444096,0.08807382
gemini-cli,-0.436483,0.15078083
final,-0.8483277,0.25724632
