,b,b_std
verified::astropy__astropy-12907,-0.51386815,0.26857376
verified::astropy__astropy-13033,4.6548104,0.67416084
verified::astropy__astropy-13236,3.2790473,0.39512992
verified::astropy__astropy-13398,6.6511073,1.3349531
verified::astropy__astropy-13453,0.45611298,0.2766413
verified::astropy__astropy-13579,-0.6923626,0.3081675
verified::astropy__astropy-13977,6.7620497,1.2235671
verified::astropy__astropy-14096,-0.38890234,0.26118246
verified::astropy__astropy-14182,4.0134587,0.51054686
verified::astropy__astropy-14309,-4.1595106,0.5214514
verified::astropy__astropy-14365,4.3533416,0.5386918
verified::astropy__astropy-14369,3.1539128,0.4535335
verified::astropy__astropy-14508,-0.15928394,0.28665426
verified::astropy__astropy-14539,-0.90730625,0.31170642
verified::astropy__astropy-14598,3.7409527,0.4827141
verified::astropy__astropy-14995,-2.123563,0.33279356
verified::astropy__astropy-7166,-1.6811645,0.3704488
verified::astropy__astropy-7336,-3.1784956,0.47522113
verified::astropy__astropy-7606,4.3574514,0.5382848
verified::astropy__astropy-7671,-2.406502,0.4040715
verified::astropy__astropy-8707,4.7556057,0.64047694
verified::astropy__astropy-8872,4.7065325,0.79719037
verified::django__django-10097,1.5787573,0.29918274
verified::django__django-10554,6.6143837,1.2255772
verified::django__django-10880,-1.0770065,0.27582642
verified::django__django-10914,-2.5710886,0.36561337
verified::django__django-10973,-1.5788308,0.3311084
verified::django__django-10999,6.76818,1.319701
verified::django__django-11066,-4.560342,0.59820914
verified::django__django-11087,6.67039,1.2217054
verified::django__django-11095,-2.8730285,0.4375899
verified::django__django-11099,-3.8364797,0.52560925
verified::django__django-11119,-4.1949954,0.50753224
verified::django__django-11133,-4.2679753,0.5565686
verified::django__django-11138,3.7146142,0.4949458
verified::django__django-11141,3.2086596,0.40968817
verified::django__django-11149,2.0388572,0.3259845
verified::django__django-11163,-3.5976245,0.4964866
verified::django__django-11179,-2.3481839,0.4015422
verified::django__django-11206,1.3548207,0.28205928
verified::django__django-11211,-0.16123,0.27285182
verified::django__django-11239,1.3571459,0.30487618
verified::django__django-11265,1.467805,0.33689716
verified::django__django-11276,-1.7361999,0.36253434
verified::django__django-11292,-1.4296241,0.30647916
verified::django__django-11299,0.46995047,0.2473784
verified::django__django-11333,0.62482667,0.26899847
verified::django__django-11400,6.9169264,1.1934215
verified::django__django-11433,3.3724396,0.46938458
verified::django__django-11451,-1.4453366,0.29465804
verified::django__django-11477,5.381281,0.8744753
verified::django__django-11490,1.4497193,0.30162305
verified::django__django-11532,0.59493697,0.29274887
verified::django__django-11551,-2.825623,0.43402258
verified::django__django-11555,1.2349732,0.30796897
verified::django__django-11603,-3.4148383,0.47321048
verified::django__django-11728,3.5894942,0.45359302
verified::django__django-11734,5.423078,0.83267874
verified::django__django-11740,0.0017598415,0.2640405
verified::django__django-11749,-0.70199853,0.3297072
verified::django__django-11790,1.9499593,0.3527417
verified::django__django-11815,-0.38193262,0.29430467
verified::django__django-11820,5.381023,0.8947738
verified::django__django-11848,1.7076899,0.31301385
verified::django__django-11880,-3.770788,0.5136197
verified::django__django-11885,3.3958921,0.39760253
verified::django__django-11951,-1.9117378,0.3549158
verified::django__django-11964,1.6453438,0.28433147
verified::django__django-11999,-1.9022086,0.3489306
verified::django__django-12039,0.09565356,0.27225488
verified::django__django-12050,-2.2417493,0.32999036
verified::django__django-12125,0.8243525,0.27260923
verified::django__django-12143,-3.5860918,0.46573186
verified::django__django-12155,-4.526534,0.6259912
verified::django__django-12193,0.11217144,0.2785032
verified::django__django-12209,-1.5905886,0.31459957
verified::django__django-12262,-0.4257569,0.26965243
verified::django__django-12273,3.38595,0.5202623
verified::django__django-12276,-1.9839747,0.34957573
verified::django__django-12304,-0.3578442,0.270651
verified::django__django-12308,2.6858988,0.36845264
verified::django__django-12325,2.885006,0.36227697
verified::django__django-12406,6.601768,1.3859955
verified::django__django-12419,-3.1860774,0.44635567
verified::django__django-12663,0.95091265,0.28140247
verified::django__django-12708,-0.5920901,0.30039024
verified::django__django-12713,-1.9623191,0.37137166
verified::django__django-12741,-0.7420698,0.27383006
verified::django__django-12754,1.0625594,0.28071046
verified::django__django-12774,0.8581741,0.2703231
verified::django__django-12858,-0.5662929,0.30626106
verified::django__django-12965,1.4516032,0.31684232
verified::django__django-13012,-0.14221837,0.30247962
verified::django__django-13023,0.53671634,0.27253607
verified::django__django-13028,-1.2899028,0.30326563
verified::django__django-13033,0.11252546,0.28998548
verified::django__django-13089,-3.9024556,0.58385646
verified::django__django-13109,-3.886792,0.54419386
verified::django__django-13112,1.1666355,0.2928292
verified::django__django-13121,0.7403527,0.2682581
verified::django__django-13128,1.2344851,0.27572548
verified::django__django-13158,0.26646322,0.2989078
verified::django__django-13195,4.7677035,0.6786447
verified::django__django-13212,6.6528378,1.2760739
verified::django__django-13279,-0.30690306,0.28993118
verified::django__django-13297,0.5647662,0.2567644
verified::django__django-13315,-0.35735753,0.27095082
verified::django__django-13343,-0.88704675,0.2843953
verified::django__django-13344,5.3800163,0.8486264
