,theta,theta_std
gemini-3-pro-preview,2.494364,0.16831385
claude-4-opus,2.3534756,0.15876865
GPT-5,2.3182254,0.09810506
claude-sonnet-4-5,2.2326496,0.16999143
Claude 4 Sonnet,2.2241697,0.054134924
Qwen3-Coder-480B-A35B-Instruct,2.1347122,0.149691
Kimi K2,1.6807754,0.1228661
GLM-4.5,1.6068156,0.1522818
glm4-6,1.4898454,0.15794681
Claude 3.7 Sonnet,1.3985668,0.071382925
o4-mini,1.2307061,0.15962073
o1_crosscheck5,1.1930383,0.1489781
QwenCoder30BA3B_tts,1.1512223,0.15320888
claude-3-5-sonnet_swe-search,1.0214407,0.13149567
FrogBoss-32B,0.9391369,0.15490158
kimi_k2_instruct,0.7539782,0.13823912
Qwen3-Coder-30B-A3B-Instruct,0.4272169,0.084854566
GPT-4o-mini,0.35794508,0.11566614
FrogMini-14B,0.1953189,0.120035164
devstral_small,-0.013518147,0.13180085
DeepSWE-Preview,-0.037406355,0.12688139
gemini_2.0_flash_experimental,-0.12655862,0.099005006
Claude 3.5 Sonnet,-0.17069602,0.036799286
Amazon Nova Premier 1.0,-0.33842528,0.14981195
o3_mini,-0.36864376,0.12484729
SWE-agent-LM-32B,-0.3692072,0.12590133
DeepSeek-V3,-0.39816272,0.13264772
llama3_70b,-0.41516984,0.13574699
devstral_small_2507,-0.5026262,0.13855915
lingma-swe-gpt-72b,-0.5805519,0.097252615
Skywork-SWE-32B,-0.7261157,0.1414908
claude-3-5-haiku,-0.7647467,0.12681822
Qwen2.5-72b-editor,-1.0318396,0.102105096
MCTS-Refine-7B,-1.7037526,0.14100197
GPT-4,-1.7510228,0.08573725
Claude 2,-1.8702393,0.25856
Claude 3 Opus,-1.9006146,0.12817542
GPT-4o,-1.90238,0.054904506
lingma-swe-gpt-7b,-1.9308593,0.10824866
swellama7b,-3.1204703,0.32358426
swellama13b,-3.2327673,0.34005997
GPT-3.5,-3.9478288,0.39491516
