,theta,theta_std
agentscope,1.5178014,0.12665275
learn_by_interact,1.1972198,0.14563522
autocoderover-v20240620,0.8562601,0.12149609
agentless-1.5,0.768008,0.09598812
20241108_devlo,0.66413325,0.1333532
MASAI,0.5990344,0.113259114
OpenHands-CodeAct-2.1,0.5880787,0.12807603
livesweagent,0.5532638,0.1786364
sonar-foundation-agent,0.52449334,0.17259486
enginelabs,0.5165861,0.13666272
autocoderover-v2.1,0.45473278,0.13334607
Lingxi v1.5,0.43497556,0.12369964
google_jules,0.42654625,0.1370372
Harness,0.4104052,0.1581008
epam-ai-run,0.35809907,0.059158545
aime-coder,0.328657,0.1475443
zai,0.28462118,0.15719667
patchpilot-v1.1,0.2680706,0.15320742
wandb_programmer,0.23365594,0.14088476
Prometheus_v1.2.1,0.19767928,0.1488388
codestory_midwit,0.17481059,0.14082399
Tools,0.09817037,0.0673077
bloop,0.056386895,0.15264104
appmap-navie,0.036494285,0.13320003
autocoderover-v2.0,0.025155237,0.13412385
Bracket,0.025100108,0.12276801
moatless,-0.03537125,0.1736114
entroPO_R2E,-0.053058747,0.09234343
OpenHands,-0.11016135,0.04910965
NoScaffold,-0.12390408,0.12830761
swerl,-0.14364666,0.12776302
agentless_lite,-0.15148358,0.1334048
Prometheus_v1.2,-0.15533586,0.15826601
SWE-Exp,-0.1827905,0.1443777
codeshellagent,-0.22163065,0.121920615
SWE-agent 1.0,-0.30446452,0.067658514
SWE-Fixer_Qwen2.5-7b-retriever,-0.33918402,0.10679509
ugaiforge,-0.36843416,0.12830171
20241016_composio_swekit,-0.42457548,0.12383095
agentless,-0.4761101,0.14899702
R2E-Gym,-0.48875773,0.070883855
swe-rizzo,-0.59472567,0.11769433
SWE-agent,-0.6700416,0.07967737
Artemis Agent v1,-1.1079516,0.1361223
lingma-agent,-1.2124739,0.084624894
Artemis Agent v2,-1.3943279,0.12687196
RAG,-3.0400097,0.1361067
