,theta,theta_std
Claude 4.5 Sonnet - 10132025,1.400562047958374,0.11777293
Claude 4.5 Haiku -- 10222025,0.9911500215530396,0.11129726
GPT-5 - 10132025,0.7597377300262451,0.09697202
GLM-4.5 -- 10222025,0.6548710465431213,0.10228296
Claude 4 Sonnet - 10132025,0.4647647440433502,0.13249837
Kimi - paper,0.006827871780842543,0.12960611
GPT-5 Codex -- debug-oct22,-0.1184702143073082,0.10416599
GPT-5 High - paper,-0.13158324360847473,0.09396987
Claude Opus 4.1 - paper,-0.4269670248031616,0.10630287
Gemini 2.5 Pro Preview -- debug-oct22,-0.7321789264678955,0.121003784
Claude Sonnet 4 - paper,-1.1016244888305664,0.09987305
GPT OSS - paper,-1.1700661182403564,0.10439341
Gemini 2.5 Pro Preview - paper,-1.431829810142517,0.13924061
GPT-4o - paper,-3.0375266075134277,0.19734186
