,b,b_std
NodeBB__NodeBB-00c70ce7b0541cfc94afe567921d7668cdc8f4ac,6.73025369644165,2.910619
NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5,2.8145101070404053,1.0792521
NodeBB__NodeBB-05f2236193f407cf8e2072757fbd6bb170bc13f0,0.5471040606498718,0.6389997
NodeBB__NodeBB-087e6020e490b4a1759f38c1ad03869511928263,6.63546895980835,3.7610214
NodeBB__NodeBB-0c81642997ea1d827dbd02c311db9d4976112cd4,1.0387191772460938,0.8122017
NodeBB__NodeBB-0e07f3c9bace416cbab078a30eae972868c0a8a3,2.9998342990875244,1.1312677
NodeBB__NodeBB-0f788b8eaa4bba3c142d171fd941d015c53b65fc,2.9369044303894043,1.1919854
NodeBB__NodeBB-18c45b44613aecd53e9f60457b9812049ab2998d,6.634527206420898,2.9706116
NodeBB__NodeBB-1ea9481af6125ffd6da0592ed439aa62af0bca11,2.0042712688446045,0.8836815
NodeBB__NodeBB-22368b996ee0e5f11a5189b400b33af3cc8d925a,-0.18431290984153748,0.61052674
NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f,2.7943789958953857,1.0663028
NodeBB__NodeBB-397835a05a8e2897324e566b41c5e616e172b4af,-0.5496963262557983,0.58045995
NodeBB__NodeBB-3c85b944e30a0ba8b3ec9e1f441c74f383625a15,0.1690884530544281,0.5404499
NodeBB__NodeBB-4327a09d76f10a79109da9d91c22120428d3bdb9,-2.391531467437744,0.98979783
NodeBB__NodeBB-445b70deda20201b7d9a68f7224da751b3db728c,6.631130218505859,3.4048944
NodeBB__NodeBB-51d8f3b195bddb13a13ddc0de110722774d9bb1b,1.413874626159668,0.70336145
NodeBB__NodeBB-6489e9fd9ed16ea743cc5627f4d86c72fbdb3a8a,1.0857831239700317,0.59830964
NodeBB__NodeBB-6ea3b51f128dd270281db576a1b59270d5e45db0,-0.19110001623630524,0.70986
NodeBB__NodeBB-70b4a0e2aebebe8f2f559de6680093d96a697b2f,-0.5854944586753845,0.52835786
NodeBB__NodeBB-767973717be700f46f06f3e7f4fc550c63509046,0.9463413953781128,0.54195
NodeBB__NodeBB-76c6e30282906ac664f2c9278fc90999b27b1f48,-0.5653116106987,0.54182565
NodeBB__NodeBB-7b8bffd763e2155cf88f3ebc258fa68ebe18188d,0.19959399104118347,0.59971
NodeBB__NodeBB-8168c6c40707478f71b8af60300830fe554c778c,6.69953727722168,3.9194176
NodeBB__NodeBB-82562bec444940608052f3e4149e0c61ec80bf3f,0.19591476023197174,0.6080838
NodeBB__NodeBB-84dfda59e6a0e8a77240f939a7cb8757e6eaf945,6.770300388336182,2.1120105
NodeBB__NodeBB-84e065752f6d7fbe5c08cbf50cb173ffb866b8fa,0.9868799448013306,0.7508042
NodeBB__NodeBB-8ca65b0c78c67c1653487c02d1135e1b702185e1,1.546892762184143,0.73206544
NodeBB__NodeBB-97c8569a798075c50e93e585ac741ab55cb7c28b,2.1766293048858643,0.8788736
NodeBB__NodeBB-9c576a0758690f45a6ca03b5884c601e473bf2c1,6.787456035614014,3.5716507
NodeBB__NodeBB-a5afad27e52fd336163063ba40dcadc80233ae10,2.995990037918091,1.1687454
NodeBB__NodeBB-a917210c5b2c20637094545401f85783905c074c,6.691720962524414,3.4310937
NodeBB__NodeBB-b1f9ad5534bb3a44dab5364f659876a4b7fe34c1,-1.4088973999023438,0.79895914
NodeBB__NodeBB-b398321a5eb913666f903a794219833926881a8f,1.0629645586013794,0.64946175
NodeBB__NodeBB-bad15643013ca15affe408b75eba9e47cc604bb2,0.48277798295021057,0.505988
NodeBB__NodeBB-bd80d36e0dcf78cd4360791a82966078b3a07712,-0.2190561294555664,0.6236698
NodeBB__NodeBB-be43cd25974681c9743d424238b7536c357dc8d3,6.768242835998535,4.406234
NodeBB__NodeBB-cfc237c2b79d8c731bbfc6cadf977ed530bfd57a,1.0021708011627197,0.6896752
NodeBB__NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575,0.5136494040489197,0.5092492
NodeBB__NodeBB-eb49a64974ca844bca061744fb3383f5d13b02ad,1.4160706996917725,0.6344481
NodeBB__NodeBB-f083cd559d69c16481376868c8da65172729c0ca,-0.511491596698761,0.50752443
NodeBB__NodeBB-f1a80d48cc45877fcbadf34c2345dd9709722c7f,6.716254234313965,2.7188506
NodeBB__NodeBB-f2082d7de85eb62a70819f4f3396dd85626a0c0a,6.714395999908447,3.074847
NodeBB__NodeBB-f48ed3658aab7be0f1165d4c1f89af48d7865189,2.120741605758667,0.9873857
NodeBB__NodeBB-f9ce92df988db7c1ae55d9ef96d247d27478bc70,-0.9880465865135193,0.65109855
ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8,-3.234328508377075,1.1674385
ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166,0.6150376200675964,0.5781822
ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78,0.6092869639396667,0.6511701
ansible__ansible-11c1777d56664b1acb56b387a1ad6aeadef1391d,6.72662878036499,2.8564184
ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955,-3.3036887645721436,1.1833639
ansible__ansible-164881d871964aa64e0f911d03ae270acbad253c,-0.5087981224060059,0.6216433
ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe,-0.2345404475927353,0.5810655
ansible__ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83,-0.19569291174411774,0.5803756
ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3,-1.7927031517028809,0.7038107
ansible__ansible-1b70260d5aa2f6c9782fd2b848e8d16566e50d85,1.4888865947723389,0.776246
ansible__ansible-1bd7dcf339dd8b6c50bc16670be2448a206f4fdb,6.659162521362305,2.6609507
ansible__ansible-1c06c46cc14324df35ac4f39a45fb3ccd602195d,6.877902984619141,3.1298296
ansible__ansible-1ee70fc272aff6bf3415357c6e13c5de5b928d9b,-2.4363625049591064,0.76803356
ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b,0.5803782343864441,0.5477798
ansible__ansible-34db57a47f875d11c4068567b9ec7ace174ec4cf,0.5533392429351807,0.6400454
ansible__ansible-379058e10f3dbc0fdcaf80394bd09b18927e7d33,-1.2949615716934204,0.7122406
ansible__ansible-3889ddeb4b780ab4bac9ca2e75f8c1991bcabe83,6.64357328414917,3.0185804
ansible__ansible-395e5e20fab9cad517243372fa3c3c5d9e09ab2a,-0.9595990180969238,0.48070642
ansible__ansible-39bd8b99ec8c6624207bf3556ac7f9626dad9173,2.078881025314331,0.90553117
ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1,-1.8456966876983643,0.7900492
ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b,-0.1156955137848854,0.6755903
ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34,6.795408248901367,2.6316946
ansible__ansible-415e08c2970757472314e515cb63a51ad825c45e,-1.4037492275238037,0.6999324
ansible__ansible-42355d181a11b51ebfc56f6f4b3d9c74e01cb13b,0.12296978384256363,0.5769864
ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1,-0.6525138020515442,0.5014535
ansible__ansible-4c5ce5a1a9e79a845aff4978cfeb72a0d4ecf7d6,6.765959739685059,4.064283
ansible__ansible-502270c804c33d3bc963930dc85e0f4ca359674d,0.15994980931282043,0.5793647
ansible__ansible-5260527c4a71bfed99d803e687dd19619423b134,0.5560957789421082,0.6116947
ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c,1.4916284084320068,0.54683965
ansible__ansible-5c225dc0f5bfa677addeac100a8018df3f3a9db1,-3.332946538925171,0.9851015
ansible__ansible-5d253a13807e884b7ce0b6b57a963a45e2f0322c,-0.1231871023774147,0.5117115
ansible__ansible-5e369604e1930b1a2e071fecd7ec5276ebd12cb1,0.9939860701560974,0.71981376
ansible__ansible-5e88cd9972f10b66dd97e1ee684c910c6a2dd25e,2.065382242202759,0.72794574
ansible__ansible-5f4e332e3762999d94af27746db29ff1729252c1,-3.287466049194336,1.2662201
ansible__ansible-622a493ae03bd5e5cf517d336fc426e9d12208c7,0.9973284602165222,0.5896189
ansible__ansible-6cc97447aac5816745278f3735af128afb255c81,2.951608419418335,1.2230709
ansible__ansible-709484969c8a4ffd74b839a673431a8c5caa6457,2.0813827514648438,0.81667024
ansible__ansible-748f534312f2073a25a87871f5bd05882891b8c4,-2.423279047012329,0.67969626
ansible__ansible-77658704217d5f166404fc67997203c25381cb6e,0.2065669298171997,0.55320513
ansible__ansible-7e1a347695c7987ae56ef1b6919156d9254010ad,6.651104927062988,4.0182915
ansible__ansible-811093f0225caa4dd33890933150a81c6a6d5226,0.15160739421844482,0.5792528
ansible__ansible-8127abbc298cabf04aaa89a478fc5e5e3432a6fc,2.9300031661987305,1.1985649
ansible__ansible-83909bfa22573777e3db5688773bda59721962ad,6.912478923797607,3.5498385
ansible__ansible-83fb24b923064d3576d473747ebbe62e4535c9e3,6.720145225524902,3.6609662
ansible__ansible-9142be2f6cabbe6597c9254c5bb9186d17036d55,2.1028294563293457,0.7750073
ansible__ansible-935528e22e5283ee3f63a8772830d3d01f55ed8c,6.661365509033203,4.3603683
ansible__ansible-942424e10b2095a173dbd78e7128f52f7995849b,2.9190359115600586,0.9523324
ansible__ansible-949c503f2ef4b2c5d668af0492a5c0db1ab86140,6.737509250640869,3.483768
ansible__ansible-9759e0ca494de1fd5fc2df2c5d11c57adbe6007c,-0.1871684342622757,0.55972606
ansible__ansible-984216f52e76b904e5b0fa0fb956ab4f1e0a7751,1.5394642353057861,0.8227973
ansible__ansible-9a21e247786ebd294dafafca1105fcd770ff46c6,2.0493390560150146,0.7930406
ansible__ansible-a02e22e902a69aeb465f16bf03f7f5a91b2cb828,0.5209778547286987,0.59546834
ansible__ansible-a1569ea4ca6af5480cf0b7b3135f5e12add28a44,2.851130485534668,1.0936146
ansible__ansible-a20a52701402a12f91396549df04ac55809f68e9,-1.2919721603393555,0.6681858
ansible__ansible-a26c325bd8f6e2822d9d7e62f77a424c1db4fbf6,-0.18928511440753937,0.67489415
ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05,-2.418833017349243,0.8904872
ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6,-0.9694691896438599,0.6082547
ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89,-0.6105778217315674,0.685648
ansible__ansible-b5e0293645570f3f404ad1dbbe5f006956ada0df,1.4813228845596313,0.72375727
ansible__ansible-b6290e1d156af608bd79118d209a64a051c55001,6.71015739440918,3.8294036
ansible__ansible-b748edea457a4576847a10275678127895d2f02f,6.64576530456543,2.9149935
ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d,1.4491281509399414,0.7405421
ansible__ansible-be2c376ab87e3e872ca21697508f12c6909cf85a,0.21461139619350433,0.57322246
ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260,-0.2512804865837097,0.55626506
ansible__ansible-bec27fb4c0a40c5f8bbcf26a475704227d65ee73,6.692330360412598,3.2080545
ansible__ansible-bf98f031f3f5af31a2d78dc2f0a58fe92ebae0bb,2.9718143939971924,1.0186008
ansible__ansible-c1f2df47538b884a43320f53e787197793b105e8,6.639595031738281,3.5613606
ansible__ansible-c616e54a6e23fa5616a1d56d243f69576164ef9b,6.636624813079834,3.4849725
ansible__ansible-cb94c0cc550df9e98f1247bc71d8c2b861c75049,-0.19489116966724396,0.77734303
ansible__ansible-cd473dfb2fdbc97acf3293c134b21cbbcfa89ec3,6.642736434936523,2.7271059
ansible__ansible-cd9c4eb5a6b2bfaf4a6709f001ce3d0c92c1eed2,1.4684090614318848,0.60967106
ansible__ansible-d2f80991180337e2be23d6883064a67dcbaeb662,2.815462112426758,0.96638936
ansible__ansible-d30fc6c0b359f631130b0e979d9a78a7b3747d48,1.5005689859390259,0.64279616
ansible__ansible-d33bedc48fdd933b5abd65a77c081876298e2f07,6.668478488922119,4.198777
ansible__ansible-d58e69c82d7edd0583dd8e78d76b075c33c3151e,6.838216304779053,4.6587477
ansible__ansible-d62496fe416623e88b90139dc7917080cb04ce70,0.9857379794120789,0.6087868
ansible__ansible-d6d2251929c84c3aa883bad7db0f19cc9ff0339e,1.4754503965377808,0.79375255
