,theta,theta_std
20250928_trae_doubao_seed_code,3.029568910598755,0.19000256
20251120_livesweagent_gemini-3-pro-preview,2.9737298488616943,0.16763434
20250902_atlassian-rovo-dev,2.8464179039001465,0.16718063
20250804_epam-ai-run-claude-4-sonnet,2.7058873176574707,0.20586258
20250819_ACoder,2.659269332885742,0.16316982
20250901_warp,2.5796499252319336,0.1858563
20251103_sonar-foundation-agent_claude-sonnet-4-5,2.545140027999878,0.192766
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,2.5347726345062256,0.17298661
20251015_Prometheus_v1.2.1_gpt5,2.4922401905059814,0.17086354
20250612_trae,2.471120834350586,0.19568796
20250915_JoyCode,2.432004451751709,0.1682654
20250603_Refact_Agent_claude-4-sonnet,2.3522989749908447,0.15715587
20250731_harness_ai,2.3353586196899414,0.16592516
20251103_SalesforceAIResearch_SAGE_OpenHands,2.331017017364502,0.17116311
20251021_SalesforceAIResearch_SAGE_bash_only,2.320783853530884,0.14986707
20250522_tools_claude-4-opus,2.274116277694702,0.15942933
20250522_tools_claude-4-sonnet,2.1342365741729736,0.16120648
20250807_openhands_gpt5,2.0752410888671875,0.17775172
20251014_Lingxi_kimi_k2,2.035048007965088,0.15090309
20250515_Refact_Agent,1.9590650796890259,0.16276169
20250519_trae,1.9529458284378052,0.15136807
20250929_Prometheus_v1.2_gpt5,1.9465069770812988,0.14560123
20250715_qodo_command,1.936740517616272,0.14157504
20250710_bloop,1.9120441675186157,0.17905012
20250524_openhands_claude_4_sonnet,1.888259768486023,0.14750263
20250611_moatless_claude-4-sonnet-20250514,1.8553322553634644,0.1498021
20250519_devlo,1.8497092723846436,0.15677768
20250610_augment_agent_v1,1.8469023704528809,0.15228455
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,1.8254002332687378,0.15285169
20250430_zencoder_ai,1.822726845741272,0.14208448
20250623_warp,1.8003711700439453,0.13017465
20250930_zai_glm4-6,1.732726812362671,0.17467418
20250522_sweagent_claude-4-sonnet-20250514,1.56051766872406,0.15723127
20250516_cortexa_o3,1.557793140411377,0.1687803
20250415_openhands,1.396799087524414,0.13095322
20250514_aime_coder,1.3577717542648315,0.15398492
20250405_amazon-q-developer-agent-20250405-dev,1.3098139762878418,0.15173618
20250316_augment_agent_v0,1.3000073432922363,0.14861926
20250503_patchpilot-v1.1-o4-mini,1.2679991722106934,0.10416582
20250716_openhands_kimi_k2,1.2352252006530762,0.1296445
20250728_zai_glm4-5,1.2038596868515015,0.15916044
20250117_wandb_programmer_o1_crosscheck5,1.1949687004089355,0.16103715
20250228_epam-ai-run-claude-3-5-sonnet,1.079647421836853,0.17028368
20250225_sweagent_claude-3-7-sonnet,1.0655128955841064,0.1302039
20250224_tools_claude-3-7-sonnet,1.0415117740631104,0.13388428
20250206_agentscope,1.0189214944839478,0.14802787
20250110_blackboxai_agent_v1.1,1.0032366514205933,0.1295923
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.9941157102584839,0.15701398
20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.9099817276000977,0.15256001
20250203_openhands_4x_scaled,0.8637701272964478,0.13021939
20250110_learn_by_interact_claude3.5,0.747572660446167,0.1102678
20250629_deepswerl_r2eagent_tts,0.6893928647041321,0.13316987
20241213_devlo,0.5843180418014526,0.123642124
20250410_cortexa,0.4748207926750183,0.13611467
20241223_emergent,0.4738130569458008,0.15483502
20250405_swe-rizzo_claude37,0.4149633049964905,0.16667143
20241208_gru,0.4070091247558594,0.13252333
20250924_artemis_agent_v2,0.3526088297367096,0.1366496
20241202_amazon-q-developer-agent-20241202-dev,0.3187829256057739,0.114187844
20241212_epam-ai-run-claude-3-5-sonnet,0.31377309560775757,0.15732232
20241108_devlo,0.20307545363903046,0.13583781
20250804_codesweep_sweagent_kimi_k2_instruct,0.12433575838804245,0.13047183
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,0.10885803401470184,0.15745981
20251110_frogboss-32b,0.09010546654462814,0.13112265
20250120_Bracket,0.05983136221766472,0.11985329
20241212_google_jules_gemini_2.0_flash_experimental,0.028437534347176552,0.10738839
20241125_enginelabs,0.006099676713347435,0.12745392
20250901_entroPO_R2E_QwenCoder30BA3B,-0.004632575437426567,0.15681875
20241202_agentless-1.5_claude-3.5-sonnet-20241022,-0.04795532301068306,0.15291205
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,-0.06906118988990784,0.12045973
20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,-0.07347362488508224,0.116501674
20241028_solver,-0.09887780249118805,0.12550467
20241125_marscode-agent-dev,-0.19655004143714905,0.10625025
20241025_composio_swekit,-0.2225915640592575,0.11989538
20241022_tools_claude-3-5-sonnet-updated,-0.26607927680015564,0.13320741
20241105_nfactorial,-0.27331608533859253,0.09739131
20250520_openhands_devstral_small,-0.45137956738471985,0.12471598
20250616_Skywork-SWE-32B+TTS_Bo8,-0.46417877078056335,0.18803903
20241023_emergent,-0.4876645803451538,0.120868556
20241106_navie-2-gpt4o-sonnet,-0.4968862235546112,0.113806985
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,-0.5163538455963135,0.105648145
20251110_frogmini-14b,-0.5341581106185913,0.097680055
20240924_solver,-0.5364965200424194,0.15506771
20250528_patchpilot_Co-PatcheR,-0.6000730395317078,0.12631968
20240824_gru,-0.612365186214447,0.12794809
20250118_codeshellagent_gemini_2.0_flash_experimental,-0.7358303666114807,0.114524566
20240920_solver,-0.7700324058532715,0.13800687
20250806_SWE-Exp_DeepSeek-V3,-0.8362622857093811,0.14839835
20250629_deepswerl_r2eagent,-0.8490133881568909,0.12391413
20241030_nfactorial,-0.8697342276573181,0.12338287
20250214_agentless_lite_o3_mini,-0.8862134218215942,0.12143177
20250226_swerl_llama3_70b,-0.9009117484092712,0.17633943
20250527_amazon.nova-premier-v1.0,-0.9147318005561829,0.14990006
20241022_tools_claude-3-5-haiku,-0.9168973565101624,0.14602804
20240820_honeycomb,-0.9265406131744385,0.13767973
20241113_nebius-search-open-weight-models-11-24,-0.9630616307258606,0.1263051
20250112_ugaiforge,-1.0044972896575928,0.114984475
20241016_composio_swekit,-1.0049325227737427,0.16792198
20240721_amazon-q-developer-agent-20240719-dev,-1.0407859086990356,0.13483945
20241029_epam-ai-run-claude-3-5-sonnet,-1.0803507566452026,0.15784393
20250511_sweagent_lm_32b,-1.1285799741744995,0.12780775
20241028_agentless-1.5_gpt4o,-1.171050786972046,0.10858075
20250616_Skywork-SWE-32B,-1.181422472000122,0.1227479
20250725_sweagent_devstral_small_2507,-1.2134209871292114,0.13200217
20240628_autocoderover-v20240620,-1.2687125205993652,0.14316167
20240617_factory_code_droid,-1.3396248817443848,0.17241988
20240620_sweagent_claude3.5sonnet,-1.622595191001892,0.13801882
20240612_MASAI_gpt4o,-1.6488617658615112,0.12998733
20241120_artemis_agent,-1.6694228649139404,0.13018903
20241007_nfactorial,-1.744231104850769,0.14789629
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,-1.7485164403915405,0.13460745
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,-1.9323192834854126,0.11333835
20241002_lingma-agent_lingma-swe-gpt-72b,-1.9815949201583862,0.11238861
20241016_epam-ai-run-gpt-4o,-2.271249771118164,0.13754858
20240509_amazon-q-developer-agent-20240430-dev,-2.331042766571045,0.13822791
20241001_nfactorial,-2.333423614501953,0.13680853
20240615_appmap-navie_gpt4o,-2.3420443534851074,0.123410314
20240918_lingma-agent_lingma-swe-gpt-72b,-2.415349245071411,0.112013005
20240820_epam-ai-run-gpt-4o,-2.4324145317077637,0.16538462
20250627_agentless_MCTS-Refine-7B,-2.5906982421875,0.14175817
20240728_sweagent_gpt4o,-2.6325669288635254,0.12236865
20240402_sweagent_gpt4,-2.7111785411834717,0.1234446
20241002_lingma-agent_lingma-swe-gpt-7b,-3.2307376861572266,0.10399006
20240402_sweagent_claude3opus,-3.5137574672698975,0.13928205
20240918_lingma-agent_lingma-swe-gpt-7b,-4.2463059425354,0.18493779
20240402_rag_claude3opus,-4.835819244384766,0.25547835
20231010_rag_claude2,-5.45935583114624,0.2563873
20240402_rag_gpt4,-6.182217121124268,0.2903363
20231010_rag_swellama13b,-7.0993194580078125,0.49336985
20231010_rag_swellama7b,-7.1405510902404785,0.3718572
20231010_rag_gpt35,-8.31417465209961,0.6409092
