,b,b_std
astropy__astropy-12907,-0.8521290421485901,0.17956814
astropy__astropy-13033,5.306410789489746,0.63549465
astropy__astropy-13236,3.470829486846924,0.26028648
astropy__astropy-13398,7.21668004989624,1.3480779
astropy__astropy-13453,0.14366841316223145,0.19834633
astropy__astropy-13579,-1.3936201333999634,0.25284573
astropy__astropy-13977,7.684095859527588,1.1477655
astropy__astropy-14096,-1.1177603006362915,0.27922252
astropy__astropy-14182,3.8364174365997314,0.43867305
astropy__astropy-14309,-4.3841753005981445,0.5734799
astropy__astropy-14365,3.55102276802063,0.4075607
astropy__astropy-14369,2.37005615234375,0.3170772
astropy__astropy-14508,-0.2953529357910156,0.2851198
astropy__astropy-14539,-1.4727970361709595,0.24505268
astropy__astropy-14598,4.060785293579102,0.41963083
astropy__astropy-14995,-2.6328389644622803,0.312938
astropy__astropy-7166,-1.9787801504135132,0.23388621
astropy__astropy-7336,-3.369535207748413,0.41926146
astropy__astropy-7606,4.05830717086792,0.3685392
astropy__astropy-7671,-2.6566123962402344,0.26423407
astropy__astropy-8707,3.5564210414886475,0.33807814
astropy__astropy-8872,3.613645553588867,0.38030374
django__django-10097,1.0712889432907104,0.21084215
django__django-10554,7.134618759155273,0.9530786
django__django-10880,-1.4123177528381348,0.2385294
django__django-10914,-3.0331008434295654,0.29073146
django__django-10973,-2.086872100830078,0.22408487
django__django-10999,7.199556350708008,1.1403642
django__django-11066,-4.890646457672119,0.5096465
django__django-11087,7.286069393157959,1.2331691
django__django-11095,-3.447321653366089,0.40144935
django__django-11099,-4.609124660491943,0.44750372
django__django-11119,-4.7256598472595215,0.50145024
django__django-11133,-4.20057487487793,0.4574112
django__django-11138,3.4845619201660156,0.36258662
django__django-11141,2.684852361679077,0.30258924
django__django-11149,1.8266851902008057,0.18723875
django__django-11163,-3.8503148555755615,0.5046538
django__django-11179,-2.9491682052612305,0.36961564
django__django-11206,1.4533036947250366,0.19441774
django__django-11211,-0.9551974534988403,0.24201994
django__django-11239,1.1291413307189941,0.21783885
django__django-11265,1.414548635482788,0.2637388
django__django-11276,-1.7037808895111084,0.25163037
django__django-11292,-2.0373973846435547,0.2853412
django__django-11299,0.431933730840683,0.22416279
django__django-11333,0.37605780363082886,0.21630077
django__django-11400,7.082054138183594,0.849939
django__django-11433,2.8807499408721924,0.2674093
django__django-11451,-1.951155662536621,0.25540414
