subject_id,theta
Claude 4 Sonnet - 10132025,-1.0186790227890015
Claude 4.5 Haiku -- 10222025,-0.5670880079269409
Claude 4.5 Sonnet - 10132025,-0.21557219326496124
Claude Opus 4.1 - paper,-2.1202070713043213
Claude Sonnet 4 - paper,-2.4720330238342285
GLM-4.5 -- 10222025,-0.7584432363510132
GPT OSS - paper,-2.6965343952178955
GPT-4o - paper,-4.373987197875977
GPT-5 - 10132025,-0.6753917336463928
GPT-5 Codex -- debug-oct22,-1.5311156511306763
GPT-5 High - paper,-1.5796830654144287
Gemini 2.5 Pro Preview - paper,-2.9437549114227295
Gemini 2.5 Pro Preview -- debug-oct22,-2.2446365356445312
Kimi - paper,-1.5319693088531494
