subject_id,theta
forge_code_gemini_3_1_pro,3.419301986694336
droid_gpt_5_3_codex,2.9140141010284424
simple_codex_gpt_5_3_codex,3.077845335006714
terminus_kira_gemini_3_1_pro,3.3094241619110107
terminus_kira_claude_opus_4_6,3.6714203357696533
tongagents_claude_opus_4_6,3.13997220993042
codebrain_1_gpt_5_3_codex,2.510192394256592
droid_claude_opus_4_6,2.1758029460906982
ante_gemini_3_pro,2.468726634979248
mux_gpt_5_3_codex,1.8358973264694214
crux_claude_opus_4_6,2.554041624069214
mux_claude_opus_4_6,2.104402780532837
deep_agents_gpt_5_2_codex,1.8988394737243652
sageagent_gemini_3_pro,2.062288284301758
droid_gpt_5_2,2.2651002407073975
terminus_2_gpt_5_3_codex,1.6516895294189453
junie_cli_gemini_3_flash,2.0086371898651123
droid_claude_opus_4_5,1.5681780576705933
codex_cli_gpt_5_2,1.8200069665908813
terminus_2_claude_opus_4_6,1.8005541563034058
codebrain_1_gemini_3_pro,1.8626341819763184
ii_agent_gemini_3_pro,2.03690242767334
"warp_claude_haiku_4_5_at_anthropic,gpt_5_2_at_openai",1.2625981569290161
droid_gemini_3_pro,2.290597438812256
mux_gpt_5_2,1.3760035037994385
codex_cli_gpt_5_1_codex_max,1.4867818355560303
"warp_claude_haiku_4_5_20251001_at_anthropic,gemini_3_pro_preview_at_google,gpt_5_nano_at_openai",1.7782825231552124
letta_code_claude_opus_4_5,1.2645087242126465
mux_claude_opus_4_5,1.0959750413894653
abacus_ai_desktop_multiple,0.6352335214614868
claude_code_claude_opus_4_6,1.214747667312622
terminus_2_claude_opus_4_5,1.5333077907562256
crux_gpt_5_1_codex,0.7837331891059875
terminus_2_gemini_3_pro,1.4730206727981567
letta_code_gemini_3_pro,1.2921209335327148
goose_claude_opus_4_5,0.745402455329895
terminus_2_gpt_5_2,0.5237073302268982
letta_code_gpt_5_1_codex,0.6254727840423584
terminus_2_glm_5,0.703009307384491
claude_code_claude_opus_4_5,0.470538467168808
openhands_claude_opus_4_5,1.0749082565307617
opencode_claude_opus_4_5,0.3833114206790924
terminus_2_gemini_3_flash,0.9667779207229614
gemini_cli_gemini_3_flash,0.8289666175842285
"warp_claude_haiku_4_5_20251001_at_anthropic,claude_sonnet_4_5_20250929_at_anthropic,gpt_5_nano_at_openai",0.12714752554893494
codex_cli_gpt_5,0.6532468795776367
terminus_2_gpt_5_1,0.43581199645996094
camel_ai_claude_sonnet_4_5,0.7182694673538208
codex_cli_gpt_5_codex,-0.08958941698074341
openhands_gpt_5,0.25775742530822754
terminus_2_gpt_5_codex,0.09863463789224625
terminus_2_kimi_k2_5,0.10520016402006149
goose_claude_sonnet_4_5,0.2688419222831726
crux_gpt_5_1_codex_mini,-0.09193233400583267
terminus_2_claude_sonnet_4_5,0.07463471591472626
maya_claude_4_5_sonnet,-0.18280193209648132
openhands_claude_sonnet_4_5,-0.14084213972091675
mini_swe_agent_claude_sonnet_4_5,0.15501095354557037
terminus_2_minimax_m2_5,-0.2049870491027832
mini_swe_agent_gpt_5_codex,-0.34707313776016235
claude_code_claude_sonnet_4_5,-0.1498279720544815
terminus_2_deepseek_v3_2,-0.529399037361145
terminus_2_claude_opus_4_1,-0.7566828727722168
openhands_claude_opus_4_1,-0.5414522886276245
terminus_2_gpt_5_1_codex,-0.9725522398948669
crux_minimax_m2_1,-0.6642129421234131
terminus_2_kimi_k2_thinking,-0.5352832078933716
goose_claude_haiku_4_5,-0.7562243342399597
terminus_2_gpt_5,-0.7826831340789795
mini_swe_agent_claude_opus_4_1,-0.6082702279090881
spoox_m_gpt_5_mini,-0.9534677863121033
claude_code_claude_opus_4_1,-0.6578060984611511
mini_swe_agent_gpt_5,-0.9173012971878052
terminus_2_glm_4_7,-1.1100773811340332
crux_glm_4_7,-1.2847492694854736
